日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/13,"102,005","1,800,050",18.35,17.40,17.65,41
114/08/12,"13,051","227,665",17.60,16.95,17.44,8
114/08/11,"72,083","1,247,697",18.20,17.00,17.31,45
114/08/08,"89,448","1,688,789",19.15,18.40,18.88,72
114/08/07,32,584,19.05,18.20,18.25,3
114/08/06,"13,142","248,551",19.05,18.85,18.91,11
114/08/05,"10,181","193,518",19.30,18.95,19.01,8
114/08/04,"4,105","77,781",19.35,18.80,18.95,8
114/08/01,"2,265","43,419",19.40,18.80,19.17,10
114/07/31,"4,540","87,089",19.50,18.80,19.18,26
114/07/30,"13,288","250,988",19.50,18.65,18.89,22
114/07/29,81,"1,511",19.05,18.65,18.65,2
114/07/28,"5,085","96,054",19.20,18.80,18.89,11
114/07/25,"1,978","37,329",19.10,18.65,18.87,16
114/07/24,"10,105","189,200",19.50,18.65,18.72,13
114/07/23,"7,211","135,496",19.00,18.15,18.79,10
114/07/22,"31,452","589,330",19.10,18.60,18.74,24
114/07/21,"22,586","424,676",19.10,18.70,18.80,27
114/07/18,"52,397","997,930",19.55,18.65,19.05,32
114/07/17,"10,231","191,698",18.90,18.15,18.74,16
114/07/16,"4,349","79,238",18.80,18.20,18.22,7
114/07/15,"12,002","220,037",18.80,18.10,18.33,6
114/07/14,"4,003","72,055",18.35,18.00,18.00,4
114/07/11,"3,136","57,145",18.35,17.95,18.22,6
114/07/10,251,"4,605",18.35,18.35,18.35,4
114/07/09,1,18,18.35,18.35,18.35,1
114/07/08,"2,001","36,718",18.35,18.35,18.35,3
114/07/07,100,"1,835",18.35,18.35,18.35,1
114/07/04,0,0,0.00,0.00,0.00,0
114/07/03,"2,491","45,585",18.30,18.30,18.30,9
114/07/02,"3,528","64,562",18.30,18.30,18.30,11
114/07/01,"3,113","56,972",18.35,17.90,18.30,7
114/06/30,"14,201","259,058",18.40,17.90,18.24,11
114/06/27,3,54,18.50,17.90,18.30,3
114/06/26,"7,404","134,182",18.15,18.10,18.12,12
114/06/25,"4,670","84,283",18.10,17.60,18.05,9
114/06/24,182,"3,285",18.05,18.05,18.05,4
114/06/23,101,"1,823",18.05,18.05,18.05,2
114/06/20,"1,022","17,796",18.05,17.40,17.41,4
114/06/19,"9,012","160,116",18.00,17.70,17.77,7
114/06/18,"45,314","810,833",18.10,17.80,17.89,19
114/06/17,"59,223","1,066,133",18.75,17.20,18.00,26
114/06/16,"7,002","127,637",18.75,18.20,18.23,4
114/06/13,110,"2,057",18.75,18.20,18.71,3
114/06/12,80,"1,500",18.75,18.75,18.75,1
114/06/11,216,"4,056",18.80,18.05,18.78,3
114/06/10,"3,565","67,022",18.80,18.80,18.80,6
114/06/09,1,18,18.80,18.80,18.80,1
114/06/06,"1,050","19,635",18.70,18.70,18.70,2
114/06/05,633,"11,862",18.75,18.70,18.74,3
114/06/04,0,0,0.00,0.00,0.00,0
114/06/03,502,"9,212",18.70,18.35,18.35,3
114/06/02,"9,005","166,092",18.75,18.30,18.44,11
114/05/29,"17,253","318,783",18.80,18.30,18.48,15
114/05/28,"38,366","713,788",19.40,18.40,18.60,22
114/05/27,"6,281","114,949",18.40,18.20,18.30,10
114/05/26,0,0,0.00,0.00,0.00,0
114/05/23,"4,100","75,060",18.60,18.00,18.31,4
114/05/22,300,"5,580",18.60,18.60,18.60,2
114/05/21,100,"1,850",18.50,18.50,18.50,1
114/05/20,"14,000","252,050",18.40,17.95,18.00,4
114/05/19,400,"7,440",18.60,18.60,18.60,1
114/05/16,"7,001","127,018",18.20,18.10,18.14,3
114/05/15,"1,302","23,696",18.20,18.20,18.20,4
114/05/14,"1,000","18,200",18.20,18.20,18.20,1
114/05/13,"26,300","476,230",18.20,18.00,18.11,14
114/05/12,"9,000","162,650",18.10,18.05,18.07,4
114/05/09,"1,000","17,800",17.80,17.80,17.80,1
114/05/08,"21,701","389,552",18.05,17.80,17.95,11
114/05/07,"1,000","18,050",18.05,18.05,18.05,1
114/05/06,101,"1,757",17.40,17.40,17.40,3
114/05/05,"11,300","200,640",17.80,17.70,17.76,5
114/05/02,"13,483","239,991",18.10,17.35,17.80,15
114/04/30,"1,589","28,680",18.05,17.40,18.05,6
114/04/29,"3,321","59,150",17.95,17.40,17.81,4
114/04/28,303,"5,408",17.85,17.85,17.85,3
114/04/25,"74,321","1,312,382",18.10,17.10,17.66,33
114/04/24,0,0,0.00,0.00,0.00,0
114/04/23,"6,446","116,445",18.10,18.05,18.06,7
114/04/22,0,0,0.00,0.00,0.00,0
114/04/21,0,0,0.00,0.00,0.00,0
114/04/18,0,0,0.00,0.00,0.00,0
114/04/17,169,"2,990",18.00,17.35,17.70,2
114/04/16,304,"5,274",17.35,17.35,17.35,2
114/04/15,"7,701","138,277",18.00,17.80,17.96,5
114/04/14,102,"1,836",18.00,18.00,18.00,3
114/04/11,"44,601","778,192",17.95,17.10,17.45,18
114/04/10,"52,505","947,896",18.65,17.85,18.05,26
114/04/09,"29,751","532,656",18.70,17.70,17.90,10
114/04/08,"13,381","245,092",18.40,18.05,18.32,8
114/04/07,"61,285","1,139,705",19.40,18.00,18.60,27
114/04/02,"59,050","1,171,495",19.95,19.50,19.84,20
114/04/01,"8,502","166,288",19.70,19.30,19.56,8
114/03/31,"71,149","1,387,233",20.10,19.30,19.50,27
114/03/28,"27,097","539,497",20.10,19.85,19.91,10
