日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/03/13,"20,606","328,606",16.10,15.85,15.95,16
114/03/12,"17,139","273,081",16.10,15.90,15.93,12
114/03/11,"53,503","847,548",16.10,15.70,15.84,23
114/03/10,"258,612","4,155,789",16.25,15.85,16.07,92
114/03/07,"94,104","1,486,644",16.10,15.55,15.80,40
114/03/06,"32,389","515,547",16.10,15.85,15.92,25
114/03/05,"21,204","335,584",16.10,15.80,15.83,12
114/03/04,"12,002","188,782",16.05,15.70,15.73,9
114/03/03,"19,202","303,901",16.10,15.70,15.83,15
114/02/27,"21,066","333,362",16.10,15.80,15.82,12
114/02/26,"13,003","205,697",16.05,15.80,15.82,9
114/02/25,"13,103","207,308",16.10,15.80,15.82,8
114/02/24,"28,336","450,259",16.10,15.80,15.89,12
114/02/21,"65,216","1,030,685",16.00,15.70,15.80,20
114/02/20,"106,003","1,678,698",16.10,15.70,15.84,30
114/02/19,"2,216","35,176",16.20,15.85,15.87,7
114/02/18,"17,412","277,609",16.10,15.70,15.94,13
114/02/17,"154,005","2,429,278",16.00,15.60,15.77,54
114/02/14,"42,590","678,268",16.10,15.75,15.93,23
114/02/13,"39,203","631,564",16.45,16.00,16.11,21
114/02/12,"140,030","2,297,982",16.65,16.00,16.41,54
114/02/11,"28,185","460,570",16.60,15.95,16.34,12
114/02/10,"252,837","4,137,097",16.80,15.90,16.36,86
114/02/07,"82,204","1,333,976",16.90,16.10,16.23,36
114/02/06,"40,011","641,077",16.20,15.85,16.02,20
114/02/05,"31,053","494,503",16.10,15.85,15.92,17
114/02/04,"15,101","239,876",16.10,15.85,15.88,6
114/02/03,"74,001","1,176,315",16.00,15.85,15.90,29
114/01/22,"42,219","675,796",16.10,15.80,16.01,21
114/01/21,"29,125","460,412",15.90,15.70,15.81,12
114/01/20,"39,001","617,815",16.00,15.70,15.84,17
114/01/17,"17,000","269,550",16.05,15.75,15.86,8
114/01/16,"27,101","428,876",16.10,15.75,15.83,14
114/01/15,"17,001","269,515",16.00,15.80,15.85,7
114/01/14,"60,100","962,750",16.10,15.90,16.02,29
114/01/13,"170,785","2,709,856",16.45,15.65,15.87,52
114/01/10,"286,563","4,671,430",16.70,15.80,16.30,138
114/01/09,"143,201","2,233,515",15.80,15.50,15.60,46
114/01/08,"33,200","512,065",15.60,15.25,15.42,13
114/01/07,"57,659","876,085",15.60,14.95,15.19,35
114/01/06,"55,002","850,680",15.60,15.35,15.47,20
114/01/03,"23,000","360,150",15.80,15.55,15.66,7
114/01/02,"12,201","190,275",15.60,15.55,15.60,8
113/12/31,"55,011","857,371",15.75,15.55,15.59,20
113/12/30,"51,315","801,289",15.85,15.55,15.62,18
113/12/27,"37,209","576,685",15.85,15.45,15.50,17
113/12/26,"40,155","625,633",15.70,15.45,15.58,18
113/12/25,"181,004","2,817,162",15.65,15.50,15.56,21
113/12/24,"29,602","459,321",15.65,15.35,15.52,13
113/12/23,"90,439","1,393,297",15.60,15.30,15.41,30
113/12/20,"44,533","687,712",15.85,15.20,15.44,24
113/12/19,"7,203","110,801",15.80,15.25,15.38,8
113/12/18,"67,311","1,036,737",16.20,15.15,15.40,24
113/12/17,"64,050","989,675",15.55,15.20,15.45,22
113/12/16,"82,300","1,270,640",15.65,15.15,15.44,25
113/12/13,"66,326","1,025,631",15.90,15.40,15.46,29
113/12/12,"97,201","1,510,830",15.85,15.45,15.54,31
113/12/11,"46,100","713,200",15.50,15.45,15.47,13
113/12/10,"42,411","663,349",15.95,15.45,15.64,24
113/12/09,"77,501","1,218,045",16.30,15.40,15.72,41
113/12/06,"78,201","1,251,911",16.55,15.90,16.01,33
113/12/05,"135,253","2,210,218",16.60,16.15,16.34,47
113/12/04,"330,774","5,567,749",17.10,16.30,16.83,124
113/12/03,"112,399","1,830,918",16.60,16.05,16.29,51
113/12/02,"437,801","7,203,696",16.90,16.30,16.45,151
113/11/29,"336,870","5,434,518",16.50,15.30,16.13,127
113/11/28,"90,254","1,372,328",15.70,15.00,15.21,45
113/11/27,"73,338","1,137,380",15.90,15.40,15.51,36
113/11/26,"99,100","1,549,080",16.00,15.45,15.63,26
113/11/25,"76,000","1,182,750",15.65,15.50,15.56,24
113/11/22,"121,151","1,890,238",15.85,15.40,15.60,39
113/11/21,"19,512","304,761",15.65,15.50,15.62,10
113/11/20,"71,102","1,098,121",15.80,15.35,15.44,32
113/11/19,"35,104","547,297",15.90,15.15,15.59,18
113/11/18,"24,362","380,979",15.95,15.50,15.64,20
113/11/15,"12,449","194,311",15.95,15.45,15.61,9
113/11/14,"65,034","1,007,094",15.95,15.40,15.49,31
113/11/13,"52,201","822,471",16.05,15.60,15.76,17
113/11/12,"102,000","1,589,350",15.70,15.45,15.58,28
113/11/11,"382,645","6,071,715",16.25,15.50,15.87,119
113/11/08,"66,550","1,001,492",15.65,14.95,15.05,39
113/11/07,"91,938","1,386,240",15.65,15.00,15.08,35
113/11/06,"25,350","396,207",15.90,15.45,15.63,16
113/11/05,"47,951","743,637",15.95,15.25,15.51,31
113/11/04,"108,873","1,645,479",16.00,14.85,15.11,49
113/11/01,"120,223","1,831,505",16.00,14.95,15.23,46
113/10/30,"27,401","410,354",15.30,14.90,14.98,18
113/10/29,"14,773","222,261",15.30,14.95,15.05,12
113/10/28,"73,425","1,101,870",15.35,14.95,15.01,30
113/10/25,"31,337","469,219",15.35,14.85,14.97,15
113/10/24,"33,300","500,215",15.35,14.90,15.02,17
113/10/23,"10,300","156,215",15.45,15.05,15.17,8
113/10/22,"98,200","1,489,785",15.45,15.05,15.17,36
113/10/21,"47,101","717,220",15.55,15.00,15.23,23
113/10/18,"63,500","972,385",15.80,15.05,15.31,22
113/10/17,"75,250","1,154,017",15.95,15.25,15.34,24
113/10/16,"49,350","759,667",15.95,15.15,15.39,23
113/10/15,"231,100","3,493,910",15.45,15.00,15.12,79
113/10/14,"30,100","462,185",15.85,15.25,15.35,14
113/10/11,"30,686","473,573",15.85,15.25,15.43,20
113/10/09,"37,065","577,335",16.05,15.45,15.58,16
113/10/08,"48,480","759,916",16.00,15.35,15.67,22
113/10/07,"133,150","2,044,192",15.95,15.15,15.35,53
113/10/04,"129,650","2,013,312",16.00,15.25,15.53,50
113/10/01,"108,500","1,745,522",16.45,15.85,16.09,39
113/09/30,"21,240","331,087",16.00,15.50,15.59,15
113/09/27,"28,200","443,290",16.00,15.55,15.72,17
113/09/26,"40,200","633,460",16.05,15.65,15.76,16
113/09/25,"38,550","613,295",16.10,15.75,15.91,12
113/09/24,"85,312","1,357,470",16.00,15.70,15.91,36
113/09/23,"57,100","931,360",16.60,16.00,16.31,25
113/09/20,"36,992","598,258",16.50,15.85,16.17,23
113/09/19,"30,721","499,277",16.60,15.95,16.25,18
113/09/18,"161,520","2,600,021",16.95,15.60,16.10,58
113/09/16,"56,452","888,793",16.15,15.65,15.74,30
113/09/13,"4,152","67,054",16.25,15.75,16.15,7
113/09/12,"25,301","407,326",16.50,16.05,16.10,17
113/09/11,"7,201","114,181",16.10,15.80,15.86,7
113/09/10,"47,500","756,885",16.45,15.75,15.93,24
113/09/09,"50,014","801,575",16.15,15.75,16.03,24
113/09/06,"64,323","1,039,275",16.65,15.95,16.16,31
113/09/05,"23,100","382,720",16.70,16.25,16.57,10
113/09/04,"38,000","635,050",17.00,16.50,16.71,13
113/09/03,"41,601","694,231",16.90,16.40,16.69,32
113/09/02,"29,601","483,826",16.60,16.30,16.34,15
