日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/22,"262,407","21,180,825",82.00,79.50,80.72,318
114/08/21,"279,736","22,902,013",82.60,80.00,81.87,"7,708"
114/08/20,"248,812","19,800,935",82.00,77.70,79.58,"2,864"
114/08/19,"193,102","15,078,349",79.90,77.70,78.08,"2,113"
114/08/18,"524,655","41,350,078",80.80,77.90,78.81,478
114/08/15,"159,057","12,759,912",80.90,79.80,80.22,230
114/08/14,"213,576","17,154,624",81.20,80.00,80.32,385
114/08/13,"171,198","13,903,684",82.2,80.5,81.21,223
114/08/12,"226,014","18,293,757",82.5,80.4,80.94,247
114/08/11,"308,706","25,438,655",84.2,81.5,82.4,524
114/08/08,"140,783","11,460,151",82.3,80.5,81.4,677
114/08/07,"138,295","11,165,059",81.4,80.5,80.73,178
114/08/06,"165,602","13,402,319",82.0,80.6,80.93,434
114/08/05,"331,342","26,867,166",82.2,80.1,81.09,861
114/08/04,"253,874","20,838,696",83.0,81.1,82.08,376
114/08/01,"112,742","9,274,878",83.0,80.0,82.27,335
114/07/31,"267,777","21,891,292",82.9,80.2,81.75,240
114/07/30,"205,047","16,829,415",83.3,81.0,82.08,349
114/07/29,"232,782","19,266,187",84.0,80.9,82.76,298
114/07/28,"113,940","9,565,888",85.9,83.1,83.96,165
114/07/25,"274,590","23,444,656",87.0,84.6,85.38,289
114/07/24,"291,205","24,552,715",85.9,83.0,84.31,"1,184"
114/07/23,"178,732","14,759,707",84.2,81.4,82.58,207
114/07/22,"83,072","6,821,212",83.2,81.0,82.11,178
114/07/21,"134,061","10,988,032",82.9,81.0,81.96,150
114/07/18,"130,662","10,696,177",82.8,81.2,81.86,145
114/07/17,"50,905","4,207,350",83.0,82.3,82.65,58
114/07/16,"96,731","8,005,987",83.4,82.4,82.77,261
114/07/15,"85,655","7,113,609",83.5,82.7,83.05,185
114/07/14,"179,213","14,957,226",84.3,82.0,83.46,415
114/07/11,"102,475","8,477,839",83.6,81.9,82.73,162
114/07/10,"112,662","9,343,357",84.0,81.8,82.93,316
114/07/09,"203,104","16,721,047",84.0,80.2,82.33,281
114/07/08,"199,117","15,972,572",81.8,78.8,80.22,206
114/07/07,"116,213","9,234,857",81.3,78.7,79.46,200
114/07/04,"157,229","12,746,874",83.2,80.1,81.07,197
114/07/03,"148,899","12,293,957",84.0,81.7,82.57,172
114/07/02,"200,449","16,795,406",85.5,82.3,83.79,282
114/07/01,"244,001","20,496,130",85.3,82.5,84.0,214
114/06/30,"56,778","4,664,846",83.8,81.7,82.16,101
114/06/27,"207,486","16,995,696",84.0,81.0,81.91,217
114/06/26,"156,164","13,070,997",84.9,82.2,83.7,166
114/06/25,"330,261","27,520,570",84.8,80.0,83.33,330
114/06/24,"124,809","9,940,708",81.0,78.0,79.65,148
114/06/23,"176,521","13,853,094",80.0,77.0,78.48,189
114/06/20,"142,847","11,307,449",80.6,78.5,79.16,172
114/06/19,"242,811","19,434,503",82.3,79.4,80.04,352
114/06/18,"693,046","56,708,831",85.2,80.0,81.83,617
114/06/17,"190,582","16,180,780",85.9,83.8,84.9,194
114/06/16,"202,648","17,159,817",86.8,83.5,84.68,189
114/06/13,"248,851","21,710,920",88.8,86.0,87.24,204
114/06/12,"242,114","21,128,773",88.1,86.5,87.27,199
114/06/11,"246,431","21,443,076",87.9,86.2,87.01,266
114/06/10,"342,152","29,743,909",88.2,85.7,86.93,589
114/06/09,"312,442","26,458,763",87.8,82.8,84.68,609
114/06/06,"81,552","6,802,451",84.2,82.1,83.41,158
114/06/05,"65,866","5,467,025",83.5,82.0,83.0,158
114/06/04,"136,747","11,227,390",83.7,80.5,82.1,227
114/06/03,"123,465","9,998,762",82.8,80.2,80.98,177
114/06/02,"154,278","12,651,571",84.2,81.5,82.01,167
114/05/29,"185,342","15,203,736",84.1,81.4,82.03,336
114/05/28,"246,686","20,446,212",84.6,81.6,82.88,261
114/05/27,"118,379","9,936,408",85.0,83.0,83.94,226
114/05/26,"201,931","17,083,052",86.0,84.0,84.6,242
114/05/23,"653,466","56,002,492",89.4,83.0,85.7,896
114/05/22,"361,834","29,427,710",82.9,79.7,81.33,320
114/05/21,"118,624","9,853,109",83.6,82.6,83.06,256
114/05/20,"288,747","23,990,053",84.1,82.2,83.08,523
114/05/19,"381,152","31,811,853",85.9,81.4,83.46,579
114/05/16,"698,591","57,598,352",85.4,79.0,82.45,"1,173"
114/05/15,"337,410","26,843,662",81.0,78.5,79.56,795
114/05/14,"574,299","45,209,434",80.7,76.5,78.72,"2,037"
114/05/13,"690,392","54,908,985",82.1,77.6,79.53,841
114/05/12,"331,278","25,402,208",78.2,75.9,76.68,225
114/05/09,"261,346","20,088,263",78.3,75.9,76.86,238
114/05/08,"423,377","32,043,639",78.2,73.2,75.69,"1,351"
114/05/07,"193,606","14,116,187",73.9,72.0,72.91,139
114/05/06,"127,283","9,264,597",73.5,71.8,72.79,163
114/05/05,"339,555","24,910,728",75.0,72.2,73.36,226
114/05/02,"196,509","14,592,777",75.4,73.7,74.26,189
114/04/30,"180,018","13,454,771",76.2,73.7,74.74,138
114/04/29,"92,031","6,827,187",74.7,73.8,74.18,97
114/04/28,"175,124","13,100,259",76.2,73.6,74.81,280
114/04/25,"295,011","22,224,621",77.3,73.7,75.33,265
114/04/24,"177,630","13,387,807",76.2,74.9,75.37,142
114/04/23,"254,594","19,208,517",76.9,74.4,75.45,211
114/04/22,"385,506","28,590,330",77.0,72.4,74.16,333
114/04/21,"725,100","55,982,869",80.1,74.3,77.21,999
114/04/18,"478,796","35,241,069",75.3,71.8,73.6,454
114/04/17,"342,078","23,970,136",72.2,68.5,70.07,374
114/04/16,"417,555","29,290,277",71.8,69.4,70.15,324
114/04/15,"531,067","37,485,809",72.4,69.4,70.59,522
114/04/14,"478,747","32,640,159",69.3,64.9,68.18,504
114/04/11,"719,087","46,118,114",69.0,61.8,64.13,461
114/04/10,"1,192,682","83,021,953",73.3,60.0,69.61,770
114/04/09,"1,540,062","91,172,972",66.0,55.0,59.2,873
114/04/08,"1,021,485","64,209,274",66.3,60.0,62.86,653
114/04/07,"1,887,604","120,469,959",78.2,59.8,63.82,"1,329"
