日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/13,"6,188","590,435",99.30,94.50,95.42,20
114/08/12,"42,293","4,032,048",99.80,94.60,95.34,56
114/08/11,"4,437","433,902",99.80,96.00,97.79,14
114/08/08,"13,889","1,358,625",99.50,96.00,97.82,22
114/08/07,"82,243","7,849,305",103.00,91.20,95.44,133
114/08/06,"8,841","891,165",103.00,99.00,100.80,19
114/08/05,7,721,103.00,103.00,103.00,3
114/08/04,"3,777","379,838",103.00,99.00,100.57,12
114/08/01,134,"13,355",103.00,99.00,99.66,9
114/07/31,"10,644","1,070,584",103.50,97.50,100.58,30
114/07/30,"32,554","3,178,890",100.00,96.00,97.65,89
114/07/29,"4,421","435,844",101.00,98.00,98.59,13
114/07/28,"4,931","494,385",100.50,98.50,100.26,15
114/07/25,"19,325","1,913,212",101.50,98.50,99.00,65
114/07/24,"2,182","219,441",101.50,100.00,100.57,10
114/07/23,"8,766","881,339",101.00,99.00,100.54,18
114/07/22,"15,679","1,566,155",101.00,99.00,99.89,57
114/07/21,"6,656","673,083",103.00,100.50,101.12,25
114/07/18,"5,422","547,965",103.50,100.00,101.06,22
114/07/17,"9,074","924,999",103.50,101.50,101.94,32
114/07/16,"6,177","631,089",103.50,101.50,102.17,16
114/07/15,"7,865","804,260",104.50,101.50,102.26,25
114/07/14,"11,165","1,141,807",105.00,101.50,102.27,39
114/07/11,"78,408","8,130,921",109.50,99.00,103.70,185
114/07/10,"63,590","7,242,217",115.00,112.50,113.89,118
114/07/09,"25,931","2,929,206",115.50,110.50,112.96,36
114/07/08,"38,465","4,233,190",114.00,107.00,110.05,89
114/07/07,"11,770","1,331,122",114.00,111.00,113.09,35
114/07/04,"13,692","1,517,600",115.00,109.50,110.84,28
114/07/03,"13,574","1,523,036",115.50,110.00,112.20,22
114/07/02,"16,685","1,888,855",114.50,112.00,113.21,33
114/07/01,"13,697","1,571,615",116.50,113.50,114.74,21
114/06/30,"21,880","2,526,121",117.50,114.50,115.45,41
114/06/27,"31,412","3,672,615",118.50,114.50,116.92,35
114/06/26,"49,421","5,580,476",118.50,110.00,112.92,52
114/06/25,"34,843","3,949,130",114.00,112.50,113.34,39
114/06/24,"16,481","1,857,444",114.00,111.00,112.70,32
114/06/23,"21,618","2,313,374",111.00,106.00,107.01,26
114/06/20,"10,585","1,140,605",108.50,107.00,107.76,16
114/06/19,"21,904","2,378,274",110.00,107.50,108.58,34
114/06/18,"20,743","2,304,082",113.50,110.00,111.08,36
114/06/17,"13,086","1,476,538",114.50,111.50,112.83,27
114/06/16,"27,639","3,125,142",115.00,110.00,113.07,293
114/06/13,"31,096","3,454,201",115.50,107.00,111.08,188
114/06/12,"89,967","10,041,693",116.00,107.00,111.62,229
114/06/11,"3,562","381,465",108.00,105.00,107.09,19
114/06/10,"10,297","1,091,745",107.50,103.00,106.03,27
114/06/09,"13,077","1,352,041",107.00,102.00,103.39,18
114/06/06,"6,065","619,657",104.00,101.50,102.17,13
114/06/05,"21,536","2,230,366",106.00,102.50,103.56,26
114/06/04,"5,766","591,551",104.50,102.00,102.59,15
114/06/03,"27,908","2,825,486",106.00,100.00,101.24,34
114/06/02,"14,356","1,481,254",105.50,101.50,103.18,36
114/05/29,"22,766","2,413,364",112.00,104.50,106.01,50
114/05/28,"40,731","4,560,455",115.50,108.50,111.97,57
114/05/27,"69,578","7,685,310",113.00,107.00,110.46,87
114/05/26,"54,711","5,765,988",108.50,101.50,105.39,73
114/05/23,"26,384","2,650,713",102.00,100.00,100.47,35
114/05/22,"15,608","1,558,274",101.50,99.10,99.84,51
114/05/21,"3,397","343,753",102.50,101.00,101.19,19
114/05/20,"4,228","427,568",103.00,100.50,101.13,26
114/05/19,"1,377","141,711",103.00,101.50,102.91,18
114/05/16,"23,595","2,414,008",105.50,100.00,102.31,36
114/05/15,"9,640","964,758",100.50,99.10,100.08,23
114/05/14,"20,269","2,024,530",101.00,99.50,99.88,36
114/05/13,"6,396","645,681",103.50,100.50,100.95,14
114/05/12,"11,067","1,119,334",103.50,100.00,101.14,17
