日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/22,"1,007","62,345",64.0,61.9,61.91,4
114/08/21,8,519,64.9,64.9,64.9,1
114/08/20,2,126,64.9,61.9,63.4,2
114/08/19,"4,011","255,822",65.7,63.7,63.78,4
114/08/18,"4,307","273,646",65.7,62.7,63.54,9
114/08/15,418,"27,798",66.6,66.5,66.5,9
114/08/14,24,"1,595",66.7,63.8,66.46,8
114/08/13,222,"14,822",66.8,63.6,66.77,5
114/08/12,"4,287","280,335",66.2,64.1,65.39,7
114/08/11,"1,881","123,076",66.2,64.1,65.43,10
114/08/08,"11,200","720,521",66.8,63.8,64.33,16
114/08/07,"11,472","750,569",66.9,62.6,65.43,24
114/08/06,"15,560","970,005",63.1,61.5,62.34,15
114/08/05,"7,126","432,772",61.0,58.0,60.73,9
114/08/04,"11,211","676,190",61.2,58.0,60.31,9
114/08/01,"31,100","1,894,524",64.0,55.6,60.92,38
114/07/31,"7,021","391,920",58.5,55.6,55.82,10
114/07/30,"5,012","281,770",56.3,53.5,56.22,5
114/07/29,"2,065","115,640",56.0,56.0,56.0,4
114/07/28,10,560,56.0,56.0,56.0,1
114/07/25,34,"1,844",56.0,53.5,54.24,2
114/07/24,12,675,56.3,56.3,56.3,2
114/07/23,"3,587","201,648",56.3,56.2,56.22,6
114/07/22,0,0,0.0,0.0,0.0,0
114/07/21,40,"2,256",56.4,56.4,56.4,1
114/07/18,11,620,56.4,56.4,56.4,2
114/07/17,2,110,56.4,53.7,55.05,2
114/07/16,"2,102","114,578",54.7,53.7,54.51,5
114/07/15,"1,002","54,711",57.2,54.6,54.6,3
114/07/14,0,0,0.0,0.0,0.0,0
114/07/11,0,0,0.0,0.0,0.0,0
114/07/10,10,574,57.4,57.4,57.4,1
114/07/09,0,0,0.0,0.0,0.0,0
114/07/08,0,0,0.0,0.0,0.0,0
114/07/07,"7,200","405,370",58.7,54.9,56.3,12
114/07/04,"3,030","172,723",57.6,54.8,57.0,10
114/07/03,"7,154","411,464",59.5,55.0,57.52,15
114/07/02,"1,054","63,222",60.5,58.0,59.98,10
114/07/01,"10,134","603,955",62.5,58.5,59.6,15
114/06/30,"5,492","335,198",62.7,59.7,61.03,14
114/06/27,"25,463","1,549,571",62.1,56.5,60.86,27
114/06/26,"13,308","738,344",58.8,54.4,55.48,18
114/06/25,"1,042","54,338",54.4,52.1,52.15,10
114/06/24,238,"12,501",54.4,52.0,52.53,8
114/06/23,"21,151","1,124,059",57.7,52.0,53.14,14
114/06/20,32,"1,787",57.5,55.1,55.84,3
114/06/19,"4,442","248,781",56.8,55.1,56.01,10
114/06/18,"16,170","929,100",62.2,55.0,57.46,25
114/06/17,"48,678","3,004,267",66.0,59.8,61.72,48
114/06/16,"46,263","2,662,172",60.0,53.5,57.54,47
114/06/13,"7,429","394,459",53.5,53.0,53.1,13
114/06/12,80,"4,240",53.0,53.0,53.0,3
114/06/11,"2,394","122,858",53.1,50.5,51.32,9
114/06/10,"9,690","500,209",52.1,51.3,51.62,11
114/06/09,55,"2,832",51.5,51.5,51.5,3
114/06/06,231,"11,894",51.5,49.0,51.49,5
114/06/05,361,"18,589",51.5,49.85,51.5,5
114/06/04,"6,080","307,273",52.6,50.4,50.54,9
