日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/13,"73,264","4,622,330",63.40,62.80,63.09,51
114/08/12,"168,099","10,567,328",63.30,62.50,62.86,116
114/08/11,"294,765","18,584,790",64.70,61.90,63.05,204
114/08/08,"230,391","14,175,466",62.10,60.00,61.53,139
114/08/07,"188,140","11,291,541",61.00,59.50,60.02,102
114/08/06,"206,512","12,482,125",60.90,59.80,60.44,129
114/08/05,"280,050","16,775,882",60.40,59.00,59.90,166
114/08/04,"167,970","9,620,955",59.90,56.10,57.28,89
114/08/01,"26,615","1,523,258",57.80,55.50,57.23,23
114/07/31,"31,343","1,784,224",57.60,56.00,56.93,27
114/07/30,"2,275","130,692",57.50,56.00,57.45,5
114/07/29,"5,465","309,389",57.70,56.00,56.61,12
114/07/28,"3,282","185,369",57.70,55.60,56.48,6
114/07/25,"11,795","673,364",57.70,55.40,57.09,14
114/07/24,"73,529","4,178,152",57.80,55.90,56.82,42
114/07/23,"56,497","3,254,948",58.40,56.40,57.61,36
114/07/22,"94,339","5,445,456",58.50,57.30,57.72,64
114/07/21,"24,611","1,433,253",58.90,57.60,58.24,27
114/07/18,"30,460","1,784,790",59.30,58.20,58.59,26
114/07/17,"40,771","2,396,476",59.60,58.10,58.78,30
114/07/16,"103,021","6,080,998",59.60,58.20,59.03,82
114/07/15,"134,796","7,896,408",59.50,56.60,58.58,98
114/07/14,"56,190","3,189,007",58.50,56.20,56.75,65
114/07/11,"135,901","7,693,783",58.40,55.50,56.61,112
114/07/10,"98,808","5,459,286",55.80,55.00,55.25,47
114/07/09,"54,085","2,992,912",55.60,55.00,55.34,29
114/07/08,"52,007","2,864,922",55.70,54.80,55.09,38
114/07/07,"36,067","1,990,452",56.00,54.90,55.19,23
114/07/04,"99,762","5,504,509",56.40,54.70,55.18,58
114/07/03,"96,510","5,428,114",57.20,55.60,56.24,50
114/07/02,"93,121","5,306,627",57.60,56.30,56.99,56
114/07/01,"34,016","1,946,817",57.60,56.90,57.23,21
114/06/30,"45,310","2,584,614",57.60,56.60,57.04,25
114/06/27,"107,275","6,112,575",57.50,56.70,56.98,40
114/06/26,"50,967","2,925,058",58.30,57.00,57.39,32
114/06/25,"137,228","7,932,302",58.40,57.20,57.80,62
114/06/24,"139,192","7,920,519",57.60,56.20,56.90,72
114/06/23,"201,038","11,679,988",59.50,56.40,58.10,107
114/06/20,"201,171","11,953,915",59.90,59.00,59.42,76
114/06/19,"252,377","15,036,217",60.20,59.00,59.58,89
114/06/18,"178,022","10,634,610",60.20,59.40,59.74,54
114/06/17,"292,839","17,526,306",60.50,59.40,59.85,112
114/06/16,"139,194","8,315,945",60.90,59.00,59.74,85
114/06/13,"214,708","12,711,965",61.20,57.50,59.21,144
114/06/12,"532,458","31,561,359",61.10,56.00,59.27,304
114/06/11,"175,529","9,803,222",57.80,55.10,55.85,110
114/06/10,"112,167","6,181,863",55.50,54.50,55.11,74
114/06/09,"65,784","3,569,895",54.90,53.60,54.27,59
114/06/06,"104,317","5,592,516",54.90,53.00,53.61,65
114/06/05,"80,586","4,290,588",54.20,51.90,53.24,63
114/06/04,"11,919","622,047",52.50,51.60,52.19,15
114/06/03,"35,256","1,835,260",52.50,51.70,52.06,30
114/06/02,"26,884","1,400,594",52.50,51.70,52.10,32
114/05/29,"43,654","2,271,398",52.50,51.50,52.03,42
114/05/28,"13,263","673,696",52.00,50.60,50.80,16
114/05/27,"33,882","1,734,927",52.20,50.70,51.20,26
114/05/26,"62,369","3,173,123",51.80,50.10,50.88,50
114/05/23,"66,704","3,459,607",52.30,51.30,51.87,39
114/05/22,"40,262","2,091,332",52.20,51.10,51.94,33
114/05/21,"101,754","5,317,673",53.00,51.80,52.26,59
114/05/20,"24,222","1,266,120",53.40,51.60,52.27,25
114/05/19,"18,030","952,109",53.80,52.50,52.81,13
114/05/16,"25,026","1,336,594",53.80,52.60,53.41,26
114/05/15,"61,079","3,287,781",55.00,53.50,53.83,43
114/05/14,"54,624","2,978,829",55.20,54.10,54.53,35
114/05/13,"21,273","1,168,129",55.40,54.50,54.91,21
114/05/12,"18,108","990,431",55.30,54.50,54.70,26
114/05/09,"12,231","674,595",55.40,54.50,55.15,15
114/05/08,"13,215","729,052",55.70,54.60,55.17,16
114/05/07,"12,002","666,611",56.00,55.20,55.54,8
114/05/06,"21,605","1,200,469",56.20,55.00,55.56,19
114/05/05,"16,053","899,160",56.90,55.70,56.01,15
114/05/02,"43,489","2,458,276",56.90,55.30,56.53,30
114/04/30,"10,162","571,574",56.90,55.30,56.25,13
114/04/29,"18,339","1,039,381",56.90,55.50,56.68,17
114/04/28,"41,270","2,334,414",57.30,56.20,56.56,33
114/04/25,"29,185","1,663,919",57.40,56.30,57.01,23
114/04/24,"26,488","1,497,490",57.50,56.00,56.53,23
114/04/23,"50,390","2,856,998",57.60,56.00,56.70,43
114/04/22,"16,775","940,476",56.30,54.70,56.06,24
114/04/21,"89,875","4,949,734",56.00,54.10,55.07,62
114/04/18,"4,578","252,898",56.00,54.30,55.24,11
114/04/17,"36,160","1,982,358",56.20,54.10,54.82,30
114/04/16,"23,890","1,325,148",56.20,55.20,55.47,25
114/04/15,"63,839","3,544,751",56.00,55.00,55.53,38
114/04/14,"20,725","1,137,057",55.20,54.00,54.86,22
114/04/11,"43,749","2,379,679",55.80,53.10,54.39,45
114/04/10,"205,872","11,366,787",56.80,51.00,55.21,131
114/04/09,"67,320","3,318,581",50.10,48.30,49.30,60
114/04/08,"101,094","4,876,269",49.45,46.00,48.24,84
114/04/07,"363,380","17,257,056",57.80,42.45,47.49,231
114/04/02,"34,374","1,995,552",58.80,57.80,58.05,27
114/04/01,"21,371","1,216,834",58.20,56.00,56.94,27
114/03/31,"85,970","4,853,173",58.00,55.10,56.45,71
114/03/28,"63,052","3,650,089",58.50,57.10,57.89,66
114/03/27,"24,219","1,401,218",58.40,57.10,57.86,28
114/03/26,"12,933","748,109",58.20,56.10,57.85,13
114/03/25,"27,193","1,561,406",58.10,56.80,57.42,36
114/03/24,"28,170","1,597,558",57.40,55.60,56.71,29
114/03/21,"36,681","2,047,148",56.40,54.00,55.81,33
114/03/20,"67,182","3,627,580",54.90,52.80,54.00,50
114/03/19,"259,882","13,795,238",55.50,50.80,53.08,156
114/03/18,"173,517","9,598,540",57.30,53.00,55.32,103
114/03/17,"49,544","2,852,639",58.50,56.80,57.58,45
114/03/14,"141,139","8,220,003",59.30,57.10,58.24,108
114/03/13,"56,361","3,328,802",60.00,58.80,59.06,41
114/03/12,"91,365","5,442,151",61.00,58.80,59.56,64
114/03/11,"68,315","4,167,830",61.60,59.80,61.01,45
114/03/10,"71,894","4,362,837",61.60,59.10,60.68,66
114/03/07,"96,121","5,700,796",60.10,58.80,59.31,69
114/03/06,"87,512","5,251,672",60.50,59.40,60.01,67
114/03/05,"221,819","13,309,675",61.20,59.10,60.00,136
114/03/04,"35,437","2,152,936",61.60,60.10,60.75,33
114/03/03,"53,692","3,284,876",61.80,60.10,61.18,34
114/02/27,"165,865","10,143,060",62.30,60.10,61.15,112
114/02/26,"314,103","19,847,784",64.50,61.60,63.19,197
114/02/25,"70,384","4,516,016",64.60,63.80,64.16,50
114/02/24,"123,167","7,932,197",65.00,63.90,64.40,71
114/02/21,"104,778","6,724,764",65.30,63.30,64.18,77
114/02/20,"203,677","13,134,307",66.50,63.30,64.49,121
114/02/19,"136,044","8,796,862",65.20,64.10,64.66,111
114/02/18,"245,154","15,732,311",65.90,62.60,64.17,183
114/02/17,"180,848","11,434,430",64.90,59.60,63.23,130
114/02/14,"60,013","3,620,690",61.60,59.80,60.33,32
114/02/13,"79,222","4,760,692",61.50,59.10,60.09,51
114/02/12,"230,348","14,331,319",64.00,59.80,62.22,115
114/02/11,"300,628","18,661,233",64.00,59.00,62.07,185
114/02/10,"166,726","9,733,202",59.10,57.40,58.38,103
114/02/07,"215,888","12,566,745",60.90,56.10,58.21,138
114/02/06,"309,794","19,043,379",63.60,59.70,61.47,208
114/02/05,"884,232","51,219,669",63.20,49.00,57.93,504
114/02/04,"119,623","5,765,832",50.20,46.00,48.20,103
114/02/03,"92,013","4,236,429",47.40,45.60,46.04,56
114/01/22,"122,727","5,750,758",47.65,45.70,46.86,89
114/01/21,"143,570","6,574,173",46.95,44.50,45.79,101
114/01/20,"104,426","4,604,455",44.90,42.30,44.09,74
114/01/17,"72,168","3,125,729",43.95,42.65,43.31,45
114/01/16,"31,101","1,323,188",43.00,42.00,42.54,29
114/01/15,"59,900","2,520,925",42.75,41.30,42.09,40
114/01/14,"65,209","2,632,160",41.50,40.00,40.36,35
114/01/13,"232,241","9,740,571",43.40,40.05,41.94,101
114/01/10,"65,303","2,774,958",43.15,42.00,42.49,39
114/01/09,"21,966","927,572",42.50,42.00,42.23,16
114/01/08,"42,919","1,797,416",42.35,41.70,41.88,29
114/01/07,"48,000","1,998,100",42.00,41.40,41.63,22
114/01/06,"108,330","4,466,995",42.40,40.55,41.24,48
114/01/03,"113,640","4,646,284",42.55,40.00,40.89,58
114/01/02,"111,637","4,506,171",40.90,39.95,40.36,37
113/12/31,"146,849","5,938,919",41.95,39.85,40.44,65
113/12/30,"103,049","4,196,140",41.80,40.40,40.72,59
113/12/27,"179,117","7,273,580",41.35,40.00,40.61,107
113/12/26,"20,895","852,150",41.00,40.65,40.78,13
113/12/25,"115,004","4,704,963",41.10,40.70,40.91,54
113/12/24,"74,100","3,034,715",41.15,40.80,40.95,37
113/12/23,"33,001","1,347,691",42.00,40.65,40.84,19
113/12/20,"64,020","2,617,220",41.60,40.60,40.88,43
113/12/19,"104,208","4,337,677",42.05,40.90,41.63,65
113/12/18,"85,000","3,477,800",42.05,40.45,40.92,61
113/12/17,"151,009","6,118,961",41.85,39.85,40.52,93
113/12/16,"47,530","1,937,206",41.15,40.15,40.76,29
113/12/13,"27,025","1,106,228",41.15,40.85,40.93,17
113/12/12,"26,409","1,083,119",41.40,40.85,41.01,24
113/12/11,"16,025","658,483",41.40,40.85,41.09,11
113/12/10,"7,000","287,700",41.65,40.85,41.10,5
113/12/09,"6,517","270,564",42.50,41.30,41.52,9
113/12/06,"21,154","880,743",42.45,41.00,41.63,23
113/12/05,"43,064","1,775,165",42.15,40.85,41.22,29
113/12/04,"23,402","970,278",42.00,40.85,41.46,21
113/12/03,"125,810","5,184,527",42.50,40.85,41.21,81
113/12/02,"30,101","1,259,387",42.65,41.20,41.84,18
113/11/29,"28,001","1,172,391",42.00,41.75,41.87,19
113/11/28,"37,791","1,590,072",42.30,42.00,42.08,20
113/11/27,"27,002","1,131,734",42.30,41.70,41.91,22
113/11/26,"23,075","975,995",42.60,41.85,42.30,15
113/11/25,"58,291","2,472,816",42.80,42.00,42.42,51
113/11/22,"55,439","2,355,606",42.75,42.25,42.49,50
113/11/21,"23,041","973,502",42.80,41.95,42.25,25
113/11/20,"54,093","2,287,256",42.80,41.65,42.28,43
113/11/19,"77,129","3,214,820",42.60,41.00,41.68,53
113/11/18,"16,001","674,042",42.40,42.00,42.13,11
113/11/15,"48,011","2,027,370",42.85,41.20,42.23,32
113/11/14,"84,751","3,493,423",41.80,40.80,41.22,51
113/11/13,"61,512","2,534,194",41.60,40.90,41.20,43
113/11/12,"30,570","1,270,005",41.80,41.35,41.54,18
113/11/11,"17,000","708,000",42.30,41.00,41.65,14
113/11/08,"213,081","9,161,552",44.05,41.65,43.00,125
113/11/07,"145,923","6,425,145",45.50,43.15,44.03,93
113/11/06,"346,011","15,211,069",45.15,41.85,43.96,191
113/11/05,"297,302","12,454,549",44.00,40.80,41.89,179
113/11/04,"106,022","4,293,890",40.95,39.85,40.50,63
113/11/01,"46,235","1,850,103",40.50,39.80,40.02,29
113/10/30,"89,387","3,581,441",40.95,39.85,40.07,55
113/10/29,"97,001","3,854,089",40.00,39.50,39.73,49
113/10/28,"70,321","2,797,650",40.00,39.50,39.78,39
113/10/25,"51,002","2,024,679",39.95,39.55,39.70,27
113/10/24,"45,002","1,782,279",39.85,39.35,39.60,30
113/10/23,"11,307","447,318",39.65,39.30,39.56,12
113/10/22,"48,034","1,850,508",39.10,38.05,38.52,32
113/10/21,"71,501","2,784,989",39.30,38.70,38.95,44
113/10/18,"88,112","3,434,321",39.30,38.60,38.98,52
113/10/17,"70,159","2,702,830",38.90,37.75,38.52,41
113/10/16,"51,897","1,973,605",38.50,37.80,38.03,24
113/10/15,"91,015","3,467,271",39.05,37.55,38.10,38
113/10/14,"74,035","2,789,487",38.25,37.15,37.68,38
113/10/11,"15,015","559,912",37.60,37.05,37.29,12
113/10/09,"97,035","3,618,266",37.90,37.00,37.29,49
113/10/08,"97,002","3,640,275",37.95,37.25,37.53,45
113/10/07,"142,277","5,331,294",38.15,37.05,37.47,63
113/10/04,"43,040","1,601,875",38.15,36.55,37.22,23
113/10/01,"38,016","1,406,050",37.55,36.60,36.99,20
113/09/30,"17,511","650,108",37.45,36.70,37.13,12
113/09/27,"96,615","3,565,204",37.65,36.60,36.90,45
113/09/26,"105,016","3,872,449",37.45,36.55,36.87,38
113/09/25,"81,372","3,019,812",37.35,36.85,37.11,40
113/09/24,"60,000","2,230,000",37.45,36.95,37.17,27
113/09/23,"56,169","2,076,457",37.40,36.55,36.97,32
113/09/20,"53,502","1,989,299",37.50,37.00,37.18,26
113/09/19,"56,165","2,085,560",37.75,36.85,37.13,36
113/09/18,"61,565","2,305,332",37.90,37.25,37.45,40
113/09/16,"30,146","1,131,377",37.90,37.25,37.53,25
113/09/13,"61,901","2,326,127",37.90,37.35,37.58,25
113/09/12,"54,443","2,048,513",37.95,36.95,37.63,28
113/09/11,"77,137","2,885,790",38.35,36.85,37.41,43
113/09/10,"58,507","2,189,273",38.35,36.95,37.42,40
113/09/09,"47,164","1,740,508",37.25,36.70,36.90,19
113/09/06,"38,120","1,403,744",37.20,36.00,36.82,23
113/09/05,"33,096","1,210,664",37.20,36.05,36.58,23
113/09/04,"45,419","1,655,352",37.00,36.10,36.45,41
113/09/03,"115,385","4,319,818",38.60,36.85,37.44,54
113/09/02,"106,014","3,961,683",38.35,36.10,37.37,53
