日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/22,"153,814","2,563,822",16.8,16.45,16.67,68
114/08/21,"184,250","3,055,660",16.85,16.35,16.58,89
114/08/20,"128,471","2,162,775",17.0,16.7,16.83,59
114/08/19,"236,189","4,037,024",17.75,16.8,17.09,115
114/08/18,"258,635","4,588,399",18.5,17.4,17.74,132
114/08/15,"307,274","5,615,871",19.1,17.35,18.28,144
114/08/14,"115,921","1,987,047",17.3,17.0,17.14,57
114/08/13,"221,195","3,854,537",17.85,17.1,17.43,104
114/08/12,"309,846","5,503,231",18.2,17.4,17.76,157
114/08/11,"524,264","9,426,672",18.8,17.4,17.98,203
114/08/08,"229,018","3,950,542",17.6,16.65,17.25,115
114/08/07,"458,605","8,284,655",19.35,17.2,18.06,250
114/08/06,"1,101,769","20,902,220",20.1,17.4,18.97,457
114/08/05,"567,814","9,995,730",19.7,14.0,17.6,241
114/08/04,"84,480","1,166,224",14.35,13.3,13.8,37
114/08/01,"22,008","305,064",14.4,13.7,13.86,24
114/07/31,"16,004","227,657",14.4,13.9,14.23,15
114/07/30,"43,376","616,343",14.6,13.95,14.21,29
114/07/29,"36,008","508,464",14.6,14.0,14.12,24
114/07/28,"27,455","370,541",14.0,13.35,13.5,25
114/07/25,"58,362","785,442",14.05,13.4,13.46,28
114/07/24,"64,254","869,658",14.1,13.45,13.53,42
114/07/23,"37,203","513,573",14.35,13.6,13.8,21
114/07/22,"33,846","464,870",13.85,13.55,13.73,27
114/07/21,"154,563","2,133,463",15.0,13.3,13.8,77
114/07/18,"65,717","966,486",15.15,14.5,14.71,38
114/07/17,"18,358","268,298",14.95,14.5,14.61,20
114/07/16,"91,303","1,341,269",14.95,14.45,14.69,35
114/07/15,"7,374","107,128",15.1,14.45,14.53,8
114/07/14,"33,502","505,180",15.6,14.5,15.08,12
114/07/11,"53,163","805,759",15.6,14.75,15.16,31
114/07/10,"81,449","1,219,034",15.55,14.8,14.97,51
114/07/09,"91,627","1,408,128",16.15,15.0,15.37,44
114/07/08,"80,468","1,271,598",16.55,15.5,15.8,45
114/07/07,"14,944","245,498",16.75,16.15,16.43,10
114/07/04,"24,008","393,183",16.75,16.1,16.38,19
114/07/03,"259,404","4,128,378",17.0,14.95,15.91,112
114/07/02,"120,055","2,032,693",17.3,16.6,16.93,47
114/07/01,"256,606","4,386,267",18.0,16.8,17.09,87
114/06/30,"123,810","2,102,749",17.85,16.25,16.98,64
114/06/27,"14,004","233,216",16.7,16.6,16.65,16
114/06/26,"23,818","393,893",16.65,16.25,16.54,16
114/06/25,"45,737","746,483",16.7,16.15,16.32,28
114/06/24,"65,971","1,084,217",16.7,16.15,16.43,32
114/06/23,"138,948","2,282,497",17.05,15.9,16.43,66
114/06/20,"257,620","4,391,527",17.6,16.65,17.05,136
114/06/19,"552,476","9,646,088",18.1,16.4,17.46,240
114/06/18,"72,135","1,205,805",17.0,16.35,16.72,57
114/06/17,"681,240","11,447,481",17.2,15.7,16.8,289
114/06/16,"1,208,998","20,696,604",19.0,13.4,17.12,454
114/06/13,"200,205","2,612,382",14.05,11.6,13.05,103
114/06/12,"187,365","2,213,349",12.75,10.7,11.81,120
114/06/11,"230,208","2,392,570",11.1,9.61,10.39,78
114/06/10,"9,002","87,129",10.0,9.61,9.68,8
114/06/09,"8,002","77,720",10.0,9.62,9.71,5
114/06/06,"5,003","49,630",10.0,9.6,9.92,6
114/06/05,"13,744","133,048",9.99,9.58,9.68,14
114/06/04,"16,704","160,528",10.0,9.57,9.61,13
114/06/03,"137,187","1,350,900",10.5,9.55,9.85,64
114/06/02,"279,745","2,876,718",11.15,9.26,10.28,122
114/05/29,"34,720","309,691",9.26,8.8,8.92,20
114/05/28,"46,775","418,721",9.31,8.81,8.95,29
114/05/27,"118,824","1,076,807",9.31,8.92,9.06,55
114/05/26,"25,017","232,087",9.53,9.11,9.28,29
114/05/23,"5,759","54,331",9.82,9.43,9.43,6
114/05/22,501,"4,749",9.8,9.48,9.48,2
114/05/21,"57,010","540,066",9.82,9.42,9.47,31
114/05/20,"2,005","19,468",9.82,9.44,9.71,7
114/05/19,"33,622","319,264",9.82,9.44,9.5,15
114/05/16,"17,780","170,179",9.8,9.46,9.57,21
114/05/15,"67,368","651,102",9.85,9.45,9.66,34
114/05/14,"58,764","564,864",9.9,9.31,9.61,30
114/05/13,"77,939","754,290",10.0,9.59,9.68,41
114/05/12,"31,277","302,786",10.0,9.55,9.68,24
114/05/09,"71,314","683,069",9.9,9.5,9.58,36
114/05/08,"200,513","1,946,351",10.45,9.45,9.71,106
114/05/07,"310,792","3,201,319",10.8,9.47,10.3,146
114/05/06,"104,514","960,974",9.7,9.1,9.19,51
114/05/05,"27,004","254,789",9.82,9.34,9.44,12
114/05/02,"12,026","114,050",9.83,9.36,9.48,12
114/04/30,"12,506","121,023",9.83,9.35,9.68,12
114/04/29,"66,012","643,367",9.83,9.37,9.75,22
114/04/28,"19,505","183,124",9.84,9.34,9.39,10
114/04/25,"43,019","388,363",9.35,8.93,9.03,33
114/04/24,"3,055","28,653",9.39,9.01,9.38,8
114/04/23,"41,223","395,881",9.74,9.23,9.6,31
114/04/22,"1,006","9,737",9.68,9.25,9.68,6
114/04/21,"45,014","430,091",10.05,9.25,9.55,22
114/04/18,"99,469","1,000,494",10.5,9.5,10.06,44
114/04/17,"29,987","295,444",9.95,9.47,9.85,30
114/04/16,"49,430","496,053",10.4,9.55,10.04,20
114/04/15,"131,191","1,294,977",10.75,9.0,9.87,60
114/04/14,"4,680","42,405",9.42,9.0,9.06,6
114/04/11,"125,059","1,148,903",9.5,8.67,9.19,59
114/04/10,"190,394","1,828,767",10.05,8.79,9.61,74
114/04/09,"304,157","2,681,848",9.85,8.4,8.82,102
114/04/08,"73,986","739,978",10.45,9.71,10.0,33
114/04/07,"286,328","2,982,882",11.6,9.98,10.42,105
114/04/02,"2,000","24,300",12.15,12.15,12.15,1
114/04/01,"72,741","860,650",12.15,11.6,11.83,50
114/03/31,"86,745","1,023,016",12.0,11.6,11.79,47
114/03/28,"32,138","393,204",12.3,12.05,12.23,26
114/03/27,"121,037","1,506,816",13.0,12.05,12.45,57
114/03/26,496,"6,596",13.3,13.3,13.3,4
114/03/25,"20,159","268,584",13.45,13.05,13.32,14
114/03/24,"6,003","78,990",13.5,13.15,13.16,6
114/03/21,"20,003","264,040",13.5,13.1,13.2,14
114/03/20,"18,741","247,553",13.3,13.1,13.21,23
114/03/19,"20,516","270,462",13.55,13.15,13.18,30
114/03/18,"4,321","57,075",13.75,13.2,13.21,10
114/03/17,"19,655","265,663",13.75,13.2,13.52,16
114/03/14,"39,303","529,706",13.7,13.15,13.48,30
114/03/13,"10,010","132,583",13.45,13.2,13.25,11
114/03/12,"12,881","169,437",13.3,13.1,13.15,14
114/03/11,"11,102","146,256",13.3,13.15,13.17,14
114/03/10,"8,263","109,285",13.65,13.2,13.23,11
114/03/07,"19,204","256,414",13.6,13.2,13.35,16
114/03/06,"7,002","92,227",13.65,13.15,13.17,5
114/03/05,"1,245","16,462",13.65,13.15,13.22,9
114/03/04,"3,305","44,038",13.65,13.15,13.32,10
114/03/03,"7,002","94,977",13.65,13.2,13.56,8
114/02/27,"1,007","13,695",13.6,13.6,13.6,4
114/02/26,"6,220","84,092",13.6,13.45,13.52,7
114/02/25,"45,526","618,514",13.85,13.2,13.59,22
114/02/24,"32,495","453,180",14.05,13.85,13.95,14
114/02/21,"49,007","685,448",14.1,13.85,13.99,28
114/02/20,"9,003","125,042",14.0,13.8,13.89,9
114/02/19,"28,603","394,235",14.0,13.65,13.78,20
114/02/18,"3,530","48,590",13.85,13.7,13.77,7
114/02/17,"41,005","570,069",14.05,13.8,13.9,15
114/02/14,"21,611","297,343",14.0,13.5,13.76,19
114/02/13,"3,020","42,279",14.0,13.95,14.0,4
114/02/12,"34,235","467,402",13.85,13.55,13.65,20
114/02/11,"6,057","82,578",13.65,13.6,13.63,4
114/02/10,"1,000","14,000",14.0,14.0,14.0,1
114/02/07,"8,156","112,337",14.05,13.7,13.77,7
114/02/06,"1,000","13,750",13.75,13.75,13.75,1
114/02/05,"10,511","146,179",14.05,13.8,13.91,8
114/02/04,"48,200","678,330",14.35,13.8,14.07,16
114/02/03,"52,305","696,410",13.65,13.05,13.31,16
114/01/22,"7,929","103,420",13.15,13.0,13.04,7
114/01/21,"27,082","353,704",13.2,12.95,13.06,19
114/01/20,"122,689","1,634,788",13.9,12.95,13.32,65
114/01/17,1,14,14.45,14.45,14.45,1
114/01/16,2,28,14.45,14.45,14.45,1
114/01/15,0,0,0.0,0.0,0.0,0
114/01/14,"63,018","881,703",14.1,13.8,13.99,23
114/01/13,"29,269","408,164",14.05,13.4,13.95,18
114/01/10,168,"2,427",14.45,14.45,14.45,1
114/01/09,"38,214","537,256",14.25,14.0,14.06,18
114/01/08,"1,000","14,050",14.05,14.05,14.05,1
114/01/07,521,"7,581",14.6,14.55,14.55,2
114/01/06,"5,496","79,382",14.6,14.05,14.44,7
114/01/03,"2,001","28,164",14.55,14.0,14.08,3
114/01/02,"6,646","94,001",14.6,14.05,14.14,5
113/12/31,4,58,14.55,14.55,14.55,1
113/12/30,"5,771","81,408",14.55,14.05,14.11,6
113/12/27,"16,001","226,314",14.55,14.1,14.14,8
113/12/26,"33,287","476,374",14.6,14.05,14.31,19
113/12/25,"40,026","560,465",14.05,13.9,14.0,14
113/12/24,"6,895","96,506",14.0,13.6,14.0,9
113/12/23,"8,309","113,860",14.1,13.6,13.7,7
113/12/20,"53,369","722,039",14.05,13.0,13.53,30
113/12/19,"77,637","1,029,368",13.55,13.0,13.26,43
113/12/18,"12,329","169,074",14.25,13.6,13.71,17
113/12/17,382,"5,443",14.25,14.25,14.25,4
113/12/16,"26,283","372,783",14.55,14.0,14.18,13
113/12/13,"15,979","228,204",14.6,14.25,14.28,11
113/12/12,53,773,14.6,14.25,14.59,5
113/12/11,"31,002","447,529",14.5,14.3,14.44,9
113/12/10,"39,529","568,336",14.5,14.3,14.38,21
113/12/09,"28,810","417,017",14.95,14.25,14.47,26
113/12/06,"105,220","1,543,371",15.0,14.5,14.67,41
113/12/05,"28,096","419,244",15.05,14.85,14.92,14
113/12/04,"15,005","226,225",15.2,15.0,15.08,15
113/12/03,"16,068","242,680",15.25,15.05,15.1,15
113/12/02,"22,812","344,852",15.3,15.05,15.12,16
