日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/05/08,"12,038,038","90,258,043",7.50,7.60,7.43,7.60,+0.10,939
114/05/07,"6,859,116","51,487,511",7.51,7.54,7.47,7.50,-0.05,574
114/05/06,"6,565,214","49,313,960",7.64,7.64,7.46,7.55,-0.21,821
114/05/05,"4,886,150","37,864,811",7.82,7.82,7.71,7.76,-0.05,429
114/05/02,"7,860,878","61,645,932",7.86,7.88,7.79,7.81,+0.12,749
114/04/30,"4,964,387","38,257,877",7.70,7.73,7.67,7.69,-0.02,361
114/04/29,"5,753,684","44,160,222",7.67,7.72,7.64,7.71,-0.03,645
114/04/28,"9,034,603","69,951,395",7.70,7.80,7.69,7.74,+0.04,867
114/04/25,"9,645,563","73,878,239",7.62,7.70,7.60,7.70,+0.01,852
114/04/24,"11,923,029","91,163,187",7.66,7.71,7.60,7.69,+0.02,994
114/04/23,"14,088,507","107,268,822",7.58,7.68,7.54,7.67,+0.32,"1,488"
114/04/22,"11,492,089","84,946,911",7.49,7.49,7.32,7.35,-0.22,"1,477"
114/04/21,"5,284,479","40,032,605",7.58,7.60,7.56,7.57,-0.07,645
114/04/18,"3,173,522","24,341,741",7.67,7.70,7.64,7.64,-0.03,570
114/04/17,"7,978,616","61,253,793",7.66,7.72,7.62,7.67,-0.12,802
114/04/16,"3,078,559","24,046,127",7.83,7.86,7.78,7.79,-0.16,555
114/04/15,"1,699,591","13,481,718",7.95,7.97,7.92,7.95, 0.00,203
114/04/14,"2,801,450","22,179,275",7.95,7.95,7.88,7.95,-0.01,453
114/04/11,"3,837,261","30,499,611",8.06,8.06,7.89,7.96,-0.24,540
114/04/10,"5,083,677","41,918,322",8.29,8.31,8.17,8.20,-0.28,697
114/04/09,"4,186,498","35,725,980",8.59,8.61,8.46,8.48,-0.04,404
114/04/08,"4,517,133","38,567,118",8.54,8.58,8.51,8.52,+0.07,493
114/04/07,"7,407,366","62,977,841",8.58,8.64,8.40,8.45,+0.20,831
114/04/02,"1,731,248","14,250,830",8.22,8.25,8.20,8.25,+0.07,172
114/04/01,"2,032,391","16,618,914",8.18,8.19,8.16,8.18,-0.07,300
