日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/15,306457,16402571,53.9,53.3,53.52,231
114/08/14,197846,10652771,54.4,53.6,53.84,172
114/08/13,249098,13408705,54.1,53.7,53.83,204
114/08/12,248825,13272096,53.8,53.1,53.34,213
114/08/11,356637,19198238,54.7,53.6,53.83,363
114/08/08,181018,9968353,55.4,54.7,55.07,147
114/08/07,172496,9508579,55.7,54.9,55.12,152
114/08/06,138674,7690399,55.7,55.2,55.46,130
114/08/05,262473,14624611,56.3,55.2,55.72,225
114/08/04,144987,7965624,55.3,54.5,54.94,152
114/08/01,353063,19201612,55.4,53.0,54.39,291
114/07/31,1036449,56606247,54.9,54.2,54.62,441
114/07/30,742139,43589570,59.1,58.1,58.74,500
114/07/29,590668,34796121,59.3,58.6,58.91,375
114/07/28,335495,19843906,59.4,58.7,59.15,212
114/07/25,268313,15876771,59.4,58.9,59.17,147
114/07/24,258892,15370568,59.7,59.0,59.37,165
114/07/23,216824,12773579,59.5,58.7,58.91,126
114/07/22,411431,24309746,59.8,58.2,59.09,275
114/07/21,177384,10565006,59.8,59.0,59.56,140
114/07/18,181140,10763107,59.8,59.0,59.42,154
114/07/17,121497,7181343,59.4,58.8,59.11,147
114/07/16,153097,8964311,58.8,58.4,58.55,116
114/07/15,87227,5085135,58.5,58.1,58.3,79
114/07/14,116278,6767284,58.7,58.0,58.2,111
114/07/11,153499,8960169,58.7,58.2,58.37,105
114/07/10,130113,7627963,59.0,58.0,58.63,120
114/07/09,119342,6903837,58.1,57.2,57.85,80
114/07/08,230322,13199066,58.6,56.9,57.31,231
114/07/07,100464,5861625,58.8,58.0,58.35,103
114/07/04,190331,11146388,59.4,58.3,58.56,178
114/07/03,227416,13439272,59.4,58.9,59.1,171
114/07/02,152727,8978542,59.1,58.4,58.79,207
114/07/01,237950,14013170,59.3,58.5,58.89,218
114/06/30,303902,17778808,59.5,58.2,58.5,328
114/06/27,704843,42262622,60.6,59.1,59.96,509
114/06/26,2606352,160596860,62.9,59.9,61.62,2200
114/06/25,180925,10303530,57.4,56.3,56.95,172
114/06/24,168759,9523209,56.7,56.1,56.43,140
114/06/23,206938,11327449,55.7,54.3,54.74,184
114/06/20,129561,7215261,56.3,55.3,55.69,171
114/06/19,88371,4991797,57.1,56.3,56.49,115
114/06/18,48328,2750396,57.1,56.5,56.91,63
114/06/17,72734,4128838,57.2,56.5,56.77,75
114/06/16,128145,7211016,56.8,55.9,56.27,120
114/06/13,323102,18164291,57.4,55.9,56.22,317
114/06/12,107599,6099779,57.0,56.5,56.69,106
