日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"41,444","263,841",6.34,6.41,6.34,6.41,+0.07,20
114/08/21,"102,010","646,463",6.34,6.34,6.33,6.34,-0.02,16
114/08/20,"64,050","407,600",6.36,6.37,6.36,6.36,+0.01,16
114/08/19,"141,105","896,168",6.35,6.38,6.35,6.35,+0.01,12
114/08/18,"141,524","899,444",6.38,6.39,6.34,6.34,-0.06,22
114/08/15,"108,406","695,534",6.48,6.48,6.38,6.40,-0.04,21
114/08/14,"5,544","35,669",6.44,6.44,6.44,6.44, 0.00,4
114/08/13,"125,268","807,787",6.44,6.47,6.44,6.44, 0.00,21
114/08/12,"654,247","4,218,064",6.39,6.48,6.39,6.44,-0.06,49
114/08/11,"475,044","3,093,268",6.53,6.53,6.48,6.50,-0.01,33
114/08/08,"345,514","2,228,287",6.46,6.51,6.44,6.51,-0.01,24
114/08/07,"316,124","2,051,380",6.49,6.52,6.47,6.52,+0.05,41
114/08/06,"327,153","2,109,899",6.46,6.47,6.44,6.47,+0.03,26
114/08/05,"99,022","635,782",6.41,6.44,6.40,6.44,+0.01,15
114/08/04,"485,554","3,125,136",6.43,6.45,6.41,6.43,+0.04,63
114/08/01,"115,124","736,056",6.41,6.42,6.38,6.39,-0.01,16
114/07/31,"206,572","1,325,342",6.43,6.43,6.40,6.40,+0.04,29
114/07/30,"30,004","190,465",6.34,6.36,6.34,6.36,-0.05,9
114/07/29,"275,100","1,761,099",6.39,6.41,6.38,6.41,+0.07,48
114/07/28,"62,380","395,721",6.33,6.35,6.33,6.34,+0.02,18
114/07/25,"102,710","647,549",6.28,6.33,6.28,6.32,+0.09,26
114/07/24,"195,054","1,211,846",6.23,6.23,6.21,6.23,-0.04,11
114/07/23,"50,016","312,740",6.25,6.27,6.25,6.27,-0.01,8
114/07/22,"33,000","206,640",6.26,6.28,6.26,6.28,-0.01,5
114/07/21,"71,000","447,240",6.30,6.31,6.29,6.29,-0.01,8
114/07/18,"97,312","610,826",6.25,6.30,6.25,6.30,+0.05,19
114/07/17,"70,070","437,217",6.24,6.25,6.23,6.25, 0.00,10
114/07/16,"272,002","1,697,522",6.24,6.25,6.24,6.25, 0.00,11
114/07/15,"30,000","187,670",6.26,6.26,6.25,6.25,-0.01,6
