日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數,開盤價,最高價,最低價,收盤價,漲跌價差
114/08/01,4007,55349,13.9,13.75,13.81,5,,,,,
114/07/01,6036,89571,14.8,14.75,14.84,24,,,,,
114/06/30,"2,000","28,200",,,,2,14.10,14.10,14.10,14.10,+0.05
114/06/27,"4,200","61,050",,,,6,14.90,14.90,14.05,14.05,-0.40
114/06/26,"13,244","190,653",,,,10,14.35,14.45,14.35,14.45,+0.65
114/06/25,"1,060","14,631",,,,2,13.80,13.80,13.80,13.80, 0.00
114/06/24,"5,000","69,100",,,,5,13.70,14.00,13.70,13.80,+0.10
114/06/23,"6,671","91,666",,,,41,13.60,13.85,13.60,13.70,-0.50
114/06/20,"1,060","15,055",,,,2,14.20,14.20,14.20,14.20,-0.10
114/06/19,"8,000","115,500",,,,8,14.60,14.60,14.30,14.30,-0.70
114/06/18,"1,000","15,000",,,,1,15.00,15.00,15.00,15.00, 0.00
114/06/17,"2,137","31,579",,,,4,14.60,15.00,14.60,15.00, 0.00
114/06/16,"5,001","73,364",,,,6,14.35,15.00,14.35,15.00,+0.70
114/06/13,"2,026","28,771",,,,3,14.10,14.30,14.10,14.30,X0.00
114/06/11,"6,000","85,900",,,,3,14.40,14.40,14.30,14.30,-0.25
114/06/10,"3,588","50,721",,,,8,14.55,14.55,14.55,14.55, 0.00
114/06/09,"3,439","50,586",,,,4,15.30,15.30,14.55,14.55,-0.45
114/06/06,"4,488","65,548",,,,24,14.50,15.00,14.50,15.00,+0.50
114/06/05,"15,502","222,927",,,,14,14.35,14.60,14.00,14.50,-0.20
114/06/04,"4,000","58,800",,,,4,14.70,14.70,14.70,14.70,+0.10
114/06/03,"7,204","106,776",,,,10,15.00,15.10,14.50,14.60,X0.00
114/05/27,9000,137000,15.65,15.0,15.22,7,,,,,
114/05/26,16490,246563,15.3,14.6,14.95,22,,,,,
114/05/23,1000,15300,15.3,15.3,15.3,1,,,,,
114/05/22,5589,85593,15.35,15.3,15.31,4,,,,,
114/05/21,9945,153801,15.9,15.3,15.47,18,,,,,
114/05/20,6000,90350,15.15,14.9,15.06,4,,,,,
114/05/19,14066,212199,15.2,14.75,15.09,11,,,,,
114/05/16,4414,71515,16.4,15.75,16.2,6,,,,,
114/05/15,1200,19290,16.1,16.1,16.07,3,,,,,
114/05/14,12471,192478,15.9,14.7,15.43,102,,,,,
114/05/13,2270,35516,15.95,15.5,15.65,9,,,,,
114/05/12,8250,125471,15.3,14.8,15.21,21,,,,,
114/05/09,22524,336668,15.5,14.5,14.95,24,,,,,
114/05/08,316273,4998882,16.4,15.05,15.81,36,,,,,
114/05/07,18003,266994,15.5,13.85,14.83,16,,,,,
114/05/06,3061,44740,14.95,14.45,14.62,4,,,,,
114/05/05,1000,15300,15.3,15.3,15.3,1,,,,,
114/05/02,4000,59950,15.15,14.7,14.99,3,,,,,
114/04/30,"2,000","29,300",,,,2,14.85,14.85,14.45,14.45,-0.40
114/04/29,"33,000","493,300",,,,7,14.80,15.15,14.80,14.85,X0.00
114/04/25,"1,000","14,900",,,,1,14.90,14.90,14.90,14.90,+0.75
114/04/24,"3,100","44,422",,,,8,14.40,14.40,14.15,14.15,-0.70
114/04/23,"9,417","135,305",,,,11,14.10,14.90,14.05,14.85,+0.25
114/04/22,"9,005","130,722",,,,9,13.65,14.70,13.65,14.60,+0.95
114/04/21,"11,000","146,400",,,,8,13.50,13.65,13.00,13.65,-0.15
114/04/18,"1,001","13,813",,,,2,13.80,13.80,13.80,13.80,+0.05
114/04/17,"9,016","121,512",,,,7,13.40,13.75,13.40,13.75,+0.40
114/04/16,"13,247","184,825",,,,13,14.50,14.50,13.35,13.35,-1.15
114/04/15,"4,000","58,300",,,,4,14.65,14.65,14.50,14.50,+0.05
114/04/14,"13,300","195,529",,,,16,14.65,15.25,14.45,14.45,-0.70
114/04/11,"3,311","50,046",,,,8,15.10,15.15,15.10,15.15,-0.05
114/04/10,"3,101","47,393",,,,8,15.30,15.30,15.20,15.20,+0.80
114/04/09,"5,002","68,578",,,,6,13.70,14.40,13.00,14.40,+0.70
114/04/08,"10,005","133,268",,,,9,13.15,13.80,12.35,13.70,+0.55
114/04/07,"9,076","120,198",,,,10,13.15,13.50,13.15,13.15,-1.45
114/04/02,"7,934","115,721",,,,10,14.50,14.60,14.50,14.60,X0.00
114/03/07,4184,65991,15.95,15.65,15.77,5,,,,,
114/03/06,4000,63750,15.95,15.9,15.94,4,,,,,
114/03/05,4000,63850,16.0,15.95,15.96,3,,,,,
114/03/04,4010,63400,16.0,15.4,15.81,6,,,,,
114/03/03,1002,15831,15.8,15.8,15.8,2,,,,,
