日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"247,537","3,886,720",15.75,15.8,15.65,15.7,-0.05,225
114/08/21,"110,787","1,754,037",15.9,15.95,15.75,15.75, 0.00,140
114/08/20,"280,021","4,435,704",16.0,16.0,15.75,15.75,-0.20,362
114/08/19,"158,624","2,533,712",16.0,16.05,15.95,15.95,-0.10,158
114/08/18,"229,979","3,695,238",16.15,16.15,16.0,16.05,-0.10,209
114/08/15,"76,779","1,235,224",16.0,16.15,16.0,16.15,+0.15,155
114/08/14,"173,901","2,786,949",16.05,16.1,16.0,16.0,-0.05,109
114/08/13,"108,320","1,738,901",16.2,16.2,16.0,16.05,-0.05,132
114/08/12,"49,849","803,042",16.15,16.15,16.05,16.1,-0.05,74
114/08/11,"44,780","721,390",16.0,16.15,16.0,16.15,+0.15,58
114/08/08,"58,971","945,297",16.0,16.1,15.9,16.0,-0.10,98
114/08/07,"26,389","424,724",16.15,16.15,16.0,16.1,+0.10,42
114/08/06,"107,450","1,723,849",16.05,16.15,15.95,16.0,-0.05,185
114/08/05,"192,770","3,101,563",16.15,16.15,16.05,16.05,-0.20,217
114/08/04,"42,985","696,790",16.15,16.3,16.05,16.25,+0.05,54
114/08/01,"44,862","724,786",16.1,16.3,16.1,16.2,-0.15,96
114/07/31,"58,767","954,450",16.25,16.35,16.15,16.35, 0.00,85
114/07/30,"133,571","2,173,316",16.15,16.35,16.15,16.35,+0.20,64
114/07/29,"78,584","1,272,029",16.3,16.3,16.05,16.15,-0.15,107
114/07/28,"149,826","2,419,580",15.9,16.3,15.9,16.3,+0.35,100
114/07/25,"53,749","859,411",15.9,16.05,15.9,15.95, 0.00,59
114/07/24,"61,413","980,224",15.95,16.05,15.95,15.95, 0.00,112
114/07/23,"528,058","7,724,370",15.9,16.0,15.85,15.95,+0.15,69
114/07/22,"115,345","1,829,239",15.9,15.9,15.8,15.8,-0.10,111
114/07/21,"51,152","812,466",15.9,15.95,15.85,15.9, 0.00,90
114/07/18,"67,600","1,080,881",16.05,16.05,15.9,15.9,+0.05,88
114/07/17,"106,944","1,697,077",15.9,15.9,15.8,15.85,X0.00,174
114/07/16,"358,810","5,981,010",16.65,16.75,16.6,16.65,+0.05,251
114/07/15,"238,457","3,964,111",16.6,16.7,16.6,16.6,-0.05,132
114/07/14,"256,457","4,278,603",16.7,16.75,16.6,16.65,-0.05,192
114/07/11,"98,926","1,652,071",16.65,16.75,16.65,16.7,+0.05,60
114/07/10,"19,718","328,887",16.65,16.75,16.65,16.65,-0.05,34
114/07/09,"267,383","4,448,155",16.85,16.85,16.55,16.7,-0.10,125
114/07/08,"38,083","641,651",16.95,16.95,16.8,16.8,-0.10,41
114/07/07,"68,834","1,166,371",16.9,17.0,16.9,16.9, 0.00,51
114/07/04,"19,690","333,876",17.0,17.0,16.9,16.9,-0.05,65
114/07/03,"83,527","1,414,855",16.9,17.0,16.9,16.95,+0.05,106
114/07/02,"63,739","1,075,195",16.85,16.95,16.85,16.9, 0.00,70
114/07/01,"57,338","970,055",16.95,16.95,16.8,16.9,+0.05,67
114/06/30,"57,574","968,079",16.85,16.85,16.75,16.85,-0.05,115
114/06/27,"58,830","993,006",16.85,16.95,16.75,16.9,+0.05,86
114/06/26,"66,944","1,134,305",16.95,17.0,16.85,16.85,-0.05,77
114/06/25,"169,459","2,842,683",16.65,16.95,16.65,16.9,+0.10,110
114/06/24,"70,977","1,192,618",16.85,16.85,16.75,16.8,+0.20,60
114/06/23,"41,954","696,995",16.6,16.7,16.5,16.6,-0.10,120
114/06/20,"112,807","1,884,460",16.7,16.8,16.6,16.7,-0.05,111
114/06/19,"98,409","1,655,507",16.75,16.9,16.75,16.75,-0.15,106
114/06/18,"39,251","663,316",16.95,16.95,16.85,16.9,-0.10,41
114/06/17,"30,251","511,963",17.0,17.0,16.85,17.0, 0.00,45
114/06/16,"170,462","2,869,844",16.8,17.0,16.8,17.0,+0.15,145
114/06/13,"80,522","1,355,646",16.8,16.9,16.8,16.85,-0.10,92
114/06/12,"27,382","464,521",17.05,17.05,16.9,16.95,-0.10,45
114/06/11,"18,917","322,425",17.05,17.1,17.0,17.05, 0.00,47
114/06/10,"35,683","610,544",17.1,17.15,17.05,17.05, 0.00,46
114/06/09,"22,675","386,330",17.2,17.2,16.95,17.05, 0.00,39
114/06/06,"33,183","565,455",17.1,17.15,17.0,17.05,-0.05,48
114/06/05,"53,116","906,642",16.9,17.1,16.9,17.1,+0.20,43
114/06/04,"81,910","1,391,618",17.0,17.1,16.9,16.9,+0.10,85
114/06/03,"157,175","2,659,421",17.25,17.25,16.8,16.8,-0.20,198
114/06/02,"87,244","1,495,220",17.35,17.35,17.0,17.0,-0.35,130
114/05/29,"22,097","382,442",17.35,17.35,17.25,17.35,+0.10,68
