日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/15,329145,106251337,325.0,319.0,322.81,1170
114/08/14,452479,145399366,323.0,317.5,321.34,743
114/08/13,389167,124467922,322.5,317.0,319.83,765
114/08/12,420955,133318231,318.5,312.5,316.7,620
114/08/11,465473,145692215,317.5,311.5,313.0,713
114/08/08,300022,94821534,318.0,314.0,316.05,464
114/08/07,254300,80025073,317.0,313.0,314.69,462
114/08/06,365530,115588883,321.0,314.0,316.22,774
114/08/05,699413,222809127,321.5,315.5,318.57,1677
114/08/04,398884,125135302,316.5,309.5,313.71,623
114/08/01,231162,70944160,309.0,302.5,306.9,520
114/07/31,470333,145123678,318.0,306.0,308.56,589
114/07/30,455211,141873704,317.0,308.0,311.67,778
114/07/29,486086,154194551,319.5,315.0,317.22,823
114/07/28,409553,131007765,322.5,317.0,319.88,695
114/07/25,815507,259577607,322.0,314.0,318.3,1494
114/07/24,1386967,438199704,319.5,304.5,315.94,2266
114/07/23,588244,180123712,311.0,299.0,306.21,815
114/07/22,182253,54744471,303.5,298.0,300.38,575
114/07/21,229890,69193449,304.5,298.5,300.99,320
114/07/18,246906,74061211,303.5,298.0,299.96,352
114/07/17,243849,73074518,301.5,296.0,299.67,372
114/07/16,235551,69489483,297.0,293.5,295.01,388
114/07/15,127263,37539275,297.5,294.0,294.97,253
114/07/14,287478,85468883,306.5,294.0,297.31,787
114/07/11,173552,52493056,305.0,296.5,302.46,287
114/07/10,138026,40948105,299.0,293.5,296.67,244
114/07/09,107408,31621412,297.0,292.5,294.4,224
114/07/08,225970,65953217,297.5,290.0,291.87,432
114/07/07,137261,40798769,300.5,296.0,297.23,249
114/07/04,89113,26918622,306.0,300.0,302.07,226
114/07/03,157411,48009060,306.5,302.0,304.99,270
114/07/02,118010,35894706,306.0,302.0,304.17,226
114/07/01,155590,47046516,304.5,300.0,302.37,272
114/06/30,104577,31229495,303.0,297.0,298.63,317
114/06/27,105413,31764212,303.0,300.0,301.33,252
114/06/26,126554,38303249,305.0,299.5,302.66,325
114/06/25,153065,45897748,302.0,298.0,299.86,279
114/06/24,97261,29023271,300.0,295.0,298.41,269
114/06/23,96955,28266378,293.0,290.0,291.54,270
114/06/20,341997,99996511,296.5,288.0,292.39,836
114/06/19,266435,79236283,300.5,294.0,297.39,815
114/06/18,243040,73295412,304.5,300.5,301.58,383
114/06/17,167835,50609156,303.5,299.5,301.54,370
114/06/16,212832,63870643,302.5,297.5,300.1,518
114/06/13,750053,229680666,316.5,301.5,306.22,1909
114/06/12,269475,86169767,325.0,318.0,319.77,668
114/06/11,265844,88324989,334.0,331.0,332.24,415
114/06/10,192423,64204082,337.0,330.5,333.66,333
114/06/09,141927,47124729,336.0,330.0,332.03,676
114/06/06,183629,61163307,336.0,330.0,333.08,363
114/06/05,90910,30086374,333.5,328.5,330.95,255
114/06/04,184343,60868693,333.0,328.5,330.19,445
114/06/03,99519,33180841,338.5,331.0,333.41,196
114/06/02,122493,40877757,340.0,331.0,333.72,413
114/05/29,69166,23554400,341.5,339.5,340.55,137
114/05/28,139769,47759661,349.5,337.0,341.7,397
114/05/27,180312,61815391,347.0,340.0,342.82,250
114/05/26,102293,35047428,346.5,340.5,342.62,393
114/05/23,132732,46226192,351.5,346.5,348.27,250
114/05/22,111722,39338226,355.0,350.0,352.11,202
114/05/21,116921,41502006,356.5,352.5,354.96,190
114/05/20,82235,28915673,354.0,350.0,351.62,134
114/05/19,49009,17170473,351.5,349.5,350.35,170
114/05/16,99452,35209702,357.5,351.0,354.04,202
114/05/15,85651,30234738,356.0,351.5,353.0,201
114/05/14,255273,89834258,356.5,346.0,351.91,532
114/05/13,311710,108361284,354.5,345.0,347.63,480
114/05/12,130436,45201960,348.0,343.5,346.55,237
114/05/09,124446,42907583,347.0,342.0,344.79,270
114/05/08,143203,49407751,348.0,342.0,345.02,266
114/05/07,183857,62477148,345.5,337.5,339.81,345
114/05/06,142013,48208057,344.0,335.0,339.46,233
114/05/05,159368,53943738,348.0,333.0,338.49,374
114/05/02,61462,21361377,349.5,345.5,347.55,223
114/04/30,354948,122657360,350.0,338.0,345.56,474
114/04/29,718395,245755212,352.0,329.5,342.09,958
114/04/28,256883,84310636,332.0,325.0,328.21,1182
114/04/25,169244,55403879,329.5,325.5,327.36,646
114/04/24,209522,68508197,333.0,323.5,326.97,1181
114/04/23,147487,48416372,330.5,325.5,328.28,263
114/04/22,118878,38382060,326.0,317.0,322.87,214
114/04/21,95364,30972598,330.0,321.5,324.78,236
114/04/18,86381,28637039,336.0,329.5,331.52,414
114/04/17,88388,28776985,329.0,322.0,325.58,347
114/04/16,135039,44118383,330.0,324.5,326.71,268
114/04/15,113427,37212626,330.5,324.5,328.08,1143
114/04/14,300725,97392896,330.0,319.0,323.86,1297
114/04/11,357042,111679375,319.0,307.0,312.79,1244
114/04/10,270240,86495209,321.0,312.0,320.07,389
114/04/09,723782,216927827,312.0,290.0,299.71,1076
114/04/08,895370,265026991,307.5,292.0,296.0,1340
114/04/07,33771,10941804,324.0,324.0,324.0,331
114/04/02,148381,53303646,362.0,355.5,359.23,271
114/04/01,179314,64645814,362.0,357.5,360.52,364
114/03/31,506944,183741644,374.0,355.5,362.45,983
114/03/28,253976,95643271,382.5,372.0,376.58,633
114/03/27,186890,71830259,387.5,381.0,384.35,545
114/03/26,433820,168401867,391.0,385.5,388.18,772
114/03/25,645752,248258521,389.0,376.0,384.45,882
114/03/24,195672,73269581,378.0,371.0,374.45,260
114/03/21,63633,23882794,377.0,374.0,375.32,173
114/03/20,155423,58942100,384.0,376.5,379.24,286
114/03/19,285599,107907132,380.0,372.5,377.83,458
114/03/18,66551,24892806,376.0,373.0,374.04,196
114/03/17,102275,38080132,374.5,367.5,372.33,212
114/03/14,126414,46282530,368.5,363.5,366.12,267
114/03/13,133416,49135387,372.0,365.0,368.29,259
114/03/12,160256,59194858,373.5,367.5,369.38,356
114/03/11,333209,122778905,373.5,364.5,368.47,468
114/03/10,296529,109325091,373.5,362.5,368.68,516
114/03/07,524596,191469238,369.5,362.5,364.98,1086
114/03/06,190768,71377518,380.5,371.5,374.16,424
114/03/05,124801,46891191,379.0,373.0,375.73,258
114/03/04,282236,104990444,376.0,367.0,372.0,491
114/03/03,179555,67499248,381.5,373.0,375.93,471
