日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/03/18,"95,067","5,880,147",61.80,62.00,61.80,62.00,+0.10,32
114/03/17,"142,801","8,824,035",61.70,61.90,61.70,61.90,+0.10,52
114/03/14,"142,625","8,795,978",61.60,61.80,61.60,61.80,+0.20,59
114/03/13,"96,869","5,957,769",61.50,61.60,61.50,61.60, 0.00,25
114/03/12,"55,321","3,402,844",61.50,61.60,61.50,61.60, 0.00,14
114/03/11,"67,993","4,177,665",61.40,61.60,61.40,61.60, 0.00,40
114/03/10,"92,316","5,671,794",61.40,61.60,61.40,61.60,+0.10,26
114/03/07,"72,886","4,475,452",61.40,61.50,61.40,61.50,+0.10,27
114/03/06,"42,679","2,620,400",61.40,61.40,61.40,61.40,-0.10,29
114/03/05,"24,805","1,523,144",61.40,61.50,61.40,61.50, 0.00,28
114/03/04,"57,297","3,515,192",61.30,61.50,61.30,61.50,+0.10,17
114/03/03,"44,506","2,728,310",61.30,61.40,61.20,61.40, 0.00,14
