日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/15,3040,366460,120.5,120.5,120.55,7
114/08/14,4000,482000,121.0,120.0,120.5,4
114/08/13,7100,853596,120.5,120.0,120.22,21
114/08/12,1056,127310,120.5,120.5,120.56,16
114/08/11,6039,729699,121.0,120.5,120.83,8
114/08/08,5024,606904,121.0,120.5,120.8,17
114/08/07,8074,972915,121.0,120.0,120.5,47
114/08/06,9204,1109008,120.5,120.5,120.49,20
114/08/05,9120,1104459,122.0,120.5,121.1,11
114/08/04,4000,483500,121.0,120.5,120.88,4
114/08/01,8105,976312,121.0,120.0,120.46,13
114/07/04,4020,501980,125.5,124.0,124.87,5
114/07/03,6000,745500,124.5,124.0,124.25,6
114/07/02,1008,125996,125.0,125.0,125.0,7
114/07/01,27020,3427743,128.0,124.0,126.86,144
114/06/30,2114,262059,124.0,124.0,123.96,10
114/06/27,7791,988864,128.0,126.5,126.92,19
114/06/26,9081,1128051,126.5,123.0,124.22,13
114/06/25,1094,134563,123.0,123.0,123.0,5
114/06/24,11124,1365752,123.0,122.5,122.78,73
114/06/23,4060,490310,122.0,120.0,120.77,7
114/06/20,3000,366500,122.5,122.0,122.17,3
114/06/19,18004,2209992,123.5,121.0,122.75,21
114/06/18,8003,975860,123.0,119.5,121.94,9
114/06/17,11409,1382363,122.0,121.0,121.16,108
114/06/16,55657,6655968,123.5,117.5,119.59,90
114/06/13,9104,1112701,124.0,122.0,122.22,13
114/06/12,60864,7462822,127.5,120.0,122.61,74
114/06/11,8576,1063892,125.5,123.5,124.05,19
114/06/10,6209,784139,127.0,125.5,126.29,10
114/06/09,3451,435178,128.5,125.0,126.1,13
114/06/06,3001,375630,126.5,124.5,125.17,4
114/06/05,3013,377134,125.5,125.0,125.17,5
114/06/04,1000,126500,126.5,126.5,126.5,1
114/06/03,8060,1011530,127.0,124.5,125.5,12
114/06/02,6059,758404,128.0,123.5,125.17,9
114/05/14,3200,407747,127.5,127.0,127.42,96
114/05/13,1139,144583,127.0,127.0,126.94,6
114/05/12,4000,505000,126.5,126.0,126.25,4
114/05/09,12021,1491583,124.5,124.0,124.08,8
114/05/08,3005,375617,125.5,124.0,125.0,5
114/05/07,1284,158680,123.5,123.5,123.58,11
114/05/06,2558,319445,125.0,125.0,124.88,14
114/05/05,18550,2318595,127.5,124.0,124.99,29
114/05/02,2006,252756,126.5,125.5,126.0,5
114/04/17,4107,520871,127.5,125.5,126.83,9
114/04/16,6150,769825,128.5,124.5,125.17,11
114/04/15,5000,645000,130.5,128.0,129.0,5
114/04/14,26395,3327787,128.0,124.5,126.08,27
114/04/11,5005,645143,129.0,128.5,128.9,8
114/04/10,14247,1813248,129.5,125.5,127.27,26
114/04/09,3923,486606,125.5,122.5,124.04,18
114/04/08,4634,569166,123.5,121.5,122.82,12
114/04/07,33758,4007341,121.0,117.0,118.71,29
114/04/02,1008,131048,130.0,130.0,130.01,2
114/04/01,10004,1303032,131.0,127.0,130.25,8
114/03/03,2100,278500,132.5,132.5,132.62,24
