日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"130,049","6,510,189",49.80,50.50,49.80,50.10,+0.10,116
114/08/21,"145,771","7,307,319",50.30,50.40,49.95,50.00,-0.20,199
114/08/20,"224,761","11,317,936",50.70,50.80,50.00,50.20,-0.30,178
114/08/19,"92,909","4,693,971",50.60,50.70,50.20,50.50,-0.10,122
114/08/18,"158,266","7,990,104",50.60,50.80,50.20,50.60,+0.50,254
114/08/15,"367,725","18,404,860",49.80,50.40,49.75,50.10,X0.00,404
114/08/14,"494,111","26,802,329",54.30,54.50,54.00,54.30,+0.40,511
114/08/13,"459,643","24,779,486",54.00,54.50,53.40,53.90,+1.20,402
114/08/12,"125,878","6,647,172",53.00,53.00,52.70,52.70, 0.00,159
114/08/11,"128,442","6,791,079",53.10,53.10,52.60,52.70,-0.40,190
114/08/08,"83,015","4,420,472",53.00,53.40,52.90,53.10,+0.20,148
114/08/07,"48,059","2,543,376",52.80,53.00,52.80,52.90,+0.10,89
114/08/06,"113,974","6,007,945",52.20,52.90,52.20,52.80,+0.60,152
114/08/05,"119,564","6,262,380",52.50,52.60,52.20,52.20,-0.30,330
114/08/04,"38,386","2,011,204",51.50,52.60,51.50,52.50,+0.20,117
114/08/01,"33,863","1,762,862",52.30,52.40,51.60,52.30, 0.00,101
114/07/31,"64,603","3,386,936",53.40,53.40,52.20,52.30,+0.40,92
114/07/30,"19,370","1,005,240",51.70,52.00,51.60,51.90,+0.20,49
114/07/29,"38,707","2,008,464",51.90,52.10,51.70,51.70,-0.20,40
114/07/28,"17,925","929,899",51.70,51.90,51.70,51.90,-0.10,27
114/07/25,"31,416","1,630,219",52.00,52.00,51.70,52.00,+0.30,46
114/07/24,"24,020","1,241,873",51.70,51.80,51.60,51.70,-0.10,38
114/07/23,"25,711","1,335,403",51.90,52.00,51.70,51.80,+0.30,36
114/07/22,"42,511","2,195,853",51.90,51.90,51.50,51.50,-0.40,50
114/07/21,"43,156","2,248,233",52.20,52.40,51.90,51.90,-0.30,69
114/07/18,"66,193","3,471,148",52.10,53.00,52.10,52.20,+0.10,109
114/07/17,"43,191","2,252,238",52.10,52.20,52.00,52.10,+0.20,71
114/07/16,"46,801","2,428,100",51.70,52.20,51.60,51.90, 0.00,72
114/07/15,"18,326","949,729",51.70,51.90,51.70,51.90, 0.00,43
114/07/14,"40,328","2,099,249",51.70,52.20,51.70,51.90,-0.10,64
114/07/11,"111,538","5,788,987",51.60,52.30,51.20,52.00,+0.90,120
114/07/10,"49,252","2,518,936",51.10,51.70,51.00,51.10, 0.00,84
114/07/09,"42,903","2,205,280",51.70,52.00,50.90,51.10,+0.40,78
114/07/08,"31,789","1,608,131",50.60,51.00,50.30,50.70,+0.10,45
114/07/07,"21,780","1,105,610",50.60,51.20,50.50,50.60,-0.60,54
114/07/04,"29,950","1,535,543",51.20,51.20,51.00,51.20,-0.60,69
114/07/03,"25,724","1,324,683",51.50,51.80,51.20,51.80,+0.40,33
114/07/02,"24,858","1,272,126",51.00,51.80,51.00,51.40,-0.10,35
114/07/01,"61,030","3,150,057",51.00,52.50,51.00,51.50,+0.60,74
114/06/30,"29,872","1,529,393",51.60,51.60,50.80,50.90,-0.40,52
114/06/27,"38,201","1,963,883",51.60,51.70,50.60,51.30,+0.10,59
114/06/26,"41,903","2,155,033",51.20,51.80,51.10,51.20,+0.10,63
114/06/25,"9,307","476,170",51.20,51.30,50.90,51.10,-0.10,35
114/06/24,"34,121","1,734,438",50.20,51.20,50.20,51.20,+1.25,72
114/06/23,"85,356","4,271,720",50.50,50.50,49.50,49.95,-0.75,107
114/06/20,"92,043","4,698,277",51.70,51.70,50.50,50.70,-1.00,211
114/06/19,"114,684","6,033,033",52.80,54.00,51.70,51.70,-1.00,130
114/06/18,"55,603","2,915,358",52.50,52.70,51.60,52.70,+0.30,80
114/06/17,"87,880","4,598,991",51.80,52.70,51.60,52.40,+0.80,107
114/06/16,"55,073","2,824,887",50.90,51.80,50.90,51.60,+0.80,71
114/06/13,"82,229","4,190,475",50.80,51.60,50.70,50.80,-0.20,75
114/06/12,"28,488","1,454,409",50.80,51.30,50.80,51.00,+0.20,50
114/06/11,"55,056","2,804,519",51.40,51.40,50.70,50.80,-0.50,97
114/06/10,"38,013","1,947,761",50.70,51.40,50.70,51.30,+0.50,49
