日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數,開盤價,最高價,最低價,收盤價,漲跌價差
114/08/13,1000,50300,50.3,50.3,50.3,1,,,,,
114/08/12,6298,315800,50.3,50.0,50.14,12,,,,,
114/08/11,16398,820277,50.1,50.0,50.02,12,,,,,
114/08/08,19118,959845,50.4,50.1,50.21,23,,,,,
114/08/07,6000,302900,50.5,50.4,50.48,5,,,,,
114/08/06,7421,374220,50.5,50.4,50.43,15,,,,,
114/08/05,9665,490524,50.9,50.6,50.75,29,,,,,
114/08/04,22029,1120881,51.2,50.2,50.88,21,,,,,
114/08/01,25276,1282676,51.4,50.1,50.75,55,,,,,
114/07/08,4150,215730,52.5,51.7,51.98,6,,,,,
114/07/07,3069,159794,52.2,52.0,52.07,6,,,,,
114/07/04,5299,277498,52.5,52.3,52.37,8,,,,,
114/07/03,5000,260400,52.3,52.0,52.08,4,,,,,
114/07/02,3029,158629,52.7,52.0,52.37,6,,,,,
114/07/01,29082,1535800,53.0,52.5,52.81,34,,,,,
114/06/05,11032,572474,52.0,51.5,51.89,12,,,,,
114/06/04,4000,207600,52.0,51.8,51.9,4,,,,,
114/06/03,6041,311919,52.3,51.5,51.63,12,,,,,
114/06/02,10160,520876,51.5,51.1,51.27,20,,,,,
114/05/07,19010,986828,52.6,51.4,51.91,13,,,,,
114/05/06,1009,51657,51.2,51.2,51.2,3,,,,,
114/05/05,24052,1224027,51.0,50.8,50.89,19,,,,,
114/05/02,2129,108384,50.9,50.9,50.91,5,,,,,
114/04/30,"7,149","363,167",,,,12,50.40,51.30,50.40,50.90,-0.10
114/04/29,"3,455","174,796",,,,12,50.50,51.00,50.50,51.00,+0.40
114/04/28,"2,580","131,670",,,,18,51.80,51.80,50.60,50.60,+0.10
114/04/25,"1,437","72,612",,,,10,50.50,50.50,50.50,50.50,-0.20
114/04/24,"10,459","524,752",,,,15,50.40,50.70,50.00,50.70,-0.50
114/04/23,"15,037","764,173",,,,16,50.40,51.30,50.40,51.20,+0.70
114/04/22,"2,267","114,256",,,,10,50.40,50.50,50.40,50.50,+0.10
114/04/21,"2,014","101,105",,,,7,50.00,50.40,50.00,50.40,+0.40
114/04/18,"7,604","380,450",,,,24,49.65,50.40,49.65,50.00,-0.10
114/04/17,"3,458","172,370",,,,21,50.00,50.10,50.00,50.10,+0.75
114/04/16,"17,100","845,730",,,,15,49.50,49.70,49.35,49.35,-0.45
114/04/15,"9,174","459,129",,,,19,50.00,50.20,49.80,49.80,-0.20
114/04/14,"15,027","744,595",,,,14,49.50,50.00,49.40,50.00,+0.10
114/04/11,"13,077","652,634",,,,17,49.75,50.20,49.75,49.90,+0.10
114/04/10,"21,052","1,044,099",,,,17,49.05,49.90,49.05,49.80,+1.40
114/04/09,"39,426","1,923,536",,,,49,48.25,49.15,48.25,48.40,-1.55
114/04/08,"42,130","2,115,300",,,,43,50.60,51.00,49.55,49.95,+0.45
114/04/07,"96,054","4,705,776",,,,110,49.95,49.95,47.00,49.50,-1.60
114/04/02,"5,157","263,710",,,,14,51.10,51.20,51.10,51.10,X0.00
114/03/31,"5,429","276,266",,,,15,51.00,51.00,50.80,50.90,-0.60
114/03/28,"11,347","582,695",,,,16,51.50,51.50,51.10,51.50, 0.00
114/03/27,"21,190","1,101,865",,,,24,52.00,52.50,51.50,51.50,+0.20
114/03/26,"4,077","210,627",,,,7,52.00,52.00,51.30,51.30,X0.00
114/03/24,"2,701","139,520",,,,8,52.10,52.10,52.00,52.00,+0.30
114/03/21,"8,182","423,643",,,,13,51.60,51.90,51.60,51.70,-0.70
114/03/20,"8,032","416,832",,,,12,51.50,52.40,51.50,52.40,+1.30
114/03/19,"1,010","51,649",,,,2,51.10,51.10,51.10,51.10,-0.70
114/03/18,"1,022","52,944",,,,3,51.80,51.80,51.80,51.80, 0.00
114/03/17,"9,015","467,173",,,,12,51.90,52.00,51.60,51.80,+0.20
114/03/14,"6,010","309,414",,,,7,51.50,51.80,51.20,51.60,+0.60
114/03/13,"2,048","104,579",,,,9,51.10,51.10,51.00,51.00,+0.10
114/03/12,"3,073","156,521",,,,11,51.00,51.00,50.90,50.90, 0.00
114/03/11,"5,069","258,319",,,,11,50.90,51.00,50.90,50.90,-0.10
114/03/10,"10,000","510,500",,,,8,51.10,51.20,51.00,51.00,-0.10
114/03/07,"1,001","51,151",,,,2,51.10,51.10,51.10,51.10,-0.20
114/03/06,"2,239","114,843",,,,13,51.30,51.30,51.30,51.30,+0.10
114/03/05,"3,316","169,571",,,,10,51.10,51.20,51.10,51.20,-0.10
114/03/04,"6,030","307,580",,,,9,51.10,51.30,50.70,51.30,X0.00
