日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/15,1000935,84218956,85.3,83.5,84.14,1111
114/08/14,896338,76161591,85.5,84.2,84.97,725
114/08/13,647032,54631909,85.4,83.3,84.43,591
114/08/12,333693,27853476,83.8,83.3,83.47,580
114/08/11,529706,44350476,84.5,83.3,83.73,629
114/08/08,267074,22469957,84.7,83.7,84.13,351
114/08/07,335434,28205598,84.5,83.8,84.09,1009
114/08/06,668948,56589337,85.7,83.2,84.59,606
114/08/05,222555,18588614,83.9,83.1,83.52,493
114/08/04,312414,25939049,83.6,81.7,83.03,363
114/08/01,305651,24996524,82.4,80.8,81.78,360
114/07/31,415745,34036312,82.3,81.5,81.87,437
114/07/30,245335,20176960,82.7,81.9,82.24,257
114/07/29,880199,72139442,82.8,81.3,81.96,1010
114/07/28,423313,35145072,83.5,82.8,83.02,371
114/07/25,338656,28164569,83.5,82.9,83.17,437
114/07/24,211730,17694077,84.1,83.1,83.57,226
114/07/23,715607,59550988,83.7,82.2,83.22,535
114/07/22,891251,73305891,83.0,81.8,82.25,877
114/07/21,1121241,93057526,84.2,82.6,83.0,1087
114/07/18,849305,71202649,85.4,83.3,83.84,822
114/07/17,863239,72724818,84.9,83.5,84.25,685
114/07/16,1136790,95799558,85.4,83.6,84.27,1089
114/07/15,699821,60099455,86.5,84.7,85.88,426
114/07/14,409927,35319307,87.5,85.7,86.16,1077
114/07/11,646703,56649822,88.2,86.6,87.6,799
114/07/10,506201,43859617,87.1,85.3,86.64,468
114/07/09,393433,33773536,86.3,85.4,85.84,366
114/07/08,569037,48966724,88.2,85.4,86.05,528
114/07/07,493846,42946811,87.3,86.3,86.96,413
114/07/04,539495,46718551,87.2,85.6,86.6,478
114/07/03,511383,44593045,87.8,86.3,87.2,494
114/07/02,601147,52020243,87.2,85.6,86.53,590
114/07/01,998271,85296287,86.3,84.4,85.44,803
114/06/30,604302,51340847,86.3,84.7,84.96,464
114/06/27,554222,47413461,86.4,84.7,85.55,579
114/06/26,676369,57766616,85.9,84.5,85.41,596
114/06/25,506582,42592226,84.5,83.6,84.08,436
114/06/24,371963,31005779,83.8,82.6,83.36,369
114/06/23,754202,61395843,82.6,80.5,81.41,609
114/06/20,1858911,151830258,83.6,81.0,81.68,1587
114/06/19,1199725,100308779,85.2,83.0,83.61,1137
114/06/18,828737,70153962,85.4,84.4,84.65,595
114/06/17,747558,63152121,85.0,84.0,84.48,676
114/06/16,579009,48886851,85.1,83.9,84.43,641
114/06/13,672894,57200751,85.8,84.6,85.01,670
114/06/12,428724,36681006,86.0,85.3,85.56,415
114/06/11,748617,64075311,86.2,85.0,85.59,750
114/06/10,565203,48587841,86.5,85.5,85.97,540
114/06/09,481032,41228818,86.8,85.4,85.71,538
114/06/06,811824,69912135,86.8,85.4,86.12,814
114/06/05,1243882,105959466,85.9,84.4,85.18,1153
114/06/04,3714948,314376111,85.9,84.1,84.62,3671
114/06/03,2127873,183408820,88.0,85.0,86.19,1975
114/06/02,3310371,288276419,90.3,85.5,87.08,3255
114/05/29,792067,72699490,93.6,91.0,91.78,914
114/05/28,820877,76453084,94.9,92.0,93.14,896
114/05/27,1150541,109037759,96.2,93.7,94.77,1400
114/05/26,558946,52874281,95.0,93.8,94.6,733
114/05/23,873643,82391108,95.2,93.7,94.31,1041
114/05/22,1136641,106605300,94.9,92.2,93.79,1420
114/05/21,977504,91441142,94.3,92.8,93.55,2592
114/05/20,1605461,151698110,96.3,93.2,94.49,1499
114/05/19,3066559,285694094,96.6,91.8,93.16,3408
114/05/16,2670709,256866139,97.3,94.3,96.18,2088
114/05/15,1495894,141468363,95.2,93.3,94.57,1368
114/05/14,1873392,176547625,95.5,93.6,94.24,3347
114/05/13,3834734,360998458,95.7,91.9,94.14,2618
114/05/12,1082165,97848563,92.0,89.3,90.42,3623
114/05/09,732382,66902868,92.3,89.8,91.35,961
114/05/08,552376,49860065,90.8,89.8,90.26,886
114/05/07,1294572,117073052,92.6,89.7,90.43,3186
114/05/06,1477421,136316562,94.7,91.2,92.27,7213
114/05/05,3808977,364201275,97.8,93.7,95.62,6310
114/05/02,1680918,152964077,92.5,87.6,91.0,1533
114/04/30,1183337,104024945,89.3,86.6,87.91,1472
114/04/29,1397102,121110157,88.0,84.8,86.69,1821
114/04/28,928993,79023329,85.6,84.5,85.06,1262
114/04/25,885354,75371841,85.8,84.3,85.13,1296
114/04/24,972367,81856657,84.6,83.5,84.18,883
114/04/23,857612,71736079,84.1,82.6,83.65,704
114/04/22,1846421,151534979,84.0,81.0,82.07,1814
114/04/21,1550643,130112525,85.9,82.7,83.91,1582
114/04/18,979298,83652056,86.0,84.2,85.42,720
114/04/17,724068,60970685,85.1,82.7,84.21,799
114/04/16,3967093,330977840,85.5,82.5,83.43,3193
114/04/15,1419713,120395466,85.9,83.8,84.8,2076
114/04/14,2491059,207867855,85.2,81.7,83.45,1971
114/04/11,3262650,263380504,84.2,79.0,80.73,3020
114/04/10,4704117,403445234,86.5,84.7,85.76,2454
114/04/09,4439824,365317315,87.0,78.7,82.28,4872
114/04/08,5311507,450987513,88.3,82.5,84.91,3008
114/04/07,632929,55507787,87.7,87.7,87.7,606
114/04/02,1285534,123957811,98.3,95.2,96.43,1405
114/04/01,2578620,254855988,101.5,96.6,98.83,2188
114/03/31,2305687,228984659,102.5,97.1,99.31,2202
114/03/28,1949921,201950276,107.0,102.0,103.57,1844
114/03/27,1472761,156857684,108.5,105.0,106.51,2152
