日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"497,395","4,580,458",9.32,9.32,9.11,9.23,-0.11,378
114/08/21,"1,174,971","10,962,060",9.03,9.50,9.03,9.34,+0.31,596
114/08/20,"574,504","5,180,988",9.03,9.05,8.96,9.03,+0.04,248
114/08/19,"852,141","7,666,486",8.97,9.03,8.94,8.99,+0.02,301
114/08/18,"323,204","2,900,575",8.94,9.00,8.94,8.97,+0.02,182
114/08/15,"301,324","2,694,384",8.93,8.96,8.91,8.95, 0.00,166
114/08/14,"269,250","2,408,070",8.93,8.95,8.92,8.95, 0.00,127
114/08/13,"258,201","2,308,587",9.00,9.00,8.92,8.95,-0.05,223
114/08/12,"342,170","3,052,610",8.91,9.03,8.84,9.00,+0.09,259
114/08/11,"269,803","2,402,527",8.93,8.93,8.88,8.91,-0.07,204
114/08/08,"207,958","1,862,480",8.92,9.01,8.92,8.98,-0.01,162
114/08/07,"142,676","1,282,292",9.05,9.05,8.96,8.99,-0.01,143
114/08/06,"167,044","1,498,368",9.00,9.00,8.93,9.00, 0.00,136
114/08/05,"394,671","3,537,580",8.94,9.00,8.91,9.00,+0.02,160
114/08/04,"132,739","1,190,856",8.95,9.00,8.90,8.98,-0.02,98
114/08/01,"335,972","2,995,478",8.87,9.02,8.84,9.00,+0.11,142
114/07/31,"162,997","1,448,365",8.85,8.99,8.85,8.89,+0.02,135
114/07/30,"525,488","4,679,849",8.86,8.98,8.84,8.87,+0.03,260
114/07/29,"320,128","2,860,617",9.06,9.06,8.82,8.84,-0.07,194
114/07/28,"454,270","4,020,027",8.88,9.00,8.79,8.91,+0.02,276
114/07/25,"133,836","1,192,209",8.89,8.97,8.88,8.89, 0.00,88
114/07/24,"287,228","2,545,673",8.88,8.91,8.84,8.89,+0.01,156
114/07/23,"188,989","1,681,538",8.89,8.94,8.86,8.88,+0.04,139
114/07/22,"270,623","2,404,933",8.91,8.93,8.84,8.84,-0.11,197
114/07/21,"73,744","657,624",8.90,8.96,8.90,8.95, 0.00,115
114/07/18,"92,141","824,553",8.92,8.99,8.92,8.95,+0.03,113
114/07/17,"91,124","813,821",8.91,8.98,8.91,8.92,+0.01,91
114/07/16,"171,609","1,533,560",8.89,9.06,8.89,8.91,-0.08,202
114/07/15,"182,745","1,632,065",8.88,8.99,8.88,8.99,+0.08,176
