日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/15,467210,128812481,281.5,273.0,275.71,2507
114/08/14,510132,142174726,281.5,275.0,278.7,1381
114/08/13,516096,144019537,284.0,273.5,279.06,2269
114/08/12,329991,91283428,281.0,274.0,276.62,1933
114/08/11,456149,125057925,277.5,270.0,274.16,1690
114/08/08,749216,211037834,288.0,276.5,281.68,3713
114/08/07,840729,232440006,280.5,268.5,276.47,1617
114/08/06,1311312,352020329,273.0,265.5,268.45,3734
114/08/05,446836,125984088,284.0,279.5,281.95,623
114/08/04,570586,158873459,282.0,276.0,278.44,6521
114/08/01,1278854,361110398,290.0,268.0,282.37,3712
114/07/31,781803,218967248,284.5,274.5,280.08,977
114/07/30,333053,92033300,278.0,275.0,276.33,475
114/07/29,391476,108335376,281.5,274.5,276.74,743
114/07/28,447872,125909877,284.0,277.5,281.13,790
114/07/25,618201,175224364,288.0,281.0,283.44,927
114/07/24,2064387,598202437,301.0,281.5,289.77,4522
114/07/23,1485517,420116554,291.0,274.0,282.81,1950
114/07/22,732160,200651150,285.0,268.0,274.05,1295
114/07/21,423356,118577895,283.5,276.0,280.09,668
114/07/18,432087,122780965,287.0,281.5,284.16,1331
114/07/17,623604,177205583,287.5,280.5,284.16,2078
114/07/16,1408740,396476642,288.0,272.0,281.44,1923
114/07/15,366675,98501281,271.5,264.5,268.63,557
114/07/14,451827,120388931,273.0,264.0,266.45,943
114/07/11,1016646,276412925,277.0,266.5,271.89,1474
114/07/10,600918,158786767,268.5,257.5,264.24,849
114/07/09,508948,131434828,261.0,256.0,258.25,721
114/07/08,471533,121470001,261.0,255.5,257.61,971
114/07/07,466603,122791137,268.0,260.0,263.16,973
114/07/04,519872,141374558,279.0,268.5,271.94,1147
114/07/03,752033,209904224,284.0,276.5,279.12,1304
114/07/02,630791,177771897,285.5,279.5,281.82,1556
114/07/01,1751925,511121524,301.5,284.0,291.75,3423
114/06/30,4049935,1230707691,319.5,291.5,303.88,5047
114/06/27,2403796,703522012,301.0,274.5,292.67,6242
114/06/26,496978,137871337,282.0,273.5,277.42,669
114/06/25,427281,117244830,279.0,271.5,274.4,845
114/06/24,455066,122919659,272.5,265.0,270.11,732
114/06/23,269809,69432557,262.5,253.5,257.34,540
114/06/20,307732,81138470,271.5,259.5,263.67,608
114/06/19,341832,91542004,272.5,265.0,267.8,546
