日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數,開盤價,最高價,最低價,收盤價,漲跌價差
114/08/04,9568,133214,14.0,13.85,13.92,20,,,,,
114/08/01,6464,87450,13.9,13.55,13.53,24,,,,,
114/07/28,11704,165788,14.55,13.8,14.17,23,,,,,
114/07/25,13869,187937,13.85,13.5,13.55,20,,,,,
114/07/24,19689,271943,14.35,13.7,13.81,37,,,,,
114/07/23,4598,64883,14.15,14.1,14.11,20,,,,,
114/07/22,5507,77247,14.2,13.85,14.03,14,,,,,
114/07/21,3373,47493,14.25,14.0,14.08,7,,,,,
114/07/18,12716,179429,14.6,14.0,14.11,26,,,,,
114/07/17,19489,273342,14.25,13.95,14.03,27,,,,,
114/07/16,43354,621212,15.65,14.1,14.33,46,,,,,
114/07/15,33862,481570,15.6,13.9,14.22,31,,,,,
114/07/14,18717,267990,15.0,13.7,14.32,27,,,,,
114/07/11,14446,214013,15.75,14.2,14.81,23,,,,,
114/07/10,11353,163045,14.65,13.9,14.36,15,,,,,
114/07/09,9000,131300,14.95,14.2,14.59,8,,,,,
114/07/08,6884,104442,15.7,14.95,15.17,15,,,,,
114/07/07,5007,72705,15.05,14.25,14.52,11,,,,,
114/07/04,1165,16887,14.5,14.5,14.5,7,,,,,
114/07/03,12491,183834,14.95,14.25,14.72,19,,,,,
114/07/02,7666,116822,15.95,14.9,15.24,18,,,,,
114/07/01,13987,210480,15.65,14.7,15.05,27,,,,,
114/06/30,13403,210700,16.95,15.15,15.72,23,,,,,
114/06/27,1670,26973,16.55,16.55,16.15,4,,,,,
114/06/26,4444,73948,17.25,16.25,16.64,16,,,,,
114/06/25,4099,64503,15.95,15.45,15.74,12,,,,,
114/06/24,2433,39027,16.45,16.0,16.04,10,,,,,
114/06/23,2716,43217,16.45,15.9,15.91,13,,,,,
114/06/20,4623,72554,15.9,15.55,15.69,9,,,,,
114/06/19,6370,102513,16.85,15.9,16.09,13,,,,,
114/06/18,6491,102029,16.3,15.35,15.72,14,,,,,
114/06/17,1969,30671,15.65,15.65,15.58,9,,,,,
114/06/16,5360,85816,16.2,16.0,16.01,9,,,,,
114/06/13,8006,130248,17.2,15.75,16.27,14,,,,,
114/06/12,10407,170099,17.1,15.5,16.34,16,,,,,
114/06/11,5419,85412,16.6,15.45,15.76,18,,,,,
114/06/10,5002,81383,16.85,15.8,16.27,6,,,,,
114/06/09,2046,33436,16.35,16.35,16.34,6,,,,,
114/06/06,9113,155405,17.75,16.8,17.05,23,,,,,
114/06/05,9739,152928,16.65,15.35,15.7,24,,,,,
114/06/04,27875,458368,17.75,15.9,16.44,40,,,,,
114/06/03,4585,78085,17.25,16.7,17.03,24,,,,,
114/06/02,2739,44073,16.45,16.05,16.09,25,,,,,
114/05/29,"38,345","615,569",,,,32,15.90,16.85,15.90,16.00,+0.15
114/05/28,"39,210","594,492",,,,38,15.20,15.85,14.65,15.85,+0.65
114/05/27,"62,251","919,221",,,,52,15.00,15.75,14.40,15.20,+0.60
114/05/26,"45,870","655,641",,,,62,13.30,14.60,13.30,14.60,+1.30
114/05/23,"19,267","251,106",,,,29,13.30,13.30,12.80,13.30, 0.00
114/05/22,"12,382","166,258",,,,17,13.65,13.65,13.30,13.30,-0.25
114/05/21,"3,204","44,064",,,,12,13.80,13.80,13.55,13.55,-0.25
