日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/04/21,200,"1,392",6.96,6.96,6.96,6.96,+0.02,2
114/04/18,200,"1,388",6.94,6.94,6.94,6.94,+0.02,2
114/04/17,200,"1,384",6.92,6.92,6.92,6.92,+0.08,2
114/04/16,200,"1,368",6.84,6.84,6.84,6.84,-0.02,2
114/04/15,200,"1,372",6.86,6.86,6.86,6.86,+0.01,2
114/04/14,200,"1,370",6.85,6.85,6.85,6.85,+0.08,2
114/04/11,200,"1,354",6.77,6.77,6.77,6.77,+0.04,2
114/04/10,200,"1,346",6.73,6.73,6.73,6.73,X0.00,2
114/04/08,300,"2,009",6.91,6.91,6.59,6.59,X0.00,3
114/04/02,200,"1,414",7.07,7.07,7.07,7.07,-0.01,2
114/04/01,200,"1,416",7.08,7.08,7.08,7.08,-0.05,2
114/03/31,200,"1,426",7.13,7.13,7.13,7.13, 0.00,2
114/03/28,200,"1,426",7.13,7.13,7.13,7.13,-0.06,2
114/03/27,200,"1,438",7.19,7.19,7.19,7.19,+0.04,2
114/03/26,200,"1,430",7.15,7.15,7.15,7.15,-0.01,2
114/03/25,200,"1,432",7.16,7.16,7.16,7.16,+0.01,2
114/03/24,200,"1,430",7.15,7.15,7.15,7.15,-0.03,2
114/03/21,200,"1,436",7.18,7.18,7.18,7.18,-0.10,2
114/03/20,200,"1,456",7.28,7.28,7.28,7.28,-0.05,2
114/03/19,200,"1,466",7.33,7.33,7.33,7.33,+0.04,2
114/03/18,200,"1,458",7.29,7.29,7.29,7.29,-0.01,2
114/03/17,200,"1,460",7.30,7.30,7.30,7.30,+0.15,2
114/03/14,500,"3,575",7.15,7.15,7.15,7.15,+0.05,1
114/03/13,200,"1,420",7.10,7.10,7.10,7.10,+0.02,2
114/03/12,200,"1,416",7.08,7.08,7.08,7.08,+0.07,2
114/03/11,200,"1,402",7.01,7.01,7.01,7.01,+0.01,2
114/03/10,200,"1,400",7.00,7.00,7.00,7.00,-0.06,2
114/03/07,200,"1,412",7.06,7.06,7.06,7.06, 0.00,2
114/03/06,200,"1,412",7.06,7.06,7.06,7.06,+0.08,2
114/03/05,200,"1,396",6.98,6.98,6.98,6.98,+0.06,2
114/03/04,200,"1,384",6.92,6.92,6.92,6.92,-0.10,2
114/03/03,200,"1,404",7.02,7.02,7.02,7.02,-0.08,2
