日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"15,461,948","90,732,802",5.88,5.89,5.85,5.87,-0.08,"1,244"
114/08/21,"3,683,087","21,938,433",5.95,5.97,5.94,5.95, 0.00,235
114/08/20,"4,737,431","28,139,871",5.93,5.95,5.93,5.95,+0.03,279
114/08/19,"3,815,512","22,568,278",5.91,5.93,5.89,5.92,-0.03,349
114/08/18,"4,029,314","23,940,653",5.95,5.95,5.93,5.95,-0.03,358
114/08/15,"6,665,910","39,705,994",5.95,5.98,5.94,5.98,-0.04,400
114/08/14,"10,873,121","65,376,950",6.00,6.03,6.00,6.02,+0.12,754
114/08/13,"3,552,874","20,968,413",5.91,5.92,5.89,5.90,+0.03,319
114/08/12,"6,902,112","40,554,536",5.88,5.89,5.87,5.87,-0.06,630
114/08/11,"4,404,048","26,129,708",5.94,5.95,5.92,5.93,-0.03,249
114/08/08,"3,508,386","20,907,679",5.96,5.97,5.95,5.96,+0.01,250
114/08/07,"7,244,861","43,018,888",5.93,5.96,5.92,5.95,-0.01,307
114/08/06,"4,320,349","25,675,447",5.94,5.97,5.93,5.96,-0.01,270
114/08/05,"10,092,261","60,370,599",5.98,6.00,5.96,5.97,+0.03,567
114/08/04,"20,097,151","119,138,418",5.91,5.95,5.91,5.94,+0.20,"1,439"
114/08/01,"26,319,764","150,754,629",5.73,5.75,5.71,5.74,-0.13,"2,004"
114/07/31,"10,034,564","58,699,690",5.84,5.89,5.82,5.87,-0.08,972
114/07/30,"5,356,857","31,752,364",5.92,5.95,5.92,5.95,+0.03,340
114/07/29,"7,485,235","44,085,135",5.88,5.92,5.88,5.92,-0.03,756
114/07/28,"6,488,324","38,570,923",5.95,5.96,5.93,5.95,-0.05,664
114/07/25,"7,239,165","43,252,539",5.99,6.00,5.96,6.00,-0.08,644
114/07/24,"9,826,958","59,642,227",6.04,6.09,6.04,6.08,+0.07,651
114/07/23,"9,319,680","56,165,460",6.04,6.05,5.99,6.01,+0.05,655
114/07/22,"7,062,551","42,154,491",5.97,5.98,5.95,5.96,+0.04,600
114/07/21,"3,777,831","22,300,530",5.90,5.92,5.89,5.92,+0.03,387
114/07/18,"6,514,507","38,401,303",5.90,5.91,5.88,5.89,-0.02,625
114/07/17,"6,314,691","37,301,534",5.90,5.92,5.89,5.91,+0.03,544
114/07/16,"21,618,960","126,979,807",5.88,5.89,5.85,5.88,-0.10,"2,282"
114/07/15,"10,304,117","61,563,104",5.99,5.99,5.97,5.98,-0.01,856
114/07/14,"11,318,692","68,000,469",6.03,6.04,5.99,5.99,-0.04,"1,096"
114/07/11,"9,693,330","58,405,235",6.06,6.06,6.01,6.03,-0.04,922
114/07/10,"8,200,817","49,962,164",6.11,6.12,6.07,6.07,+0.04,583
114/07/09,"21,404,825","128,864,317",6.05,6.05,6.00,6.03,-0.06,"1,852"
114/07/08,"11,925,580","72,646,704",6.09,6.11,6.07,6.09,-0.08,"1,110"
114/07/07,"7,850,013","48,698,726",6.22,6.24,6.17,6.17,-0.05,460
114/07/04,"15,941,787","99,020,432",6.22,6.24,6.19,6.22,-0.05,782
114/07/03,"6,046,100","38,017,211",6.30,6.31,6.27,6.27,-0.02,411
114/07/02,"6,414,813","40,457,481",6.31,6.33,6.29,6.29,-0.02,429
114/07/01,"8,812,930","55,598,359",6.31,6.33,6.29,6.31,+0.02,524
114/06/30,"12,523,430","78,478,686",6.23,6.30,6.22,6.29,+0.06,848
