日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數,開盤價,最高價,最低價,收盤價,漲跌價差
114/08/01,3127,154479,49.85,49.1,49.4,4,,,,,
114/07/02,45005,2224987,50.3,48.55,49.44,12,,,,,
114/07/01,19327,943533,49.75,48.0,48.82,17,,,,,
114/06/06,49000,2546600,53.4,50.5,51.97,17,,,,,
114/06/05,45100,2352400,53.4,50.6,52.16,13,,,,,
114/06/04,50022,2578144,52.4,50.6,51.54,18,,,,,
114/06/03,36017,1915350,54.5,51.2,53.18,19,,,,,
114/06/02,1000,50000,50.0,50.0,50.0,1,,,,,
114/05/05,2008,97794,48.9,48.5,48.7,3,,,,,
114/05/02,105008,5236544,51.1,49.0,49.87,57,,,,,
114/04/18,55067,2755299,51.5,48.8,50.04,39,,,,,
114/04/17,3019,151458,50.9,49.3,50.17,6,,,,,
114/04/16,51130,2544402,53.8,48.5,49.76,50,,,,,
114/04/15,257292,12859624,50.4,48.65,49.98,33,,,,,
114/04/14,45282,2272727,51.4,48.75,50.19,22,,,,,
114/04/11,267000,13176000,49.35,48.9,49.35,3,,,,,
114/04/10,8033,388826,49.25,46.3,48.4,11,,,,,
114/04/09,46868,2166201,49.0,44.9,46.22,26,,,,,
114/04/08,16394,760891,49.85,45.85,46.41,20,,,,,
114/04/07,30193,1562884,54.0,50.7,51.76,15,,,,,
114/04/02,33000,1856900,57.2,55.1,56.27,15,,,,,
114/04/01,42080,2387365,58.6,55.1,56.73,24,,,,,
114/03/31,"11,310","634,060",,,,13,56.70,56.70,55.00,56.40,-2.30
114/03/28,"36,032","2,154,869",,,,19,60.80,60.90,58.70,58.70,X0.00
114/03/26,"20,936","1,235,421",,,,29,58.20,61.00,58.10,60.90,+3.40
114/03/25,"7,841","449,037",,,,15,57.50,57.50,57.10,57.50,+0.40
114/03/24,"61,000","3,452,600",,,,34,56.50,57.50,55.10,57.10,+1.60
114/03/21,"80,440","4,452,274",,,,56,54.80,56.60,53.60,55.50,+1.40
114/03/20,"37,271","2,073,495",,,,27,57.50,57.90,54.10,54.10,-1.90
114/03/19,"23,001","1,279,055",,,,8,54.30,57.00,54.30,56.00, 0.00
114/03/18,"26,878","1,519,936",,,,19,54.10,58.60,54.10,56.00,+0.40
114/03/17,"7,000","379,300",,,,6,54.50,55.60,53.40,55.60,+0.30
114/03/14,"72,885","4,172,401",,,,22,56.20,58.10,55.30,55.30,X0.00
114/03/12,"11,803","654,263",,,,20,56.90,56.90,54.90,56.60,+0.10
114/03/11,"19,000","1,070,900",,,,17,56.90,56.90,54.80,56.50,X0.00
