日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數,開盤價,最高價,最低價,收盤價,漲跌價差
114/08/15,152630,14656193,96.6,95.3,96.02,447,,,,,
114/08/14,142705,13639843,96.0,94.9,95.58,343,,,,,
114/08/13,222531,21298994,97.0,94.2,95.71,339,,,,,
114/08/12,131598,12428428,95.3,93.4,94.44,259,,,,,
114/08/11,141497,13253049,94.7,93.2,93.66,169,,,,,
114/08/08,102838,9685601,95.0,93.7,94.18,138,,,,,
114/08/07,97889,9223426,95.3,93.6,94.22,160,,,,,
114/08/06,95862,9035448,94.8,94.0,94.25,306,,,,,
114/08/05,242720,23065732,96.0,94.0,95.03,445,,,,,
114/08/04,188754,17692386,94.7,92.3,93.73,335,,,,,
114/08/01,253974,23695706,94.8,90.5,93.3,300,,,,,
114/07/31,501592,47173057,96.0,93.4,94.05,657,,,,,
114/07/30,1037110,100178362,101.0,95.0,96.59,1249,,,,,
114/07/29,109022,11594858,107.0,105.5,106.35,193,,,,,
114/07/28,72532,7755679,107.5,106.5,106.93,96,,,,,
114/07/25,138339,14781582,108.5,106.0,106.85,201,,,,,
114/07/24,89849,9626964,108.0,106.0,107.15,230,,,,,
114/07/23,199668,21136655,107.0,103.5,105.86,212,,,,,
114/07/22,256068,26518034,107.0,102.0,103.56,309,,,,,
114/07/21,118244,12511554,106.5,105.5,105.81,128,,,,,
114/07/18,136368,14537962,108.0,105.5,106.61,160,,,,,
114/07/17,152957,16320979,107.5,105.5,106.7,140,,,,,
114/07/16,124030,13116008,107.0,105.0,105.75,144,,,,,
114/07/15,78582,8252694,106.0,103.5,105.02,118,,,,,
114/07/14,102016,10713591,106.0,104.0,105.02,124,,,,,
114/07/11,99357,10649565,108.0,105.5,107.18,116,,,,,
114/07/10,67463,7196852,107.5,106.0,106.68,70,,,,,
114/07/09,135303,14389666,107.0,105.0,106.35,125,,,,,
114/07/08,135090,14145281,107.0,103.0,104.71,173,,,,,
114/07/07,87575,9340137,108.0,106.0,106.65,108,,,,,
114/07/04,128686,14037747,111.5,108.0,109.09,157,,,,,
114/07/03,161035,17859570,112.5,110.0,110.9,165,,,,,
114/07/02,133954,14957092,113.0,110.5,111.66,165,,,,,
114/07/01,288988,32280579,113.5,109.5,111.7,329,,,,,
114/06/30,"111,749","12,299,813",,,,139,111.00,111.50,109.00,109.00, 0.00
114/06/27,"158,975","17,381,715",,,,152,110.00,110.00,108.50,109.00,-0.50
114/06/26,"150,969","16,549,126",,,,178,107.00,110.50,107.00,109.50,+2.00
114/06/25,"78,064","8,470,554",,,,122,110.50,110.50,107.50,107.50,-1.00
114/06/24,"326,625","35,596,735",,,,426,105.00,110.50,105.00,108.50,+5.00
114/06/23,"125,899","13,021,500",,,,158,103.50,104.50,102.50,103.50,-2.00
114/06/20,"225,672","23,645,156",,,,236,105.00,107.00,102.00,105.50,+1.00
114/06/19,"103,318","10,853,104",,,,126,107.00,107.00,104.50,104.50,-2.00
114/06/18,"137,182","14,694,332",,,,156,108.00,108.00,106.50,106.50,-0.50
114/06/17,"305,508","32,691,899",,,,354,105.50,108.00,105.00,107.00,+2.00
114/06/16,"148,969","15,419,918",,,,188,103.50,105.00,102.00,105.00,+0.50
114/06/13,"285,036","30,222,065",,,,414,109.00,109.00,104.50,104.50,-5.00
114/06/12,"156,741","17,188,486",,,,190,110.00,110.50,108.50,109.50,-0.50
114/06/11,"153,538","16,934,673",,,,178,111.00,111.50,109.50,110.00,+1.00
114/06/10,"150,412","16,486,205",,,,179,108.50,110.50,108.50,109.00,+0.50
114/06/09,"111,625","12,041,378",,,,128,110.00,110.00,107.00,108.50, 0.00
114/06/06,"101,786","11,012,482",,,,128,109.00,109.00,107.50,108.50, 0.00
114/06/05,"119,772","13,079,574",,,,119,109.50,110.50,108.00,108.50,-0.50
114/06/04,"85,613","9,364,231",,,,130,108.50,110.50,108.50,109.00,+1.50
114/06/03,"112,387","12,080,937",,,,141,106.50,108.50,106.50,107.50,+2.00
