日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/04/10,"233,514","11,853,498",50.70,51.30,50.40,50.80,+0.80,92
114/04/09,"326,161","16,341,683",50.30,50.30,50.00,50.00,-0.30,101
114/04/08,"153,070","7,691,681",50.20,50.50,50.00,50.30,+0.30,93
114/04/07,"645,642","32,409,025",50.60,50.80,49.80,50.00,-1.50,245
114/04/02,"86,912","4,470,331",51.40,51.50,51.40,51.50, 0.00,38
114/04/01,"76,935","3,958,724",51.40,51.50,51.40,51.50,+0.10,33
114/03/31,"928,170","47,804,714",51.70,51.70,51.40,51.40,-0.30,67
114/03/28,"75,000","3,877,300",51.70,51.70,51.60,51.70,-0.10,25
114/03/27,"71,000","3,673,900",51.70,51.80,51.70,51.80, 0.00,22
114/03/26,"11,179","578,052",51.70,51.80,51.70,51.80, 0.00,10
114/03/25,"35,673","1,844,392",51.70,51.80,51.70,51.80, 0.00,20
114/03/24,"37,928","1,960,904",51.70,51.80,51.70,51.80, 0.00,15
114/03/21,"39,174","2,025,684",51.70,51.80,51.70,51.80, 0.00,13
114/03/20,"142,602","7,381,242",51.80,51.90,51.70,51.80, 0.00,42
114/03/19,"73,377","3,804,244",51.80,51.90,51.80,51.80, 0.00,28
114/03/18,"51,072","2,645,829",51.80,51.90,51.80,51.80,-0.10,20
114/03/17,"167,348","8,703,622",51.80,52.20,51.80,51.90,+0.10,45
114/03/14,"38,143","1,975,821",51.80,51.80,51.80,51.80, 0.00,11
114/03/13,"15,060","779,814",51.80,51.80,51.70,51.80,-0.10,8
114/03/12,"174,044","9,034,274",51.60,52.10,51.60,51.90,+0.20,42
114/03/11,"60,363","3,120,727",51.70,51.70,51.70,51.70,-0.10,33
114/03/10,"94,000","4,864,600",51.70,51.80,51.70,51.80,+0.10,11
114/03/07,"461,009","23,835,173",51.70,51.80,51.70,51.70,-0.10,29
114/03/06,"136,393","7,082,256",51.80,52.10,51.80,51.80,-0.10,29
114/03/05,"262,267","13,614,713",51.70,52.20,51.70,51.90,+0.10,40
114/03/04,"90,501","4,684,238",51.60,51.80,51.60,51.80,-0.10,21
114/03/03,"384,071","19,868,155",51.50,51.90,51.50,51.90,+0.30,57
