日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/08,100,"3,221",32.21,32.21,32.21,32.21,0.04,2
114/08/07,100,"3,217",32.17,32.17,32.17,32.17,-0.19,2
114/08/06,112,"3,622",32.34,32.36,32.34,32.36,0.01,7
114/08/05,100,"3,235",32.35,32.35,32.35,32.35,0.32,2
114/08/04,101,"3,238",32.06,32.06,32.03,32.03,-0.06,3
114/08/01,100,"3,209",32.09,32.09,32.09,32.09,-0.01,2
114/08/01,100,"3,209",32.09,32.09,32.09,32.09,-0.01,2
114/07/31,100,"3,211",32.10,32.10,32.10,32.10,0.17,3
114/07/31,100,"3,211",32.10,32.10,32.10,32.10,0.17,3
114/07/30,100,"3,193",31.93,31.93,31.93,31.93,0.38,2
114/07/30,100,"3,193",31.93,31.93,31.93,31.93,0.38,2
114/07/29,100,"3,155",31.55,31.55,31.55,31.55,0.07,2
114/07/29,100,"3,155",31.55,31.55,31.55,31.55,0.07,2
114/07/28,100,"3,148",31.48,31.48,31.48,31.48,0.14,2
114/07/28,100,"3,148",31.48,31.48,31.48,31.48,0.14,2
114/07/25,100,"3,134",31.34,31.34,31.34,31.34,0.16,2
114/07/25,100,"3,134",31.34,31.34,31.34,31.34,0.16,2
114/07/24,100,"3,118",31.18,31.18,31.18,31.18,0.01,2
114/07/24,100,"3,118",31.18,31.18,31.18,31.18,0.01,2
114/07/23,100,"3,126",31.17,31.17,31.17,31.17,-0.12,6
114/07/23,100,"3,126",31.17,31.17,31.17,31.17,-0.12,6
114/07/22,100,"3,129",31.29,31.29,31.29,31.29,0.21,2
114/07/22,100,"3,129",31.29,31.29,31.29,31.29,0.21,2
114/07/21,100,"3,108",31.08,31.08,31.08,31.08,-0.03,2
114/07/21,100,"3,108",31.08,31.08,31.08,31.08,-0.03,2
114/07/18,100,"3,111",31.11,31.11,31.11,31.11,0.23,2
114/07/18,100,"3,111",31.11,31.11,31.11,31.11,0.23,2
114/07/17,100,"3,088",30.88,30.88,30.88,30.88,0.02,2
114/07/17,100,"3,088",30.88,30.88,30.88,30.88,0.02,2
114/07/16,100,"3,086",30.86,30.86,30.86,30.86,-0.06,2
114/07/16,100,"3,086",30.86,30.86,30.86,30.86,-0.06,2
114/07/15,100,"3,132",31.32,31.32,31.32,31.32,0.07,2
114/07/15,100,"3,132",31.32,31.32,31.32,31.32,0.07,2
114/07/14,100,"3,126",31.25,31.25,31.25,31.25,-0.28,4
114/07/14,100,"3,126",31.25,31.25,31.25,31.25,-0.28,4
114/07/11,100,"3,153",31.53,31.53,31.53,31.53,-0.03,2
114/07/11,100,"3,153",31.53,31.53,31.53,31.53,-0.03,2
114/07/10,100,"3,156",31.56,31.56,31.56,31.56,0.37,2
114/07/10,100,"3,156",31.56,31.56,31.56,31.56,0.37,2
114/07/09,100,"3,118",31.16,31.19,31.16,31.19,-0.08,2
114/07/09,100,"3,118",31.16,31.19,31.16,31.19,-0.08,2
114/07/08,143,"4,469",31.22,31.27,31.21,31.27,-0.24,8
114/07/08,143,"4,469",31.22,31.27,31.21,31.27,-0.24,8
114/07/07,100,"3,152",31.51,31.51,31.51,31.51,0.15,6
114/07/07,100,"3,152",31.51,31.51,31.51,31.51,0.15,6
114/07/04,100,"3,136",31.36,31.36,31.36,31.36,-0.23,4
114/07/04,100,"3,136",31.36,31.36,31.36,31.36,-0.23,4
114/07/03,100,"3,159",31.59,31.59,31.59,31.59,-0.17,4
114/07/03,100,"3,159",31.59,31.59,31.59,31.59,-0.17,4
114/07/02,100,"3,176",31.76,31.76,31.76,31.76,-0.1,4
114/07/02,100,"3,176",31.76,31.76,31.76,31.76,-0.1,4
114/07/01,100,"3,186",31.86,31.86,31.86,31.86,0.45,4
114/07/01,100,"3,186",31.86,31.86,31.86,31.86,0.45,4
114/06/30,100,"3,141",31.41,31.41,31.41,31.41,0.06,4
114/06/30,100,"3,141",31.41,31.41,31.41,31.41,0.06,4
114/06/27,1,31,31.35,31.35,31.35,31.35,-0.16,1
114/06/27,1,31,31.35,31.35,31.35,31.35,-0.16,1
114/06/26,100,"3,150",31.49,31.51,31.49,31.51,-0.27,4
114/06/26,100,"3,150",31.49,31.51,31.49,31.51,-0.27,4
114/06/25,200,"6,354",31.76,31.78,31.76,31.78,0.14,8
114/06/25,200,"6,354",31.76,31.78,31.76,31.78,0.14,8
114/06/24,100,"3,172",31.64,31.64,31.64,31.64,-0.01,7
114/06/24,100,"3,172",31.64,31.64,31.64,31.64,-0.01,7
114/06/23,100,"3,165",31.65,31.65,31.65,31.65,0.16,4
114/06/23,100,"3,165",31.65,31.65,31.65,31.65,0.16,4
114/06/20,101,"3,183",31.51,31.51,31.49,31.49,-0.09,6
114/06/20,101,"3,183",31.51,31.51,31.49,31.49,-0.09,6
114/06/19,100,"3,158",31.58,31.58,31.58,31.58,0.09,4
114/06/19,100,"3,158",31.58,31.58,31.58,31.58,0.09,4
114/06/18,100,"3,149",31.49,31.49,31.49,31.49,0.1,4
114/06/18,100,"3,149",31.49,31.49,31.49,31.49,0.1,4
114/06/17,100,"3,140",31.39,31.39,31.39,31.39,-0.05,9
114/06/17,100,"3,140",31.39,31.39,31.39,31.39,-0.05,9
114/06/16,100,"3,144",31.44,31.44,31.44,31.44,-0.46,4
114/06/16,100,"3,144",31.44,31.44,31.44,31.44,-0.46,4
114/06/13,100,"3,191",31.90,31.90,31.90,31.90,0.17,6
114/06/13,100,"3,191",31.90,31.90,31.90,31.90,0.17,6
114/06/12,100,"3,173",31.73,31.73,31.73,31.73,-0.02,4
114/06/12,100,"3,173",31.73,31.73,31.73,31.73,-0.02,4
114/06/11,106,"3,367",31.77,31.77,31.75,31.75,0.06,6
114/06/11,106,"3,367",31.77,31.77,31.75,31.75,0.06,6
114/06/10,200,"6,340",31.71,31.71,31.69,31.69,0.17,8
114/06/10,200,"6,340",31.71,31.71,31.69,31.69,0.17,8
114/06/09,1,32,31.52,31.52,31.52,31.52,-0.25,1
114/06/09,1,32,31.52,31.52,31.52,31.52,-0.25,1
114/06/06,100,"3,177",31.77,31.77,31.77,31.77,-0.01,4
114/06/06,100,"3,177",31.77,31.77,31.77,31.77,-0.01,4
114/06/05,100,"3,178",31.79,31.79,31.78,31.78,0.13,5
114/06/05,100,"3,178",31.79,31.79,31.78,31.78,0.13,5
114/06/04,100,"3,165",31.65,31.65,31.65,31.65,0.06,4
114/06/04,100,"3,165",31.65,31.65,31.65,31.65,0.06,4
114/06/03,100,"3,159",31.59,31.59,31.59,31.59,0.0,4
114/06/03,100,"3,159",31.59,31.59,31.59,31.59,0.0,4
114/06/02,100,"3,159",31.59,31.59,31.59,31.59,0.17,4
114/06/02,100,"3,159",31.59,31.59,31.59,31.59,0.17,4
114/05/29,104,"3,268",31.38,31.43,31.38,31.42,0.09,7
114/05/29,104,"3,268",31.38,31.43,31.38,31.42,0.09,7
114/05/28,100,"3,133",31.33,31.33,31.33,31.33,0.33,5
114/05/28,100,"3,133",31.33,31.33,31.33,31.33,0.33,5
114/05/27,100,"3,100",31.00,31.00,31.00,31.00,0.29,4
114/05/27,100,"3,100",31.00,31.00,31.00,31.00,0.29,4
114/05/26,100,"3,071",30.71,30.71,30.71,30.71,-0.35,4
114/05/26,100,"3,071",30.71,30.71,30.71,30.71,-0.35,4
114/05/23,100,"3,114",31.06,31.06,31.06,31.06,0.23,5
114/05/23,100,"3,114",31.06,31.06,31.06,31.06,0.23,5
114/05/22,102,"3,144",30.82,30.83,30.82,30.83,-0.55,4
114/05/22,102,"3,144",30.82,30.83,30.82,30.83,-0.55,4
114/05/21,100,"3,138",31.38,31.38,31.38,31.38,-0.35,4
114/05/21,100,"3,138",31.38,31.38,31.38,31.38,-0.35,4
114/05/20,110,"3,490",31.70,31.73,31.70,31.73,0.38,5
114/05/20,110,"3,490",31.70,31.73,31.70,31.73,0.38,5
114/05/19,100,"3,135",31.35,31.35,31.35,31.35,-0.38,2
