日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數,日期
114/08/22,124,"1,202",9.65,9.71,9.64,9.66,0.00,40,2025-08-22
114/08/21,296,"2,848",9.60,9.67,9.60,9.66,0.06,66,2025-08-21
114/08/20,901,"8,636",9.52,9.61,9.52,9.60,0.08,53,2025-08-20
114/08/19,440,"4,188",9.52,9.53,9.51,9.52,0.01,37,2025-08-19
114/08/18,"1,019","9,699",9.52,9.52,9.51,9.51,-0.04,64,2025-08-18
114/08/15,452,"4,337",9.61,9.61,9.59,9.60,0.00,52,2025-08-15
114/08/14,455,"4,367",9.57,9.62,9.54,9.60,0.06,64,2025-08-14
114/08/13,171,"1,628",9.53,9.55,9.52,9.54,0.01,38,2025-08-13
114/08/12,243,"2,315",9.51,9.53,9.51,9.53,0.02,36,2025-08-12
114/08/11,73,699,9.52,9.52,9.51,9.51,-0.03,50,2025-08-11
114/08/08,97,927,9.51,9.55,9.51,9.54,0.04,29,2025-08-08
114/08/08,97,927,9.51,9.55,9.51,9.54,0.04,29,2025-08-08
114/08/07,575,"5,470",9.55,9.55,9.48,9.50,-0.05,73,2025-08-07
114/08/07,575,"5,470",9.55,9.55,9.48,9.5,-0.05,73,2025-08-07
114/08/06,123,"1,175",9.56,9.57,9.55,9.55,0.02,22,2025-08-06
114/08/06,123,"1,175",9.56,9.57,9.55,9.55,0.02,22,2025-08-06
114/08/05,243,"2,316",9.45,9.56,9.45,9.53,0.09,52,2025-08-05
114/08/05,243,"2,316",9.45,9.56,9.45,9.53,0.09,52,2025-08-05
114/08/04,386,"3,638",9.52,9.52,9.43,9.44,0.0,52,2025-08-04
114/08/04,386,"3,638",9.52,9.52,9.43,9.44,0.00,52,2025-08-04
114/08/01,322,"3,053",9.44,9.50,9.43,9.44,0.00,70,2025-08-01
114/08/01,322,"3,053",9.44,9.5,9.43,9.44,0.0,70,2025-08-01
114/07/31,190,"1,797",9.41,9.46,9.40,9.44,0.03,45,2025-07-31
114/07/31,190,"1,797",9.41,9.46,9.4,9.44,0.03,45,2025-07-31
114/07/30,77,720,9.37,9.41,9.37,9.41,0.09,31,2025-07-30
114/07/30,77,720,9.37,9.41,9.37,9.41,0.09,31,2025-07-30
114/07/29,508,"4,726",9.29,9.32,9.28,9.32,0.06,54,2025-07-29
114/07/29,508,"4,726",9.29,9.32,9.28,9.32,0.06,54,2025-07-29
114/07/28,249,"2,306",9.25,9.26,9.25,9.26,0.05,37,2025-07-28
114/07/28,249,"2,306",9.25,9.26,9.25,9.26,0.05,37,2025-07-28
114/07/25,50,456,9.18,9.22,9.18,9.21,0.06,18,2025-07-25
114/07/25,50,456,9.18,9.22,9.18,9.21,0.06,18,2025-07-25
114/07/24,67,611,9.13,9.18,9.13,9.15,0.00,18,2025-07-24
114/07/24,67,611,9.13,9.18,9.13,9.15,0.0,18,2025-07-24
114/07/23,826,"7,578",9.16,9.18,9.15,9.15,-0.03,27,2025-07-23
114/07/23,826,"7,578",9.16,9.18,9.15,9.15,-0.03,27,2025-07-23
114/07/22,104,956,9.18,9.18,9.15,9.18,0.04,22,2025-07-22
114/07/22,104,956,9.18,9.18,9.15,9.18,0.04,22,2025-07-22
114/07/21,40,365,9.15,9.15,9.14,9.14,-0.01,33,2025-07-21
114/07/21,40,365,9.15,9.15,9.14,9.14,-0.01,33,2025-07-21
114/07/18,842,"7,681",9.12,9.15,9.11,9.15,0.06,36,2025-07-18
114/07/18,842,"7,681",9.12,9.15,9.11,9.15,0.06,36,2025-07-18
114/07/17,70,641,9.09,9.10,9.08,9.09,0.01,27,2025-07-17
114/07/17,70,641,9.09,9.1,9.08,9.09,0.01,27,2025-07-17
114/07/16,"1,048","9,522",9.09,9.1,9.08,9.08,-0.01,66,2025-07-16
114/07/16,"1,048","9,522",9.09,9.10,9.08,9.08,-0.01,66,2025-07-16
114/07/15,873,"7,971",9.12,9.15,9.11,9.14,0.02,160,2025-07-15
114/07/15,873,"7,971",9.12,9.15,9.11,9.14,0.02,160,2025-07-15
114/07/14,353,"3,219",9.16,9.16,9.11,9.12,-0.08,58,2025-07-14
114/07/14,353,"3,219",9.16,9.16,9.11,9.12,-0.08,58,2025-07-14
114/07/11,51,473,9.26,9.26,9.20,9.20,0.00,27,2025-07-11
114/07/11,51,473,9.26,9.26,9.2,9.2,0.0,27,2025-07-11
