日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數,日期
114/08/22,910,"8,410",9.22,9.27,9.22,9.23,0.01,259,2025-08-22
114/08/21,"2,411","22,212",9.18,9.24,9.17,9.22,0.07,245,2025-08-21
114/08/20,"1,699","15,542",9.12,9.17,9.12,9.15,0.05,257,2025-08-20
114/08/19,"1,050","9,548",9.11,9.11,9.09,9.10,-0.01,163,2025-08-19
114/08/18,911,"8,290",9.11,9.11,9.10,9.11,-0.01,184,2025-08-18
114/08/15,"1,914","17,462",9.13,9.13,9.11,9.12,0.01,190,2025-08-15
114/08/14,"2,490","22,680",9.10,9.12,9.10,9.11,0.05,213,2025-08-14
114/08/13,"1,231","11,134",9.03,9.07,9.03,9.06,0.03,175,2025-08-13
114/08/12,"1,244","11,233",9.01,9.04,9.01,9.03,0.02,163,2025-08-12
114/08/11,"1,040","9,371",9.02,9.02,9.00,9.01,-0.02,187,2025-08-11
114/08/08,"1,533","13,830",9.03,9.03,9.0,9.03,0.02,151,2025-08-08
114/08/08,"1,533","13,830",9.03,9.03,9.00,9.03,0.02,151,2025-08-08
114/08/07,"3,453","31,096",9.03,9.04,8.99,9.01,-0.04,344,2025-08-07
114/08/07,"3,453","31,096",9.03,9.04,8.99,9.01,-0.04,344,2025-08-07
114/08/06,"1,316","11,914",9.05,9.06,9.04,9.05,0.01,185,2025-08-06
114/08/06,"1,316","11,914",9.05,9.06,9.04,9.05,0.01,185,2025-08-06
114/08/05,"1,277","11,537",9.01,9.05,9.01,9.04,0.08,238,2025-08-05
114/08/05,"1,277","11,537",9.01,9.05,9.01,9.04,0.08,238,2025-08-05
114/08/04,"1,783","15,987",9.02,9.02,8.94,8.96,0.0,285,2025-08-04
114/08/04,"1,783","15,987",9.02,9.02,8.94,8.96,0.00,285,2025-08-04
114/08/01,"5,398","48,461",8.96,9.01,8.96,8.96,-0.01,284,2025-08-01
114/08/01,"5,398","48,461",8.96,9.01,8.96,8.96,-0.01,284,2025-08-01
114/07/31,"2,423","21,711",8.93,8.98,8.93,8.97,0.03,256,2025-07-31
114/07/31,"2,423","21,711",8.93,8.98,8.93,8.97,0.03,256,2025-07-31
114/07/30,"2,929","26,227",8.93,8.98,8.93,8.98,0.09,365,2025-07-30
114/07/30,"2,929","26,227",8.93,8.98,8.93,8.98,0.09,365,2025-07-30
114/07/29,"1,706","15,141",8.85,8.89,8.85,8.89,0.05,238,2025-07-29
114/07/29,"1,706","15,141",8.85,8.89,8.85,8.89,0.05,238,2025-07-29
114/07/28,"3,708","32,755",8.83,8.84,8.82,8.84,0.04,208,2025-07-28
114/07/28,"3,708","32,755",8.83,8.84,8.82,8.84,0.04,208,2025-07-28
114/07/25,"2,447","21,531",8.77,8.81,8.77,8.80,0.06,256,2025-07-25
114/07/25,"2,447","21,531",8.77,8.81,8.77,8.8,0.06,256,2025-07-25
114/07/24,"1,022","8,928",8.74,8.75,8.73,8.74,0.00,141,2025-07-24
114/07/24,"1,022","8,928",8.74,8.75,8.73,8.74,0.0,141,2025-07-24
114/07/23,"1,863","16,315",8.79,8.79,8.73,8.74,-0.03,344,2025-07-23
114/07/23,"1,863","16,315",8.79,8.79,8.73,8.74,-0.03,344,2025-07-23
114/07/22,"1,365","11,958",8.77,8.77,8.74,8.77,0.04,171,2025-07-22
114/07/22,"1,365","11,958",8.77,8.77,8.74,8.77,0.04,171,2025-07-22
114/07/21,"2,444","21,316",8.72,8.74,8.70,8.73,0.01,200,2025-07-21
114/07/21,"2,444","21,316",8.72,8.74,8.7,8.73,0.01,200,2025-07-21
114/07/18,885,"7,701",8.70,8.72,8.69,8.72,0.05,203,2025-07-18
114/07/18,885,"7,701",8.7,8.72,8.69,8.72,0.05,203,2025-07-18
114/07/17,"2,378","20,600",8.66,8.67,8.65,8.67,0.01,239,2025-07-17
114/07/17,"2,378","20,600",8.66,8.67,8.65,8.67,0.01,239,2025-07-17
114/07/16,"1,717","14,865",8.66,8.67,8.64,8.66,-0.01,242,2025-07-16
114/07/16,"1,717","14,865",8.66,8.67,8.64,8.66,-0.01,242,2025-07-16
114/07/15,"1,055","9,138",8.66,8.68,8.65,8.67,0.02,143,2025-07-15
114/07/15,"1,055","9,138",8.66,8.68,8.65,8.67,0.02,143,2025-07-15
114/07/14,"1,327","11,473",8.65,8.66,8.63,8.65,-0.06,382,2025-07-14
114/07/14,"1,327","11,473",8.65,8.66,8.63,8.65,-0.06,382,2025-07-14
114/07/11,"3,099","27,014",8.73,8.73,8.70,8.71,-0.01,208,2025-07-11
114/07/11,"3,099","27,014",8.73,8.73,8.7,8.71,-0.01,208,2025-07-11
114/07/10,"1,861","16,237",8.71,8.74,8.71,8.72,0.07,153,2025-07-10
114/07/10,"1,861","16,237",8.71,8.74,8.71,8.72,0.07,153,2025-07-10
114/07/09,"1,394","12,053",8.66,8.67,8.63,8.65,-0.01,281,2025-07-09
114/07/09,"1,394","12,053",8.66,8.67,8.63,8.65,-0.01,281,2025-07-09
114/07/08,"3,936","34,141",8.69,8.69,8.65,8.66,-0.06,351,2025-07-08
114/07/08,"3,936","34,141",8.69,8.69,8.65,8.66,-0.06,351,2025-07-08
114/07/07,"1,793","15,618",8.68,8.72,8.68,8.72,0.04,179,2025-07-07
114/07/07,"1,793","15,618",8.68,8.72,8.68,8.72,0.04,179,2025-07-07
114/07/04,"2,395","20,755",8.68,8.68,8.65,8.68,-0.04,324,2025-07-04
114/07/04,"2,395","20,755",8.68,8.68,8.65,8.68,-0.04,324,2025-07-04
114/07/03,"1,754","15,294",8.77,8.77,8.71,8.72,-0.05,340,2025-07-03
114/07/03,"1,754","15,294",8.77,8.77,8.71,8.72,-0.05,340,2025-07-03
114/07/02,"3,262","28,796",8.87,8.87,8.80,8.82,-0.01,278,2025-07-02
114/07/02,"3,262","28,796",8.87,8.87,8.8,8.82,-0.01,278,2025-07-02
114/07/01,"2,036","17,944",8.74,8.83,8.74,8.83,0.13,297,2025-07-01
114/07/01,"2,036","17,944",8.74,8.83,8.74,8.83,0.13,297,2025-07-01
114/06/30,"1,048","9,124",8.74,8.74,8.67,8.70,0.04,187,2025-06-30
114/06/30,"1,048","9,124",8.74,8.74,8.67,8.7,0.04,187,2025-06-30
114/06/27,"3,168","27,476",8.72,8.72,8.65,8.66,-0.07,601,2025-06-27
114/06/27,"3,168","27,476",8.72,8.72,8.65,8.66,-0.07,601,2025-06-27
114/06/26,"3,114","27,230",8.8,8.8,8.72,8.73,-0.07,531,2025-06-26
114/06/26,"3,114","27,230",8.80,8.80,8.72,8.73,-0.07,531,2025-06-26
114/06/25,"1,035","9,105",8.82,8.82,8.78,8.8,0.02,241,2025-06-25
114/06/25,"1,035","9,105",8.82,8.82,8.78,8.80,0.02,241,2025-06-25
114/06/24,"1,910","16,760",8.81,8.81,8.77,8.78,0.00,180,2025-06-24
114/06/24,"1,910","16,760",8.81,8.81,8.77,8.78,0.0,180,2025-06-24
114/06/23,"1,175","10,301",8.74,8.79,8.73,8.78,0.04,184,2025-06-23
114/06/23,"1,175","10,301",8.74,8.79,8.73,8.78,0.04,184,2025-06-23
114/06/20,"2,187","19,072",8.76,8.76,8.71,8.74,-0.02,221,2025-06-20
114/06/20,"2,187","19,072",8.76,8.76,8.71,8.74,-0.02,221,2025-06-20
114/06/19,"1,015","8,876",8.74,8.76,8.74,8.76,0.02,183,2025-06-19
114/06/19,"1,015","8,876",8.74,8.76,8.74,8.76,0.02,183,2025-06-19
114/06/18,693,"6,053",8.72,8.75,8.72,8.74,0.04,162,2025-06-18
114/06/18,693,"6,053",8.72,8.75,8.72,8.74,0.04,162,2025-06-18
114/06/17,"1,174","10,222",8.72,8.72,8.69,8.7,-0.02,227,2025-06-17
114/06/17,"1,174","10,222",8.72,8.72,8.69,8.70,-0.02,227,2025-06-17
114/06/16,"1,539","13,450",8.77,8.78,8.71,8.72,-0.11,410,2025-06-16
114/06/16,"1,539","13,450",8.77,8.78,8.71,8.72,-0.11,410,2025-06-16
114/06/13,"3,946","34,739",8.80,8.83,8.77,8.83,0.05,186,2025-06-13
