日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/08,163,"1,496",9.12,9.16,9.12,9.15,0.03,92
114/08/07,873,"7,967",9.17,9.17,9.12,9.12,-0.06,109
114/08/06,345,"3,166",9.18,9.19,9.18,9.18,0.01,112
114/08/05,379,"3,482",9.16,9.19,9.16,9.17,0.08,111
114/08/04,148,"1,344",9.1,9.1,9.09,9.09,-0.01,94
114/08/01,857,"7,801",9.08,9.12,9.08,9.1,0.01,101
114/08/01,857,"7,801",9.08,9.12,9.08,9.1,0.01,101
114/07/31,451,"4,098",9.05,9.11,9.05,9.09,0.04,61
114/07/31,451,"4,098",9.05,9.11,9.05,9.09,0.04,61
114/07/30,405,"3,658",9.02,9.05,9.02,9.05,0.08,84
114/07/30,405,"3,658",9.02,9.05,9.02,9.05,0.08,84
114/07/29,"1,754","15,708",8.93,8.98,8.92,8.97,0.04,104
114/07/29,"1,754","15,708",8.93,8.98,8.92,8.97,0.04,104
114/07/28,47,420,8.91,8.93,8.91,8.93,0.03,83
114/07/28,47,420,8.91,8.93,8.91,8.93,0.03,83
114/07/25,"1,096","9,747",8.88,8.91,8.88,8.9,0.07,124
114/07/25,"1,096","9,747",8.88,8.91,8.88,8.9,0.07,124
114/07/24,"1,865","16,480",8.83,8.84,8.83,8.83,-0.01,74
114/07/24,"1,865","16,480",8.83,8.84,8.83,8.83,-0.01,74
114/07/23,273,"2,413",8.86,8.87,8.83,8.84,-0.02,103
114/07/23,273,"2,413",8.86,8.87,8.83,8.84,-0.02,103
114/07/22,397,"3,513",8.83,8.86,8.83,8.86,0.04,64
114/07/22,397,"3,513",8.83,8.86,8.83,8.86,0.04,64
114/07/21,396,"3,485",8.81,8.82,8.8,8.82,0.01,84
114/07/21,396,"3,485",8.81,8.82,8.8,8.82,0.01,84
114/07/18,121,"1,063",8.78,8.81,8.78,8.81,0.04,85
114/07/18,121,"1,063",8.78,8.81,8.78,8.81,0.04,85
114/07/17,"1,095","9,595",8.76,8.77,8.75,8.77,0.01,64
114/07/17,"1,095","9,595",8.76,8.77,8.75,8.77,0.01,64
114/07/16,"1,399","12,261",8.77,8.77,8.75,8.76,-0.01,220
114/07/16,"1,399","12,261",8.77,8.77,8.75,8.76,-0.01,220
114/07/15,761,"6,672",8.8,8.8,8.76,8.77,0.0,108
114/07/15,761,"6,672",8.8,8.8,8.76,8.77,0.0,108
114/07/14,849,"7,481",8.85,8.85,8.79,8.82,-0.07,149
114/07/14,849,"7,481",8.85,8.85,8.79,8.82,-0.07,149
114/07/11,908,"8,092",8.91,8.93,8.89,8.89,-0.01,122
114/07/11,908,"8,092",8.91,8.93,8.89,8.89,-0.01,122
114/07/10,233,"2,068",8.88,8.91,8.88,8.9,0.1,86
114/07/10,233,"2,068",8.88,8.91,8.88,8.9,0.1,86
114/07/09,315,"2,766",8.8,8.81,8.79,8.8,-0.02,105
