日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/08,106,"8,340",78.8,79.3,78.5,79.1,-0.2,377
114/08/07,126,"9,994",78.8,79.7,78.5,79.3,0.0,124
114/08/06,163,"12,902",78.7,79.7,78.3,79.3,-0.4,313
114/08/05,273,"21,600",79.1,80.1,78.4,79.7,-0.5,704
114/08/04,709,"55,090",73.0,80.2,73.0,80.2,7.2,715
114/08/01,282,"20,519",72.9,73.2,72.1,73.0,-0.4,167
114/08/01,282,"20,519",72.9,73.2,72.1,73.0,-0.4,167
114/07/31,271,"19,959",73.6,74.0,73.1,73.4,-0.2,110
114/07/31,271,"19,959",73.6,74.0,73.1,73.4,-0.2,110
114/07/30,58,"4,255",73.1,74.2,73.0,73.6,0.0,76
114/07/30,58,"4,255",73.1,74.2,73.0,73.6,0.0,76
114/07/29,90,"6,596",74.4,74.4,72.4,73.6,-0.3,99
114/07/29,90,"6,596",74.4,74.4,72.4,73.6,-0.3,99
114/07/28,82,"6,081",73.1,74.7,73.1,73.9,0.4,126
114/07/28,82,"6,081",73.1,74.7,73.1,73.9,0.4,126
114/07/25,78,"5,739",72.6,74.0,72.1,73.5,0.7,81
114/07/25,78,"5,739",72.6,74.0,72.1,73.5,0.7,81
114/07/24,36,"2,578",73.5,73.5,72.2,72.8,-0.2,130
114/07/24,36,"2,578",73.5,73.5,72.2,72.8,-0.2,130
114/07/23,77,"5,619",72.1,73.7,72.1,73.0,0.9,72
114/07/23,77,"5,619",72.1,73.7,72.1,73.0,0.9,72
114/07/22,230,"16,547",72.7,73.9,71.1,72.1,-1.7,571
114/07/22,230,"16,547",72.7,73.9,71.1,72.1,-1.7,571
114/07/21,204,"14,883",70.1,75.0,70.1,73.8,3.4,356
114/07/21,204,"14,883",70.1,75.0,70.1,73.8,3.4,356
114/07/18,80,"5,641",70.6,71.0,70.1,70.4,0.0,99
114/07/18,80,"5,641",70.6,71.0,70.1,70.4,0.0,99
114/07/17,114,"7,993",68.8,70.8,68.8,70.4,1.2,184
114/07/17,114,"7,993",68.8,70.8,68.8,70.4,1.2,184
114/07/16,112,"7,770",68.5,69.6,68.5,69.2,1.0,125
114/07/16,112,"7,770",68.5,69.6,68.5,69.2,1.0,125
114/07/15,120,"8,130",67.1,68.6,66.6,68.2,1.1,141
114/07/15,120,"8,130",67.1,68.6,66.6,68.2,1.1,141
114/07/14,126,"8,420",66.0,67.2,65.7,67.1,0.9,111
114/07/14,126,"8,420",66.0,67.2,65.7,67.1,0.9,111
114/07/11,112,"7,323",64.5,66.3,63.8,66.2,0.9,126
114/07/11,112,"7,323",64.5,66.3,63.8,66.2,0.9,126
114/07/10,49,"3,187",65.0,65.3,63.2,65.3,0.0,88
114/07/10,49,"3,187",65.0,65.3,63.2,65.3,0.0,88
114/07/09,59,"3,846",64.6,65.4,64.2,65.3,0.3,64
114/07/09,59,"3,846",64.6,65.4,64.2,65.3,0.3,64
114/07/08,79,"5,150",65.0,65.4,64.5,65.0,-0.3,76
114/07/08,79,"5,150",65.0,65.4,64.5,65.0,-0.3,76
114/07/07,56,"3,683",66.0,66.0,65.0,65.3,-1.0,136
114/07/07,56,"3,683",66.0,66.0,65.0,65.3,-1.0,136
114/07/04,112,"7,383",66.6,66.6,65.5,66.3,-0.4,150
114/07/04,112,"7,383",66.6,66.6,65.5,66.3,-0.4,150
114/07/03,72,"4,787",67.0,67.2,66.3,66.7,-0.3,202
114/07/03,72,"4,787",67.0,67.2,66.3,66.7,-0.3,202
114/07/02,213,"14,253",65.2,67.8,64.8,67.0,2.0,216
114/07/02,213,"14,253",65.2,67.8,64.8,67.0,2.0,216
114/07/01,123,"7,984",64.2,65.8,64.0,65.0,1.0,136
114/07/01,123,"7,984",64.2,65.8,64.0,65.0,1.0,136
114/06/30,26,"1,679",63.6,64.0,63.4,64.0,0.3,44
114/06/30,26,"1,679",63.6,64.0,63.4,64.0,0.3,44
114/06/27,30,"1,919",63.7,63.8,63.1,63.7,0.2,38
114/06/27,30,"1,919",63.7,63.8,63.1,63.7,0.2,38
114/06/26,91,"5,723",63.1,63.7,62.7,63.5,-0.1,100
114/06/26,91,"5,723",63.1,63.7,62.7,63.5,-0.1,100
114/06/25,95,"5,999",63.9,63.9,62.7,63.6,-0.3,115
114/06/25,95,"5,999",63.9,63.9,62.7,63.6,-0.3,115
114/06/24,71,"4,535",64.3,64.3,62.7,63.9,0.0,84
114/06/24,71,"4,535",64.3,64.3,62.7,63.9,0.0,84
114/06/23,77,"4,864",63.1,64.9,61.6,63.9,0.9,88
114/06/23,77,"4,864",63.1,64.9,61.6,63.9,0.9,88
114/06/20,245,"15,474",64.2,64.6,63.0,63.0,-1.3,140
114/06/20,245,"15,474",64.2,64.6,63.0,63.0,-1.3,140
114/06/19,166,"10,678",64.5,64.8,63.9,64.3,-0.8,139
114/06/19,166,"10,678",64.5,64.8,63.9,64.3,-0.8,139
114/06/18,70,"4,534",65.2,65.4,63.9,65.1,0.3,63
114/06/18,70,"4,534",65.2,65.4,63.9,65.1,0.3,63
114/06/17,46,"2,970",64.9,65.2,64.3,64.8,-0.1,57
114/06/17,46,"2,970",64.9,65.2,64.3,64.8,-0.1,57
114/06/16,71,"4,606",64.1,65.5,63.2,64.9,0.4,83
114/06/16,71,"4,606",64.1,65.5,63.2,64.9,0.4,83
114/06/13,241,"15,744",68.6,68.6,64.3,64.5,-4.2,343
114/06/13,241,"15,744",68.6,68.6,64.3,64.5,-4.2,343
114/06/12,302,"20,296",63.0,69.7,63.0,68.7,5.3,469
114/06/12,302,"20,296",63.0,69.7,63.0,68.7,5.3,469
114/06/11,157,"9,913",63.7,63.7,62.8,63.4,-0.4,221
114/06/11,157,"9,913",63.7,63.7,62.8,63.4,-0.4,221
114/06/10,118,"7,468",64.0,64.2,63.0,63.8,-0.5,135
114/06/10,118,"7,468",64.0,64.2,63.0,63.8,-0.5,135
114/06/09,66,"4,255",64.1,64.3,63.8,64.3,-0.2,69
114/06/09,66,"4,255",64.1,64.3,63.8,64.3,-0.2,69
114/06/06,40,"2,596",64.0,64.5,63.8,64.5,0.1,50
114/06/06,40,"2,596",64.0,64.5,63.8,64.5,0.1,50
114/06/05,26,"1,644",64.5,64.5,63.9,64.4,0.0,41
114/06/05,26,"1,644",64.5,64.5,63.9,64.4,0.0,41
