日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/08,59,"7,746",134.0,134.0,129.0,132.5,0.0,54
114/08/07,38,"5,092",133.0,134.0,132.0,132.5,0.5,38
114/08/06,59,"7,835",132.0,135.0,131.0,132.0,1.0,57
114/08/05,29,"3,850",132.5,133.0,130.5,131.0,0.0,36
114/08/04,56,"7,449",133.5,133.5,131.0,131.0,-4.5,145
114/08/01,213,"28,895",126.5,138.0,126.5,135.5,10.0,264
114/08/01,213,"28,895",126.5,138.0,126.5,135.5,10.0,264
114/07/31,55,"6,891",128.0,128.0,123.5,125.5,-1.0,74
114/07/31,55,"6,891",128.0,128.0,123.5,125.5,-1.0,74
114/07/30,100,"12,823",132.5,132.5,126.5,126.5,-6.0,129
114/07/30,100,"12,823",132.5,132.5,126.5,126.5,-6.0,129
114/07/29,41,"5,415",134.0,136.0,132.5,132.5,-1.0,154
114/07/29,41,"5,415",134.0,136.0,132.5,132.5,-1.0,154
114/07/28,40,"5,376",136.0,136.0,132.5,133.5,-2.5,37
114/07/28,40,"5,376",136.0,136.0,132.5,133.5,-2.5,37
114/07/25,11,"1,567",138.0,138.0,135.0,136.0,-1.0,24
114/07/25,11,"1,567",138.0,138.0,135.0,136.0,-1.0,24
114/07/24,16,"2,164",135.0,137.0,135.0,137.0,2.5,30
114/07/24,16,"2,164",135.0,137.0,135.0,137.0,2.5,30
114/07/23,19,"2,559",135.0,137.5,134.5,134.5,-1.0,32
114/07/23,19,"2,559",135.0,137.5,134.5,134.5,-1.0,32
114/07/22,27,"3,742",138.5,138.5,135.5,135.5,-3.0,46
114/07/22,27,"3,742",138.5,138.5,135.5,135.5,-3.0,46
114/07/21,5,714,138.0,138.5,138.0,138.5,0.0,34
114/07/21,5,714,138.0,138.5,138.0,138.5,0.0,34
114/07/18,21,"2,902",136.5,139.0,136.5,138.5,1.5,23
114/07/18,21,"2,902",136.5,139.0,136.5,138.5,1.5,23
114/07/17,12,"1,662",137.0,137.0,136.5,137.0,0.0,16
114/07/17,12,"1,662",137.0,137.0,136.5,137.0,0.0,16
114/07/16,5,735,136.5,137.0,136.5,137.0,1.5,12
114/07/16,5,735,136.5,137.0,136.5,137.0,1.5,12
114/07/15,13,"1,760",134.0,136.0,134.0,135.5,-1.0,28
114/07/15,13,"1,760",134.0,136.0,134.0,135.5,-1.0,28
114/07/14,17,"2,345",140.0,140.0,136.0,136.5,-1.0,17
114/07/14,17,"2,345",140.0,140.0,136.0,136.5,-1.0,17
114/07/11,78,"10,750",135.0,140.5,135.0,137.5,2.0,119
114/07/11,78,"10,750",135.0,140.5,135.0,137.5,2.0,119
114/07/10,57,"7,699",136.0,137.0,134.0,135.5,-0.5,65
114/07/10,57,"7,699",136.0,137.0,134.0,135.5,-0.5,65
114/07/09,165,"22,144",139.0,139.0,132.5,136.0,-4.0,196
114/07/09,165,"22,144",139.0,139.0,132.5,136.0,-4.0,196
114/07/08,59,"8,317",142.0,143.5,139.0,140.0,-5.0,70
114/07/08,59,"8,317",142.0,143.5,139.0,140.0,-5.0,70
114/07/07,50,"7,320",146.5,146.5,145.0,145.0,-4.5,42
114/07/07,50,"7,320",146.5,146.5,145.0,145.0,-4.5,42
114/07/04,21,"3,138",153.0,153.5,149.0,149.5,-3.5,28
114/07/04,21,"3,138",153.0,153.5,149.0,149.5,-3.5,28
114/07/03,46,"6,954",148.0,153.0,148.0,153.0,5.0,47
114/07/03,46,"6,954",148.0,153.0,148.0,153.0,5.0,47
114/07/02,10,"1,527",148.0,149.0,147.5,148.0,0.0,20
114/07/02,10,"1,527",148.0,149.0,147.5,148.0,0.0,20
114/07/01,39,"5,863",147.5,150.5,147.5,148.0,0.0,46
114/07/01,39,"5,863",147.5,150.5,147.5,148.0,0.0,46
114/06/30,77,"11,461",153.5,153.5,147.0,148.0,-5.5,80
114/06/30,77,"11,461",153.5,153.5,147.0,148.0,-5.5,80
114/06/27,96,"14,766",156.0,156.5,152.0,153.5,-4.0,191
114/06/27,96,"14,766",156.0,156.5,152.0,153.5,-4.0,191
114/06/26,35,"5,589",159.0,161.0,157.5,157.5,-2.0,63
114/06/26,35,"5,589",159.0,161.0,157.5,157.5,-2.0,63
114/06/25,37,"5,974",164.0,164.0,159.5,159.5,-1.5,45
114/06/25,37,"5,974",164.0,164.0,159.5,159.5,-1.5,45
114/06/24,38,"6,155",160.0,162.0,159.0,161.0,3.0,41
114/06/24,38,"6,155",160.0,162.0,159.0,161.0,3.0,41
114/06/23,45,"7,094",157.0,161.5,157.0,158.0,-1.5,105
114/06/23,45,"7,094",157.0,161.5,157.0,158.0,-1.5,105
114/06/20,74,"11,711",157.0,161.0,155.0,159.5,2.5,81
114/06/20,74,"11,711",157.0,161.0,155.0,159.5,2.5,81
114/06/19,25,"3,946",157.0,157.0,154.5,157.0,1.0,34
114/06/19,25,"3,946",157.0,157.0,154.5,157.0,1.0,34
114/06/18,27,"4,279",156.5,156.5,154.5,156.0,0.0,31
114/06/18,27,"4,279",156.5,156.5,154.5,156.0,0.0,31
114/06/17,42,"6,607",158.0,160.0,156.0,156.0,-2.0,137
114/06/17,42,"6,607",158.0,160.0,156.0,156.0,-2.0,137
114/06/16,48,"7,628",165.0,165.0,158.0,158.0,-7.0,183
114/06/16,48,"7,628",165.0,165.0,158.0,158.0,-7.0,183
114/06/13,69,"11,488",168.0,169.5,164.5,165.0,-3.0,66
114/06/13,69,"11,488",168.0,169.5,164.5,165.0,-3.0,66
114/06/12,115,"19,437",171.5,173.5,167.0,168.0,-1.0,397
114/06/12,115,"19,437",171.5,173.5,167.0,168.0,-1.0,397
114/06/11,342,"57,934",160.5,174.0,158.5,169.0,10.5,394
114/06/11,342,"57,934",160.5,174.0,158.5,169.0,10.5,394
114/06/10,60,"9,558",159.0,162.0,157.0,158.5,-0.5,88
114/06/10,60,"9,558",159.0,162.0,157.0,158.5,-0.5,88
114/06/09,75,"11,768",158.0,159.0,154.0,159.0,-0.5,70
114/06/09,75,"11,768",158.0,159.0,154.0,159.0,-0.5,70
114/06/06,92,"14,643",154.0,162.0,154.0,159.5,6.0,113
114/06/06,92,"14,643",154.0,162.0,154.0,159.5,6.0,113
114/06/05,62,"9,596",151.5,155.5,150.5,153.5,2.5,67
114/06/05,62,"9,596",151.5,155.5,150.5,153.5,2.5,67
114/06/04,28,"4,169",152.0,152.5,151.0,151.0,-1.0,42
114/06/04,28,"4,169",152.0,152.5,151.0,151.0,-1.0,42
114/06/03,4,540,152.0,152.0,152.0,152.0,0.0,17
114/06/03,4,540,152.0,152.0,152.0,152.0,0.0,17
114/06/02,27,"4,163",156.0,156.0,150.5,152.0,-5.0,41
114/06/02,27,"4,163",156.0,156.0,150.5,152.0,-5.0,41
114/05/29,45,"7,121",157.0,163.5,154.0,157.0,0.0,50
114/05/29,45,"7,121",157.0,163.5,154.0,157.0,0.0,50
114/05/28,48,"7,557",160.5,160.5,156.0,157.0,-0.5,66
