日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/08,330,"39,771",122.5,122.5,119.5,120.0,-2.5,432
114/08/07,487,"59,843",121.5,126.0,118.5,122.5,1.5,620
114/08/06,308,"37,464",123.0,123.0,121.0,121.0,-1.5,350
114/08/05,291,"35,767",123.0,124.5,122.0,122.5,0.5,422
114/08/04,279,"34,090",124.5,124.5,121.0,122.0,-2.5,432
114/08/01,405,"49,890",123.0,126.0,119.0,124.5,-1.5,501
114/08/01,405,"49,890",123.0,126.0,119.0,124.5,-1.5,501
114/07/31,680,"86,630",131.5,131.5,125.0,126.0,-5.5,"1,285"
114/07/31,680,"86,630",131.5,131.5,125.0,126.0,-5.5,"1,285"
114/07/30,"1,689","220,597",135.5,135.5,127.0,131.5,-9.5,"1,847"
114/07/30,"1,689","220,597",135.5,135.5,127.0,131.5,-9.5,"1,847"
114/07/29,258,"36,680",145.5,145.5,141.0,141.0,-3.0,559
114/07/29,258,"36,680",145.5,145.5,141.0,141.0,-3.0,559
114/07/28,294,"42,280",145.5,145.5,141.0,144.0,-0.5,300
114/07/28,294,"42,280",145.5,145.5,141.0,144.0,-0.5,300
114/07/25,341,"49,718",144.0,147.5,144.0,144.5,0.0,366
114/07/25,341,"49,718",144.0,147.5,144.0,144.5,0.0,366
114/07/24,152,"22,081",145.5,146.0,142.5,144.5,1.0,203
114/07/24,152,"22,081",145.5,146.0,142.5,144.5,1.0,203
114/07/23,246,"35,425",143.5,146.0,142.5,143.5,1.5,325
114/07/23,246,"35,425",143.5,146.0,142.5,143.5,1.5,325
114/07/22,811,"119,368",148.0,151.5,142.0,142.0,-5.0,821
114/07/22,811,"119,368",148.0,151.5,142.0,142.0,-5.0,821
114/07/21,579,"86,206",150.0,151.5,147.0,147.0,-1.0,595
114/07/21,579,"86,206",150.0,151.5,147.0,147.0,-1.0,595
114/07/18,676,"103,320",154.0,155.5,150.5,153.0,1.0,639
114/07/18,676,"103,320",154.0,155.5,150.5,153.0,1.0,639
114/07/17,682,"103,496",145.5,154.5,145.5,152.0,6.5,757
114/07/17,682,"103,496",145.5,154.5,145.5,152.0,6.5,757
114/07/16,302,"43,946",143.5,148.0,143.0,145.5,4.0,325
114/07/16,302,"43,946",143.5,148.0,143.0,145.5,4.0,325
114/07/15,135,"19,194",142.0,144.5,141.0,141.5,2.5,172
114/07/15,135,"19,194",142.0,144.5,141.0,141.5,2.5,172
114/07/14,171,"23,907",142.0,142.0,139.0,139.0,-4.0,220
114/07/14,171,"23,907",142.0,142.0,139.0,139.0,-4.0,220
114/07/11,161,"22,945",139.0,144.0,139.0,143.0,4.0,205
114/07/11,161,"22,945",139.0,144.0,139.0,143.0,4.0,205
114/07/10,92,"12,855",138.0,141.5,138.0,139.0,0.0,113
114/07/10,92,"12,855",138.0,141.5,138.0,139.0,0.0,113
114/07/09,197,"27,312",138.0,139.5,136.5,139.0,1.0,214
114/07/09,197,"27,312",138.0,139.5,136.5,139.0,1.0,214
