日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數,日期
114/08/22,"1,496","58,694",40.1,41.0,37.7,37.95,-2.55,"1,222",2025-08-22
114/08/21,"2,004","79,442",38.55,41.0,38.1,40.5,1.95,"1,593",2025-08-21
114/08/20,"5,683","225,590",38.0,41.6,37.5,38.55,0.7,"5,408",2025-08-20
114/08/19,"1,482","54,722",35.35,37.85,35.25,37.85,3.4,"1,364",2025-08-19
114/08/18,281,"9,795",34.35,35.75,33.85,34.45,0.45,226,2025-08-18
114/08/15,98,"3,354",34.9,35.0,34.0,34.0,-0.65,113,2025-08-15
114/08/14,127,"4,369",33.9,34.95,33.85,34.65,0.75,109,2025-08-14
114/08/13,136,"4,670",35.0,35.45,33.8,33.9,-0.45,170,2025-08-13
114/08/12,161,"5,492",33.6,34.6,33.3,34.35,0.75,133,2025-08-12
114/08/11,116,"3,881",33.9,33.9,33.25,33.6,-0.4,116,2025-08-11
114/08/08,170,"5,865",34.65,35.2,34.0,34.0,-0.65,196,2025-08-08
114/08/07,190,"6,604",35.75,35.75,34.45,34.65,-0.6,272,2025-08-07
114/08/06,509,"17,899",33.2,35.9,32.95,35.25,1.85,644,2025-08-06
114/08/05,121,"4,046",33.85,34.0,33.4,33.4,0.2,83,2025-08-05
114/08/04,66,"2,195",33.1,33.4,32.85,33.2,0.05,63,2025-08-04
114/08/01,102,"3,363",32.25,33.5,32.25,33.15,0.05,86,2025-08-01
114/07/31,256,"8,580",34.5,34.5,33.0,33.1,-1.5,263,2025-07-31
114/07/30,252,"8,794",34.05,35.95,34.0,34.6,0.65,193,2025-07-30
114/07/29,95,"3,242",34.2,34.75,33.95,33.95,-0.3,93,2025-07-29
114/07/28,106,"3,587",33.8,34.3,33.0,34.25,0.55,107,2025-07-28
114/07/25,144,"4,905",34.4,34.4,33.7,33.7,-0.35,135,2025-07-25
114/07/24,112,"3,793",34.15,34.4,33.6,34.05,-0.05,118,2025-07-24
114/07/23,139,"4,724",34.1,34.7,33.9,34.1,0.0,142,2025-07-23
114/07/22,312,"10,737",35.3,35.6,33.5,34.1,-1.1,282,2025-07-22
114/07/21,160,"5,629",35.6,35.6,35.1,35.2,-0.2,153,2025-07-21
114/07/18,334,"11,944",35.85,36.45,35.3,35.4,-0.55,282,2025-07-18
114/07/17,516,"18,424",35.85,36.55,35.0,35.95,0.6,418,2025-07-17
114/07/16,"1,187","44,232",37.5,38.9,35.35,35.35,-2.05,"1,058",2025-07-16
114/07/15,"2,509","97,823",38.6,41.05,37.25,37.4,-1.2,"2,280",2025-07-15
114/07/14,"1,684","64,508",37.1,38.95,36.4,38.6,1.7,"1,106",2025-07-14
114/07/11,"1,453","53,269",35.5,37.8,34.5,36.9,1.05,"1,024",2025-07-11
114/07/10,"2,763","103,525",37.65,38.15,36.35,36.35,1.4,"2,427",2025-07-10
114/07/09,695,"23,994",31.7,34.95,31.7,34.95,3.15,426,2025-07-09
114/07/08,87,"2,763",32.0,32.5,31.4,31.8,-0.2,74,2025-07-08
114/07/07,171,"5,440",32.7,32.7,31.5,32.0,-0.4,144,2025-07-07
114/07/04,"1,277","44,377",37.0,37.9,32.4,32.4,-3.05,971,2025-07-04
114/07/03,534,"18,260",32.0,35.45,31.75,35.45,3.2,310,2025-07-03
114/07/02,44,"1,409",32.1,32.45,32.1,32.25,-0.35,61,2025-07-02
114/07/01,44,"1,463",34.0,34.0,32.6,32.6,-0.4,88,2025-07-01
114/06/30,75,"2,474",33.7,33.7,32.55,33.0,-1.05,95,2025-06-30
114/06/27,147,"4,947",34.1,34.1,33.35,34.05,0.8,153,2025-06-27
114/06/26,185,"6,217",32.75,34.35,32.65,33.25,0.65,161,2025-06-26
114/06/25,257,"8,484",32.15,33.85,31.85,32.6,0.85,208,2025-06-25
114/06/24,91,"2,915",31.1,32.2,31.1,31.75,0.9,90,2025-06-24
114/06/23,107,"3,294",30.05,31.3,30.05,30.85,-0.3,70,2025-06-23
114/06/20,58,"1,817",31.6,31.6,30.65,31.15,-0.35,61,2025-06-20
114/06/19,65,"2,064",32.8,32.8,31.5,31.5,-1.25,92,2025-06-19
114/06/18,69,"2,256",32.8,33.3,32.55,32.75,-0.15,68,2025-06-18
114/06/17,120,"4,035",33.25,34.15,32.9,32.9,-0.45,112,2025-06-17
114/06/16,156,"5,171",33.25,33.4,32.9,33.35,-0.4,146,2025-06-16
114/06/13,419,"14,423",35.3,36.0,33.75,33.75,-0.9,438,2025-06-13
114/06/12,583,"20,198",33.55,35.35,33.15,34.65,1.1,465,2025-06-12
114/06/11,"1,207","41,343",33.45,36.0,33.45,33.55,0.1,"1,037",2025-06-11
114/06/10,600,"19,699",30.95,33.45,30.95,33.45,3.0,637,2025-06-10
114/06/09,165,"5,006",30.55,30.95,29.8,30.45,0.05,104,2025-06-09
114/06/06,64,"1,943",31.1,31.1,30.35,30.4,-0.35,59,2025-06-06
114/06/05,257,"8,012",30.75,31.95,30.6,30.75,0.0,261,2025-06-05
114/06/04,"1,187","37,626",30.7,32.65,30.55,30.75,1.05,904,2025-06-04
114/06/03,99,"2,946",29.85,30.6,29.5,29.7,-0.3,82,2025-06-03
114/06/02,85,"2,555",30.55,30.55,29.7,30.0,-1.2,81,2025-06-02
114/05/29,143,"4,383",30.8,31.5,30.05,31.2,0.1,118,2025-05-29
114/05/28,92,"2,907",32.1,33.1,31.0,31.1,-0.9,122,2025-05-28
114/05/27,72,"2,341",32.6,33.0,32.0,32.0,-0.6,77,2025-05-27
114/05/26,161,"5,342",33.65,33.75,32.6,32.6,-1.3,159,2025-05-26
114/05/23,71,"2,422",34.15,34.8,33.9,33.9,-0.4,80,2025-05-23
114/05/22,114,"3,924",34.85,34.85,33.9,34.3,-0.7,89,2025-05-22
114/05/21,78,"2,745",34.9,35.45,34.85,35.0,0.15,62,2025-05-21
114/05/20,119,"4,186",35.3,36.25,34.8,34.85,-0.35,170,2025-05-20
114/05/19,125,"4,411",35.4,36.0,34.8,35.2,-0.2,97,2025-05-19
114/05/16,96,"3,405",35.9,36.4,35.3,35.4,-0.7,87,2025-05-16
114/05/15,130,"4,737",37.1,37.15,36.0,36.1,-0.9,122,2025-05-15
114/05/14,196,"7,237",36.1,37.7,36.0,37.0,1.65,162,2025-05-14
114/05/13,153,"5,495",36.65,36.7,35.25,35.35,-0.55,155,2025-05-13
114/05/12,113,"4,047",35.0,36.5,34.7,35.9,0.6,111,2025-05-12
114/05/09,109,"3,835",36.5,36.75,35.0,35.3,-0.65,145,2025-05-09
114/05/08,218,"7,772",35.25,36.25,34.8,35.95,1.5,207,2025-05-08
114/05/07,177,"6,195",36.15,36.15,34.35,34.45,-1.1,170,2025-05-07
114/05/06,70,"2,497",35.6,35.85,35.35,35.55,0.3,68,2025-05-06
114/05/05,229,"8,070",37.1,37.1,34.1,35.25,-1.65,198,2025-05-05
114/05/02,166,"6,115",37.35,37.4,36.3,36.9,0.25,192,2025-05-02
114/04/30,442,"16,587",38.15,38.65,36.3,36.65,-1.5,397,2025-04-30
114/04/29,520,"19,912",37.8,39.3,37.8,38.15,0.6,445,2025-04-29
114/04/28,"1,635","62,363",39.0,40.7,36.2,37.55,-0.55,"1,326",2025-04-28
114/04/25,162,"6,185",38.1,38.1,38.1,38.1,3.45,103,2025-04-25
114/04/24,328,"11,226",32.65,34.65,32.1,34.65,3.15,242,2025-04-24
114/04/23,205,"6,548",31.95,32.35,30.7,31.5,0.85,178,2025-04-23
114/04/22,129,"4,028",30.35,31.85,30.35,30.65,0.35,136,2025-04-22
114/04/21,130,"4,018",31.05,31.85,30.25,30.3,-1.5,135,2025-04-21
114/04/18,223,"7,233",32.1,33.5,31.6,31.8,-0.25,203,2025-04-18
114/04/17,218,"6,806",31.7,32.05,30.5,32.05,0.05,228,2025-04-17
114/04/16,347,"11,137",31.8,32.55,31.0,32.0,0.45,286,2025-04-16
114/04/15,862,"27,497",32.75,33.25,30.6,31.55,0.5,835,2025-04-15
114/04/14,638,"19,678",30.75,31.05,29.8,31.05,2.8,495,2025-04-14
114/04/11,"1,013","26,589",25.0,28.65,24.9,28.25,0.6,696,2025-04-11
114/04/10,"1,281","38,726",29.6,31.4,27.65,27.65,-1.15,874,2025-04-10
114/04/09,107,"3,087",28.8,28.8,28.8,28.8,-3.2,97,2025-04-09
114/04/08,72,"2,299",32.0,32.0,32.0,32.0,-3.55,61,2025-04-08
114/04/07,12,430,35.55,35.55,35.55,35.55,-3.9,25,2025-04-07
114/04/02,56,"2,232",40.45,40.45,39.2,39.45,-0.9,73,2025-04-02
114/04/01,157,"6,110",37.6,40.35,37.6,40.35,2.95,133,2025-04-01
114/03/31,344,"13,001",37.25,38.8,37.0,37.4,-3.0,281,2025-03-31
114/03/28,157,"6,306",41.0,42.05,38.85,40.4,-1.45,167,2025-03-28
114/03/27,93,"3,911",42.3,42.75,41.75,41.85,-1.4,103,2025-03-27
114/03/26,118,"5,150",43.3,44.2,43.25,43.25,-0.1,87,2025-03-26
114/03/25,98,"4,270",44.5,44.5,43.1,43.35,-0.75,93,2025-03-25
114/03/24,108,"4,827",45.2,45.3,44.0,44.1,-1.1,100,2025-03-24
114/03/21,67,"3,048",45.9,45.9,45.2,45.2,-0.8,63,2025-03-21
114/03/20,74,"3,421",45.8,46.5,45.8,46.0,0.45,68,2025-03-20
114/03/19,332,"15,571",47.45,48.0,45.5,45.55,-1.55,296,2025-03-19
114/03/18,86,"4,030",47.5,47.5,46.65,47.1,0.4,114,2025-03-18
114/03/17,95,"4,471",46.7,47.2,46.45,46.7,0.9,98,2025-03-17
114/03/14,123,"5,578",45.5,45.85,44.85,45.8,0.4,107,2025-03-14
