日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/06/04,189,"6,455",34.2,34.3,34.0,34.2,0.05,226
114/06/04,189,"6,455",34.2,34.3,34.0,34.2,0.05,226
114/06/03,111,"3,817",34.55,34.55,34.15,34.15,-0.2,152
114/06/03,111,"3,817",34.55,34.55,34.15,34.15,-0.2,152
114/06/02,217,"7,440",34.65,34.65,33.9,34.35,-0.2,267
114/06/02,217,"7,440",34.65,34.65,33.9,34.35,-0.2,267
114/05/29,228,"7,877",34.35,34.6,34.3,34.55,0.15,203
114/05/29,228,"7,877",34.35,34.6,34.3,34.55,0.15,203
114/05/28,159,"5,470",34.6,34.6,34.1,34.4,0.0,189
114/05/28,159,"5,470",34.6,34.6,34.1,34.4,0.0,189
114/05/27,311,"10,673",34.6,34.65,33.9,34.4,0.05,211
114/05/27,311,"10,673",34.6,34.65,33.9,34.4,0.05,211
114/05/26,572,"19,689",33.95,34.65,33.9,34.35,0.6,471
114/05/26,572,"19,689",33.95,34.65,33.9,34.35,0.6,471
114/05/23,194,"6,578",33.8,34.0,33.65,33.75,-0.05,204
114/05/23,194,"6,578",33.8,34.0,33.65,33.75,-0.05,204
114/05/22,148,"4,967",33.35,33.8,33.35,33.8,0.15,145
114/05/22,148,"4,967",33.35,33.8,33.35,33.8,0.15,145
114/05/21,163,"5,462",33.55,33.7,33.4,33.65,0.2,176
114/05/21,163,"5,462",33.55,33.7,33.4,33.65,0.2,176
114/05/20,128,"4,284",33.55,33.55,33.25,33.45,0.1,168
114/05/20,128,"4,284",33.55,33.55,33.25,33.45,0.1,168
114/05/19,161,"5,363",33.3,33.45,33.25,33.35,0.05,173
114/05/19,161,"5,363",33.3,33.45,33.25,33.35,0.05,173
114/05/16,250,"8,317",33.2,33.35,33.15,33.3,0.0,254
114/05/16,250,"8,317",33.2,33.35,33.15,33.3,0.0,254
114/05/15,461,"15,299",33.35,33.6,33.0,33.3,0.0,289
114/05/15,461,"15,299",33.35,33.6,33.0,33.3,0.0,289
114/05/14,210,"6,981",33.5,33.5,33.25,33.3,0.1,211
114/05/14,210,"6,981",33.5,33.5,33.25,33.3,0.1,211
114/05/13,184,"6,153",33.75,33.75,33.15,33.2,0.0,226
114/05/13,184,"6,153",33.75,33.75,33.15,33.2,0.0,226
114/05/12,109,"3,615",33.1,33.25,33.1,33.2,0.2,123
114/05/12,109,"3,615",33.1,33.25,33.1,33.2,0.2,123
114/05/09,250,"8,249",32.7,33.15,32.7,33.0,0.35,247
114/05/09,250,"8,249",32.7,33.15,32.7,33.0,0.35,247
114/05/08,127,"4,130",32.3,32.75,32.3,32.65,0.4,136
114/05/08,127,"4,130",32.3,32.75,32.3,32.65,0.4,136
114/05/07,102,"3,310",32.35,32.4,32.2,32.25,-0.1,115
114/05/07,102,"3,310",32.35,32.4,32.2,32.25,-0.1,115
114/05/06,85,"2,749",32.15,32.5,32.15,32.35,0.15,115
114/05/06,85,"2,749",32.15,32.5,32.15,32.35,0.15,115
114/05/05,185,"5,941",32.8,32.8,31.9,32.2,-0.6,327
114/05/05,185,"5,941",32.8,32.8,31.9,32.2,-0.6,327
114/05/02,170,"5,579",32.7,32.95,32.7,32.8,0.2,238
114/05/02,170,"5,579",32.7,32.95,32.7,32.8,0.2,238
114/04/30,154,"5,049",32.85,33.0,32.6,32.6,-0.35,337
114/04/30,154,"5,049",32.85,33.0,32.6,32.6,-0.35,337
114/04/29,177,"5,820",32.85,33.05,32.85,32.95,0.1,214
114/04/29,177,"5,820",32.85,33.05,32.85,32.95,0.1,214
114/04/28,219,"7,182",33.0,33.0,32.65,32.85,0.35,242
