日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數,日期
114/08/22,812,"58,345",71.2,73.4,70.3,70.3,-0.7,"1,187",2025-08-22
114/08/21,297,"21,084",70.2,71.5,70.2,71.0,1.2,301,2025-08-21
114/08/20,543,"38,079",71.2,71.8,69.3,69.8,-1.7,564,2025-08-20
114/08/19,820,"59,090",74.5,74.5,71.3,71.5,-2.1,821,2025-08-19
114/08/18,595,"44,148",74.3,75.2,73.6,73.6,0.2,717,2025-08-18
114/08/15,685,"50,419",74.9,74.9,73.0,73.4,-0.3,"1,316",2025-08-15
114/08/14,909,"67,656",75.0,75.6,73.4,73.7,-0.8,996,2025-08-14
114/08/13,"1,582","119,354",74.7,77.2,74.4,74.5,-0.4,"1,509",2025-08-13
114/08/12,"1,415","105,126",75.4,75.9,73.2,74.9,-0.1,"3,215",2025-08-12
114/08/11,"1,534","115,650",75.5,76.5,73.9,75.0,-3.3,"2,857",2025-08-11
114/08/08,"1,604","126,412",78.2,79.9,77.8,78.3,0.6,"3,224",2025-08-08
114/08/07,"1,410","109,752",78.5,79.4,77.0,77.7,-0.5,"2,313",2025-08-07
114/08/06,"3,077","244,307",79.4,81.8,78.0,78.2,-1.2,"2,922",2025-08-06
114/08/05,"13,199","1,085,973",81.9,85.5,79.1,79.4,1.2,"11,427",2025-08-05
114/08/04,"3,743","285,131",71.0,78.2,70.6,78.2,7.1,"3,423",2025-08-04
114/08/01,686,"48,413",69.6,71.8,68.6,71.1,0.5,990,2025-08-01
114/07/31,"1,022","72,578",72.3,72.3,70.6,70.6,-1.7,"1,567",2025-07-31
114/07/30,"4,331","321,315",74.2,75.8,72.2,72.3,-0.8,"4,217",2025-07-30
114/07/29,"3,616","265,880",69.7,75.4,69.0,73.1,4.1,"4,382",2025-07-29
114/07/28,722,"50,254",70.2,70.9,68.8,69.0,-0.8,"1,067",2025-07-28
114/07/25,"1,872","133,083",68.5,72.9,68.5,69.8,0.6,"1,574",2025-07-25
114/07/24,"1,790","126,859",70.2,72.3,69.7,70.7,2.0,"1,661",2025-07-24
114/07/23,410,"28,050",67.6,68.8,67.6,68.7,1.5,314,2025-07-23
114/07/22,714,"48,762",70.1,70.3,67.2,67.2,-2.8,687,2025-07-22
114/07/21,271,"18,955",70.2,70.4,69.2,70.0,0.2,291,2025-07-21
114/07/18,404,"28,231",70.5,70.5,69.2,69.8,0.2,375,2025-07-18
114/07/17,572,"39,844",69.6,70.4,68.7,69.6,0.5,557,2025-07-17
114/07/16,"1,281","89,682",68.2,71.2,68.2,69.1,1.4,"1,149",2025-07-16
114/07/15,261,"17,658",67.8,68.0,67.5,67.7,0.3,236,2025-07-15
114/07/14,274,"18,554",68.3,68.5,67.3,67.4,-0.8,289,2025-07-14
114/07/11,416,"28,274",67.5,68.5,67.2,68.2,0.8,405,2025-07-11
114/07/10,635,"43,263",67.6,69.2,67.4,67.4,-0.6,554,2025-07-10
114/07/09,352,"23,967",68.5,68.6,67.7,68.0,-0.1,409,2025-07-09
114/07/08,592,"40,210",67.3,68.8,67.2,68.1,0.6,534,2025-07-08
114/07/07,"1,299","88,938",71.0,71.3,67.2,67.5,-4.1,"1,380",2025-07-07
114/07/04,"1,101","79,767",74.5,74.8,71.3,71.6,-2.9,"1,123",2025-07-04
114/07/03,"1,973","148,018",73.6,76.5,73.5,74.5,1.4,"1,677",2025-07-03
114/07/02,907,"66,048",72.3,74.1,71.2,73.1,1.0,872,2025-07-02
114/07/01,487,"35,406",72.4,73.6,72.0,72.1,-0.2,433,2025-07-01
114/06/30,941,"68,428",73.8,74.3,71.8,72.3,-1.5,849,2025-06-30
114/06/27,821,"60,975",74.6,75.2,73.8,73.8,-0.3,710,2025-06-27
114/06/26,898,"66,796",74.9,75.6,73.9,74.1,-0.7,784,2025-06-26
114/06/25,"1,799","136,171",75.0,77.0,74.8,74.8,0.6,"1,471",2025-06-25
114/06/24,"1,045","77,698",74.8,75.2,73.5,74.2,1.1,969,2025-06-24
114/06/23,"1,175","86,238",74.9,74.9,72.4,73.1,-2.5,"1,120",2025-06-23
114/06/20,"2,133","163,379",78.7,79.8,75.1,75.6,-3.1,"2,281",2025-06-20
114/06/19,"2,329","184,296",80.6,80.6,78.5,78.7,-1.9,"1,892",2025-06-19
114/06/18,"6,987","565,864",77.9,82.0,77.9,80.6,2.6,"5,530",2025-06-18
114/06/17,"1,851","143,679",78.5,79.0,76.6,78.0,0.1,"1,502",2025-06-17
114/06/16,"1,693","130,929",77.4,78.5,76.0,77.9,-0.2,"1,453",2025-06-16
114/06/13,"4,462","351,019",80.6,81.6,77.0,78.1,-2.7,"4,008",2025-06-13
114/06/12,"7,947","650,421",80.5,84.3,79.5,80.8,-0.1,"5,899",2025-06-12
114/06/11,"6,297","503,278",81.0,81.8,78.2,80.9,1.6,"5,241",2025-06-11
114/06/10,"18,034","1,474,147",82.1,84.1,79.1,79.3,-2.3,"12,558",2025-06-10
114/06/09,"11,672","922,095",75.0,82.1,73.8,81.6,6.9,"9,534",2025-06-09
114/06/06,"7,979","597,969",72.4,76.6,71.5,74.7,2.0,"5,695",2025-06-06
114/06/05,"4,275","315,378",76.2,76.2,72.1,72.7,-3.0,"3,280",2025-06-05
114/06/04,"6,965","530,836",77.0,77.3,74.8,75.7,-0.6,"5,653",2025-06-04
114/06/03,"22,175","1,829,965",81.0,85.9,76.3,76.3,-4.3,"16,022",2025-06-03
114/06/02,"10,969","903,574",84.0,84.6,80.6,80.6,-4.9,"8,430",2025-06-02
114/05/29,"25,083","2,071,756",81.2,86.4,80.2,85.5,6.5,"18,826",2025-05-29
114/05/28,"25,563","2,043,815",78.5,82.8,76.7,79.0,2.5,"18,204",2025-05-28
114/05/27,"9,346","714,111",78.5,78.9,73.2,76.5,-3.1,"6,521",2025-05-27
114/05/26,"28,122","2,178,366",74.1,80.5,74.1,79.6,6.2,"20,458",2025-05-26
114/05/23,"5,345","386,160",66.3,73.4,66.0,73.4,6.6,"2,838",2025-05-23
114/05/22,"1,259","82,404",64.9,66.9,63.6,66.8,1.5,945,2025-05-22
114/05/21,930,"60,577",63.2,66.4,63.2,65.3,2.5,784,2025-05-21
114/05/20,448,"28,459",64.8,64.8,62.7,62.8,-1.0,483,2025-05-20
114/05/19,866,"55,716",65.2,65.3,63.6,63.8,-1.9,706,2025-05-19
114/05/16,893,"59,190",66.6,67.2,65.6,65.7,-1.2,980,2025-05-16
114/05/15,"2,355","160,726",66.8,69.9,66.7,66.9,0.2,"1,900",2025-05-15
114/05/14,839,"55,884",66.5,67.6,65.8,66.7,1.1,703,2025-05-14
114/05/13,892,"59,229",68.0,68.0,65.3,65.6,-1.0,973,2025-05-13
114/05/12,883,"58,820",65.9,67.5,65.8,66.6,1.5,777,2025-05-12
114/05/09,741,"47,885",64.7,66.0,63.5,65.1,0.9,688,2025-05-09
114/05/08,470,"30,170",63.5,64.6,63.5,64.2,1.2,450,2025-05-08
114/05/07,727,"46,138",64.3,65.3,62.4,63.0,-0.7,743,2025-05-07
114/05/06,936,"60,171",62.4,65.5,62.3,63.7,1.4,864,2025-05-06
114/05/05,"1,893","120,004",67.8,68.0,61.0,62.3,-4.2,"1,916",2025-05-05
114/05/02,"1,074","72,232",66.4,68.2,66.0,66.5,1.3,962,2025-05-02
114/04/30,"2,469","164,773",68.7,70.0,64.0,65.2,-3.0,"2,425",2025-04-30
114/04/29,"2,627","178,473",68.4,69.0,66.9,68.2,-1.2,"2,859",2025-04-29
114/04/28,"1,213","81,852",63.3,69.4,63.3,69.4,6.2,"1,204",2025-04-28
114/04/25,738,"46,328",62.5,63.5,62.0,63.2,2.0,672,2025-04-25
114/04/24,401,"24,359",61.5,61.5,60.1,61.2,-0.2,379,2025-04-24
114/04/23,508,"31,059",61.6,62.0,60.2,61.4,2.4,489,2025-04-23
114/04/22,668,"38,930",57.7,59.7,57.2,59.0,0.3,567,2025-04-22
114/04/21,"1,428","86,603",65.2,65.2,58.5,58.7,-6.3,"1,249",2025-04-21
114/04/18,612,"40,270",66.5,67.4,64.3,65.0,-0.7,620,2025-04-18
114/04/17,"1,053","70,452",69.0,69.8,64.9,65.7,-2.3,"1,048",2025-04-17
114/04/16,"2,072","146,135",68.5,73.0,68.0,68.0,0.1,"1,889",2025-04-16
114/04/15,"1,760","118,347",65.5,69.0,64.5,67.9,4.0,"1,635",2025-04-15
114/04/14,"10,837","696,980",64.7,67.8,60.8,63.9,-0.8,"7,783",2025-04-14
114/04/11,"3,174","192,655",58.9,67.0,58.9,64.7,-0.7,"2,336",2025-04-11
114/04/10,"13,342","1,005,303",75.5,79.6,65.4,65.4,-7.2,"9,128",2025-04-10
114/04/09,151,"10,974",72.6,72.6,72.6,72.6,-8.0,"1,194",2025-04-09
114/04/08,704,"56,760",80.6,80.6,80.6,80.6,-8.9,631,2025-04-08
114/04/07,206,"18,456",89.5,89.5,89.5,89.5,-9.9,415,2025-04-07
114/04/02,"13,343","1,336,422",102.5,104.5,97.3,99.4,-2.6,"10,154",2025-04-02
114/04/01,"20,762","2,092,138",96.2,103.5,96.1,102.0,7.6,"12,775",2025-04-01
114/03/31,"9,981","970,267",97.9,101.0,93.0,94.4,-5.6,"7,541",2025-03-31
114/03/28,"22,105","2,220,666",105.0,106.5,94.1,100.0,-2.5,"14,137",2025-03-28
114/03/27,"20,902","2,099,686",97.6,103.0,97.6,102.5,5.8,"16,312",2025-03-27
114/03/26,"33,440","3,491,675",104.0,112.5,96.0,96.7,-5.8,"27,111",2025-03-26
114/03/25,"6,864","675,991",93.8,102.5,92.1,102.5,8.9,"5,675",2025-03-25
114/03/24,"3,336","313,947",94.0,95.5,92.0,93.6,1.1,"2,748",2025-03-24
114/03/21,"6,201","577,176",90.1,95.8,89.7,92.5,3.7,"7,273",2025-03-21
114/03/20,"2,479","220,032",89.6,90.2,86.7,88.8,0.2,"2,042",2025-03-20
114/03/19,"3,800","336,583",88.0,90.8,86.8,88.6,1.4,"3,449",2025-03-19
114/03/18,"5,377","460,517",84.0,88.7,83.5,87.2,3.5,"4,258",2025-03-18
114/03/17,"7,718","641,679",81.4,85.2,81.0,83.7,6.1,"6,502",2025-03-17
114/03/14,"4,717","360,929",72.7,77.6,72.0,77.6,7.0,"5,382",2025-03-14
114/03/13,"1,607","113,550",70.5,72.3,69.8,70.6,1.3,"1,653",2025-03-13
114/03/12,713,"48,818",63.1,69.3,63.1,69.3,6.3,958,2025-03-12
114/03/11,80,"5,015",62.1,63.3,61.8,63.0,-1.0,161,2025-03-11
114/03/10,57,"3,632",63.7,64.8,63.5,64.0,0.1,148,2025-03-10
114/03/07,52,"3,353",63.9,65.2,63.9,63.9,-1.2,142,2025-03-07
114/03/06,52,"3,389",66.1,66.3,65.1,65.1,-1.0,159,2025-03-06
114/03/05,41,"2,727",65.2,66.3,65.2,66.1,0.9,141,2025-03-05
114/03/04,55,"3,538",64.5,65.2,63.1,65.2,0.3,171,2025-03-04
114/03/03,95,"6,229",66.5,66.5,64.9,64.9,-1.7,286,2025-03-03
114/02/27,99,"6,567",66.6,67.5,66.2,66.6,-0.3,182,2025-02-27
114/02/26,52,"3,505",66.9,67.5,66.9,66.9,-0.3,127,2025-02-26
114/02/25,54,"3,645",68.0,68.0,67.1,67.2,-1.0,166,2025-02-25
114/02/24,84,"5,723",68.0,68.8,67.6,68.2,0.2,195,2025-02-24
114/02/21,96,"6,542",66.9,68.6,66.9,68.0,0.3,179,2025-02-21
114/02/20,98,"6,658",68.6,68.6,67.7,67.7,-0.9,181,2025-02-20
114/02/19,170,"11,690",68.4,69.2,67.9,68.6,0.8,216,2025-02-19
114/02/18,179,"12,241",67.7,69.2,67.7,67.8,0.3,283,2025-02-18
114/02/17,114,"7,759",68.0,68.8,67.2,67.5,0.5,225,2025-02-17
114/02/14,105,"6,971",66.8,67.2,65.8,67.0,0.4,148,2025-02-14
114/02/13,120,"8,048",67.7,67.9,66.5,66.6,-0.5,202,2025-02-13
114/02/12,317,"21,488",66.4,68.9,66.3,67.1,0.9,520,2025-02-12
114/02/11,157,"10,369",66.0,66.8,65.1,66.2,0.6,230,2025-02-11
114/02/10,114,"7,403",65.0,66.0,64.0,65.6,0.0,247,2025-02-10
114/02/07,156,"10,265",65.8,66.6,64.9,65.6,0.3,320,2025-02-07
114/02/06,113,"7,302",64.6,65.7,63.2,65.3,0.7,209,2025-02-06
114/02/05,108,"6,978",64.2,65.1,64.2,64.6,1.1,168,2025-02-05
114/02/04,84,"5,299",63.8,63.8,63.1,63.5,-0.5,172,2025-02-04
114/02/03,130,"8,279",63.0,66.0,62.4,64.0,-0.7,224,2025-02-03
114/01/22,79,"5,126",64.9,65.0,64.1,64.7,-0.1,199,2025-01-22
114/01/21,225,"14,730",65.2,66.9,64.5,64.8,0.7,265,2025-01-21
114/01/20,73,"4,653",63.7,64.8,63.5,64.1,0.1,141,2025-01-20
114/01/17,47,"2,967",63.9,64.0,63.3,64.0,0.0,85,2025-01-17
114/01/16,133,"8,538",65.0,65.1,63.7,64.0,0.3,171,2025-01-16
114/01/15,113,"7,212",64.5,65.0,63.1,63.7,-0.4,168,2025-01-15
114/01/14,123,"7,860",62.9,64.8,62.9,64.1,0.6,164,2025-01-14
114/01/13,351,"22,489",67.0,67.0,62.2,63.5,-4.1,517,2025-01-13
114/01/10,285,"19,566",67.4,70.3,67.3,67.6,0.6,348,2025-01-10
114/01/09,261,"17,757",69.0,70.2,67.0,67.0,-2.5,396,2025-01-09
114/01/08,201,"13,988",70.9,70.9,69.0,69.5,-1.1,314,2025-01-08
114/01/07,203,"14,444",71.3,72.5,70.4,70.6,-0.3,220,2025-01-07
114/01/06,224,"15,940",72.5,72.5,70.0,70.9,-0.1,268,2025-01-06
114/01/03,485,"34,996",73.7,74.9,70.2,71.0,-2.7,669,2025-01-03
114/01/02,"1,177","89,187",77.5,79.3,72.9,73.7,-2.7,"1,970",2025-01-02
113/12/31,"2,249","173,550",72.6,79.4,71.9,76.4,3.8,"3,021",2024-12-31
113/12/30,965,"72,139",73.7,76.9,72.6,72.6,-2.5,"2,016",2024-12-30
113/12/27,"4,858","377,647",77.8,79.8,75.1,75.1,0.6,"4,020",2024-12-27
113/12/26,422,"31,437",74.5,74.5,74.5,74.5,6.7,325,2024-12-26
113/12/25,355,"23,602",62.2,67.8,62.2,67.8,6.1,359,2024-12-25
113/12/24,57,"3,548",63.2,63.2,61.7,61.7,-0.8,107,2024-12-24
113/12/23,39,"2,439",62.0,63.1,62.0,62.5,0.3,83,2024-12-23
113/12/20,47,"2,907",62.2,63.3,62.0,62.2,0.5,85,2024-12-20
113/12/19,62,"3,850",62.0,62.3,61.4,61.7,-1.3,96,2024-12-19
113/12/18,183,"11,443",61.5,63.8,61.0,63.0,1.5,178,2024-12-18
113/12/17,78,"4,798",61.7,61.9,61.1,61.5,1.0,125,2024-12-17
113/12/16,176,"10,833",61.6,63.1,60.5,60.5,-1.4,241,2024-12-16
113/12/13,178,"11,099",64.0,64.0,61.8,61.9,-1.9,277,2024-12-13
113/12/12,166,"10,655",65.2,65.5,63.7,63.8,-0.6,244,2024-12-12
113/12/11,719,"46,757",65.0,66.3,63.9,64.4,-6.0,897,2024-12-11
113/12/10,158,"11,279",72.4,72.6,70.3,70.4,0.4,181,2024-12-10
113/12/09,127,"8,883",70.4,70.9,69.3,70.0,-0.9,172,2024-12-09
113/12/06,100,"7,122",72.8,72.8,70.9,70.9,-0.7,182,2024-12-06
113/12/05,70,"5,078",73.0,73.2,71.6,71.6,-1.0,290,2024-12-05
113/12/04,104,"7,610",73.5,73.6,72.1,72.6,0.4,129,2024-12-04
113/12/03,217,"15,752",71.7,73.4,71.6,72.2,1.2,245,2024-12-03
113/12/02,89,"6,296",70.3,71.9,70.2,71.0,0.8,146,2024-12-02
113/11/29,50,"3,511",69.8,70.5,69.3,70.2,0.4,89,2024-11-29
113/11/28,124,"8,621",70.9,70.9,68.7,69.8,-1.1,156,2024-11-28
113/11/27,151,"10,869",72.5,73.5,70.9,70.9,-1.4,262,2024-11-27
113/11/26,169,"12,309",72.6,74.2,72.0,72.3,0.2,234,2024-11-26
113/11/25,113,"8,141",71.5,72.6,71.5,72.1,0.8,256,2024-11-25
113/11/22,142,"10,222",71.2,72.4,71.2,71.3,0.6,249,2024-11-22
113/11/21,88,"6,260",70.5,71.8,70.5,70.7,-0.2,104,2024-11-21
113/11/20,115,"8,137",71.3,71.8,70.5,70.9,-0.9,168,2024-11-20
113/11/19,64,"4,576",71.1,72.1,71.0,71.8,0.8,102,2024-11-19
113/11/18,185,"13,203",71.0,72.8,70.2,71.0,0.1,227,2024-11-18
113/11/15,180,"12,886",71.2,72.8,70.7,70.9,0.0,256,2024-11-15
113/11/14,287,"20,724",74.3,74.3,70.9,70.9,-3.3,352,2024-11-14
113/11/13,112,"8,313",73.9,74.8,73.4,74.2,0.2,217,2024-11-13
113/11/12,358,"26,843",75.4,76.3,74.0,74.0,-3.3,418,2024-11-12
113/11/11,"1,077","84,948",78.0,80.7,77.0,77.3,3.7,"1,004",2024-11-11
113/11/08,222,"16,519",76.1,76.1,73.5,73.6,-1.8,596,2024-11-08
113/11/07,113,"8,526",75.3,75.8,75.0,75.4,0.8,150,2024-11-07
113/11/06,165,"12,241",73.3,75.1,73.0,74.6,1.0,206,2024-11-06
113/11/05,101,"7,437",74.0,74.9,73.2,73.6,-0.2,129,2024-11-05
113/11/04,117,"8,674",74.1,75.1,73.6,73.8,-1.1,152,2024-11-04
113/11/01,131,"9,727",73.1,75.0,73.1,74.9,0.4,149,2024-11-01
113/10/30,160,"12,009",76.0,76.3,74.1,74.5,-0.3,187,2024-10-30
113/10/29,203,"15,366",76.6,77.2,74.8,74.8,-1.8,374,2024-10-29
113/10/28,330,"25,299",77.9,79.3,75.5,76.6,-0.7,417,2024-10-28
113/10/25,219,"17,009",79.0,79.0,77.2,77.3,-0.3,267,2024-10-25
