日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/08,"1,172","406,325",351.0,353.0,342.0,342.5,-8.5,"2,238"
114/08/07,"3,533","1,243,130",331.0,363.0,331.0,351.0,20.5,"4,807"
114/08/06,978,"325,074",338.0,339.5,330.5,330.5,-7.5,"1,666"
114/08/05,"1,397","475,924",343.5,349.0,337.0,338.0,-4.0,"2,073"
114/08/04,"2,129","720,473",343.0,343.5,332.5,342.0,-2.5,"2,668"
114/08/01,"3,931","1,349,148",318.0,352.5,316.0,344.5,24.0,"6,018"
114/08/01,"3,931","1,349,148",318.0,352.5,316.0,344.5,24.0,"6,018"
114/07/31,800,"258,826",324.0,328.0,320.5,320.5,-3.5,"1,850"
114/07/31,800,"258,826",324.0,328.0,320.5,320.5,-3.5,"1,850"
114/07/30,762,"245,816",323.5,326.5,317.5,324.0,1.0,"2,007"
114/07/30,762,"245,816",323.5,326.5,317.5,324.0,1.0,"2,007"
114/07/29,906,"293,737",323.0,328.5,321.5,323.0,0.5,"1,297"
114/07/29,906,"293,737",323.0,328.5,321.5,323.0,0.5,"1,297"
114/07/28,"1,041","338,341",331.0,334.5,322.0,322.5,-6.0,"1,849"
114/07/28,"1,041","338,341",331.0,334.5,322.0,322.5,-6.0,"1,849"
114/07/25,822,"270,264",333.0,333.0,326.0,328.5,-4.5,"1,541"
114/07/25,822,"270,264",333.0,333.0,326.0,328.5,-4.5,"1,541"
114/07/24,752,"251,057",332.5,337.5,331.0,333.0,3.0,936
114/07/24,752,"251,057",332.5,337.5,331.0,333.0,3.0,936
114/07/23,722,"238,871",332.0,335.0,327.0,330.0,1.0,"1,098"
114/07/23,722,"238,871",332.0,335.0,327.0,330.0,1.0,"1,098"
114/07/22,"1,179","397,032",345.5,347.5,329.0,329.0,-12.5,"2,156"
114/07/22,"1,179","397,032",345.5,347.5,329.0,329.0,-12.5,"2,156"
114/07/21,"1,503","520,378",355.5,356.5,341.5,341.5,-12.0,"2,814"
114/07/21,"1,503","520,378",355.5,356.5,341.5,341.5,-12.0,"2,814"
114/07/18,"1,262","454,879",363.5,365.0,356.0,360.0,1.5,"1,806"
114/07/18,"1,262","454,879",363.5,365.0,356.0,360.0,1.5,"1,806"
114/07/17,"1,643","585,639",354.0,361.5,349.0,358.5,8.0,"2,179"
114/07/17,"1,643","585,639",354.0,361.5,349.0,358.5,8.0,"2,179"
114/07/16,"2,372","850,102",355.5,367.5,350.0,350.5,-4.5,"3,145"
114/07/16,"2,372","850,102",355.5,367.5,350.0,350.5,-4.5,"3,145"
114/07/15,"2,713","957,755",339.0,359.5,338.0,355.0,16.5,"3,425"
114/07/15,"2,713","957,755",339.0,359.5,338.0,355.0,16.5,"3,425"
114/07/14,"1,587","539,099",347.0,347.5,334.0,338.5,-8.5,"2,143"
114/07/14,"1,587","539,099",347.0,347.5,334.0,338.5,-8.5,"2,143"
114/07/11,"1,809","626,010",342.0,351.5,340.5,347.0,4.5,"2,255"
114/07/11,"1,809","626,010",342.0,351.5,340.5,347.0,4.5,"2,255"
114/07/10,"2,145","727,478",333.0,345.5,330.0,342.5,7.5,"2,590"
114/07/10,"2,145","727,478",333.0,345.5,330.0,342.5,7.5,"2,590"
114/07/09,"4,085","1,314,350",310.0,335.0,305.0,335.0,4.0,"4,617"
114/07/09,"4,085","1,314,350",310.0,335.0,305.0,335.0,4.0,"4,617"
114/07/08,"1,133","369,067",325.0,332.0,319.0,331.0,2.5,"1,559"
114/07/08,"1,133","369,067",325.0,332.0,319.0,331.0,2.5,"1,559"
114/07/07,"1,061","345,446",328.0,330.0,322.0,328.5,-4.5,"1,915"
114/07/07,"1,061","345,446",328.0,330.0,322.0,328.5,-4.5,"1,915"
114/07/04,"2,499","842,438",335.0,346.0,331.0,333.0,0.5,"3,024"
114/07/04,"2,499","842,438",335.0,346.0,331.0,333.0,0.5,"3,024"
114/07/03,"1,921","645,819",343.0,344.5,330.5,332.5,-6.5,"3,159"
114/07/03,"1,921","645,819",343.0,344.5,330.5,332.5,-6.5,"3,159"
114/07/02,"2,028","696,760",346.5,352.0,339.0,339.0,-7.5,"2,843"
114/07/02,"2,028","696,760",346.5,352.0,339.0,339.0,-7.5,"2,843"
114/07/01,"3,258","1,143,036",360.0,361.5,345.0,346.5,-11.5,"4,685"
114/07/01,"3,258","1,143,036",360.0,361.5,345.0,346.5,-11.5,"4,685"
114/06/30,"7,368","2,714,208",374.5,377.5,358.0,358.0,-12.5,"7,666"
114/06/30,"7,368","2,714,208",374.5,377.5,358.0,358.0,-12.5,"7,666"
114/06/27,"6,485","2,342,711",344.0,370.5,337.5,370.5,33.5,"7,306"
114/06/27,"6,485","2,342,711",344.0,370.5,337.5,370.5,33.5,"7,306"
114/06/26,825,"279,906",343.5,344.5,336.0,337.0,-5.5,"1,354"
114/06/26,825,"279,906",343.5,344.5,336.0,337.0,-5.5,"1,354"
114/06/25,"1,787","609,282",340.0,346.0,335.0,342.5,6.5,"2,098"
114/06/25,"1,787","609,282",340.0,346.0,335.0,342.5,6.5,"2,098"
114/06/24,"1,931","646,084",328.0,340.0,325.5,336.0,16.0,"2,329"
114/06/24,"1,931","646,084",328.0,340.0,325.5,336.0,16.0,"2,329"
114/06/23,644,"205,327",316.0,321.5,315.0,320.0,0.0,996
114/06/23,644,"205,327",316.0,321.5,315.0,320.0,0.0,996
114/06/20,"1,002","322,748",330.0,330.0,319.0,320.0,-9.0,"1,677"
114/06/20,"1,002","322,748",330.0,330.0,319.0,320.0,-9.0,"1,677"
114/06/19,851,"279,348",329.0,331.5,325.0,329.0,1.5,"1,318"
114/06/19,851,"279,348",329.0,331.5,325.0,329.0,1.5,"1,318"
114/06/18,828,"272,984",331.5,334.5,327.5,327.5,-3.5,"1,463"
114/06/18,828,"272,984",331.5,334.5,327.5,327.5,-3.5,"1,463"
114/06/17,"1,477","494,990",340.5,343.5,330.5,331.0,-6.0,"2,039"
114/06/17,"1,477","494,990",340.5,343.5,330.5,331.0,-6.0,"2,039"
114/06/16,"1,068","361,314",335.0,342.5,333.5,337.0,-1.0,"1,332"
114/06/16,"1,068","361,314",335.0,342.5,333.5,337.0,-1.0,"1,332"
114/06/13,"2,034","697,889",348.0,352.5,336.5,338.0,-11.0,"2,850"
114/06/13,"2,034","697,889",348.0,352.5,336.5,338.0,-11.0,"2,850"
114/06/12,"2,771","968,579",341.0,357.0,339.5,349.0,9.5,"3,321"
114/06/12,"2,771","968,579",341.0,357.0,339.5,349.0,9.5,"3,321"
114/06/11,"1,522","519,800",346.5,346.5,338.5,339.5,0.0,"2,054"
114/06/11,"1,522","519,800",346.5,346.5,338.5,339.5,0.0,"2,054"
114/06/10,"3,725","1,275,748",335.0,351.0,332.0,339.5,16.0,"4,799"
114/06/10,"3,725","1,275,748",335.0,351.0,332.0,339.5,16.0,"4,799"
114/06/09,"1,812","582,961",326.0,328.0,317.5,323.5,-7.5,"2,143"
114/06/09,"1,812","582,961",326.0,328.0,317.5,323.5,-7.5,"2,143"
114/06/06,"5,763","1,885,943",344.0,344.0,316.5,331.0,-15.0,"6,625"
114/06/06,"5,763","1,885,943",344.0,344.0,316.5,331.0,-15.0,"6,625"
114/06/05,"3,610","1,233,517",334.0,352.0,331.0,346.0,15.0,"4,154"
114/06/05,"3,610","1,233,517",334.0,352.0,331.0,346.0,15.0,"4,154"
114/06/04,"2,075","679,049",318.0,334.5,316.0,331.0,18.5,"2,507"
114/06/04,"2,075","679,049",318.0,334.5,316.0,331.0,18.5,"2,507"
114/06/03,"1,849","582,697",318.5,322.5,311.5,312.5,-4.0,"2,360"
114/06/03,"1,849","582,697",318.5,322.5,311.5,312.5,-4.0,"2,360"
114/06/02,"2,025","646,764",330.0,331.5,315.5,316.5,-18.5,"2,724"
114/06/02,"2,025","646,764",330.0,331.5,315.5,316.5,-18.5,"2,724"
114/05/29,"2,274","747,913",326.0,335.0,322.0,335.0,13.0,"2,294"
114/05/29,"2,274","747,913",326.0,335.0,322.0,335.0,13.0,"2,294"
114/05/28,"1,786","582,813",334.5,336.0,320.0,322.0,-7.0,"2,283"
114/05/28,"1,786","582,813",334.5,336.0,320.0,322.0,-7.0,"2,283"
114/05/27,996,"329,832",334.5,337.0,327.0,329.0,-1.0,"1,485"
114/05/27,996,"329,832",334.5,337.0,327.0,329.0,-1.0,"1,485"
114/05/26,"1,515","505,663",336.0,340.5,330.0,330.0,-8.5,"2,072"
114/05/26,"1,515","505,663",336.0,340.5,330.0,330.0,-8.5,"2,072"
114/05/23,"1,292","440,563",350.0,350.0,338.0,338.5,-7.5,"1,975"
114/05/23,"1,292","440,563",350.0,350.0,338.0,338.5,-7.5,"1,975"
114/05/22,956,"330,768",352.0,352.0,342.5,346.0,-7.0,"1,576"
114/05/22,956,"330,768",352.0,352.0,342.5,346.0,-7.0,"1,576"
114/05/21,790,"277,823",354.5,354.5,349.0,353.0,1.0,"1,131"
114/05/21,790,"277,823",354.5,354.5,349.0,353.0,1.0,"1,131"
114/05/20,"1,288","456,577",360.0,360.0,351.0,352.0,0.0,"1,656"
114/05/20,"1,288","456,577",360.0,360.0,351.0,352.0,0.0,"1,656"
114/05/19,"2,652","949,763",370.0,371.0,352.0,352.0,-20.5,"3,615"
114/05/19,"2,652","949,763",370.0,371.0,352.0,352.0,-20.5,"3,615"
114/05/16,"3,703","1,380,432",363.0,378.0,360.5,372.5,15.0,"4,183"
114/05/16,"3,703","1,380,432",363.0,378.0,360.5,372.5,15.0,"4,183"
114/05/15,"1,841","663,527",362.5,367.5,354.0,357.5,0.5,"1,986"
114/05/15,"1,841","663,527",362.5,367.5,354.0,357.5,0.5,"1,986"
114/05/14,"1,665","600,426",366.0,367.5,356.5,357.0,-3.5,"2,194"
114/05/14,"1,665","600,426",366.0,367.5,356.5,357.0,-3.5,"2,194"
114/05/13,"3,208","1,176,857",370.5,381.0,357.0,360.5,1.5,"3,562"
114/05/13,"3,208","1,176,857",370.5,381.0,357.0,360.5,1.5,"3,562"
114/05/12,"1,627","580,297",348.0,362.0,348.0,359.0,7.5,"1,922"
114/05/12,"1,627","580,297",348.0,362.0,348.0,359.0,7.5,"1,922"
114/05/09,"2,984","1,034,801",350.0,355.0,337.5,351.5,5.5,"3,247"
114/05/09,"2,984","1,034,801",350.0,355.0,337.5,351.5,5.5,"3,247"
114/05/08,"3,979","1,381,908",349.0,359.0,339.0,346.0,-15.0,"4,953"
114/05/08,"3,979","1,381,908",349.0,359.0,339.0,346.0,-15.0,"4,953"
