日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數,日期
114/08/22,138,"4,122",29.45,29.95,29.45,29.50,0.35,167,2025-08-22
114/08/21,127,"3,705",28.00,29.65,28.00,29.15,1.2,181,2025-08-21
114/08/20,88,"2,459",27.70,28.50,27.50,27.95,0.25,94,2025-08-20
114/08/19,68,"1,896",27.55,27.95,27.30,27.70,0.05,76,2025-08-19
114/08/18,217,"5,977",27.40,28.95,26.75,27.65,0.4,246,2025-08-18
114/08/15,276,"7,384",25.00,27.35,25.00,27.25,2.35,"1,587",2025-08-15
114/08/14,151,"3,773",24.75,25.55,24.75,24.90,0.25,107,2025-08-14
114/08/13,73,"1,813",24.80,24.80,24.55,24.65,-0.15,59,2025-08-13
114/08/12,109,"2,673",24.05,24.80,24.05,24.80,0.95,114,2025-08-12
114/08/11,77,"1,842",23.60,24.10,23.55,23.85,0.3,79,2025-08-11
114/08/08,106,"2,543",23.75,24.40,23.55,23.55,-0.25,106,2025-08-08
114/08/07,62,"1,494",23.65,24.45,23.65,23.80,0.05,57,2025-08-07
114/08/06,110,"2,622",23.55,24.10,23.50,23.75,0.05,66,2025-08-06
114/08/05,109,"2,608",23.30,24.70,23.30,23.70,0.75,106,2025-08-05
114/08/04,59,"1,342",22.30,23.25,22.30,22.95,0.05,43,2025-08-04
114/08/01,34,763,22.05,22.90,22.05,22.90,0.85,42,2025-08-01
114/07/31,16,343,22.00,22.15,21.85,22.05,0.1,25,2025-07-31
114/07/30,14,297,21.75,22.00,21.75,21.95,-0.05,34,2025-07-30
114/07/29,19,419,22.45,22.45,22.00,22.00,-0.05,34,2025-07-29
114/07/28,13,284,22.40,22.40,22.00,22.05,0.0,21,2025-07-28
114/07/25,20,436,22.20,22.25,21.95,22.05,-0.2,38,2025-07-25
114/07/24,10,214,22.50,22.50,22.00,22.25,0.0,39,2025-07-24
114/07/23,20,454,22.10,22.45,22.10,22.25,0.25,32,2025-07-23
114/07/22,74,"1,643",22.50,22.60,21.90,22.00,-0.55,100,2025-07-22
114/07/21,42,966,22.70,23.20,22.55,22.55,-0.05,54,2025-07-21
114/07/18,38,856,22.55,22.60,22.40,22.60,0.1,38,2025-07-18
114/07/17,20,464,23.00,23.00,22.50,22.50,0.0,43,2025-07-17
114/07/16,72,"1,631",22.60,22.75,22.40,22.50,-0.25,71,2025-07-16
114/07/15,82,"1,875",23.05,23.05,22.65,22.75,-0.45,122,2025-07-15
114/07/14,71,"1,649",23.00,23.20,23.00,23.20,0.2,82,2025-07-14
114/07/11,524,"12,610",23.55,24.90,23.00,23.00,0.15,800,2025-07-11
114/07/10,113,"2,617",22.85,23.50,22.85,22.85,0.0,105,2025-07-10
114/07/09,258,"5,901",22.70,23.50,22.45,22.85,0.0,236,2025-07-09
114/07/08,"1,683","40,763",22.60,25.00,22.40,22.85,0.1,"1,136",2025-07-08
114/07/07,787,"17,732",22.75,22.75,21.25,22.75,2.05,674,2025-07-07
114/07/04,64,"1,342",21.10,21.10,20.70,20.70,-0.4,171,2025-07-04
114/07/03,38,807,20.95,21.20,20.95,21.10,0.0,50,2025-07-03
114/07/02,11,231,21.15,21.20,21.10,21.10,-0.1,25,2025-07-02
114/07/01,14,302,21.45,21.45,21.20,21.20,0.05,17,2025-07-01
114/06/30,88,"1,901",21.05,22.60,21.05,21.15,0.25,99,2025-06-30
114/06/27,106,"2,214",21.25,21.25,20.80,20.90,-0.3,248,2025-06-27
114/06/26,28,591,21.25,21.50,21.20,21.20,-0.05,41,2025-06-26
114/06/25,60,"1,275",21.55,21.55,21.20,21.25,-0.3,97,2025-06-25
114/06/24,74,"1,590",22.00,22.00,21.35,21.55,-0.05,93,2025-06-24
114/06/23,48,"1,041",21.70,21.70,21.45,21.60,-0.2,35,2025-06-23
114/06/20,9,189,22.10,22.10,21.80,21.80,-0.3,27,2025-06-20
114/06/19,48,"1,078",22.80,22.80,22.10,22.10,-0.65,39,2025-06-19
114/06/18,38,876,23.90,23.90,22.75,22.75,0.0,31,2025-06-18
114/06/17,50,"1,133",22.80,23.00,22.75,22.75,0.0,32,2025-06-17
114/06/16,29,657,22.50,22.75,22.45,22.75,0.0,37,2025-06-16
114/06/13,19,445,23.40,23.50,22.75,22.75,-0.85,22,2025-06-13
114/06/12,14,331,23.45,23.90,23.40,23.60,0.0,24,2025-06-12
114/06/11,25,598,24.10,24.10,23.40,23.60,0.0,31,2025-06-11
114/06/10,13,316,23.50,23.60,23.50,23.60,0.55,21,2025-06-10
114/06/09,35,835,25.00,25.00,22.75,23.05,-0.4,38,2025-06-09
114/06/06,11,248,23.80,23.80,23.15,23.45,0.4,16,2025-06-06
114/06/05,4,102,23.20,23.35,23.05,23.05,0.1,14,2025-06-05
114/06/04,2,37,22.95,22.95,22.95,22.95,-0.15,16,2025-06-04
114/06/03,4,93,23.60,23.60,23.10,23.10,-0.35,16,2025-06-03
114/06/02,25,587,23.55,23.55,23.10,23.45,-0.2,28,2025-06-02
114/05/29,21,501,23.80,24.90,23.55,23.65,0.15,23,2025-05-29
114/05/28,14,336,23.55,23.55,23.50,23.50,0.2,17,2025-05-28
114/05/27,12,274,23.20,23.30,23.20,23.30,0.2,23,2025-05-27
114/05/26,15,351,22.70,23.40,22.70,23.10,0.4,16,2025-05-26
114/05/23,15,348,22.65,22.70,22.25,22.70,0.5,21,2025-05-23
114/05/22,24,526,22.50,22.50,22.20,22.20,-0.25,45,2025-05-22
114/05/21,62,"1,395",22.60,22.70,22.40,22.45,-0.75,116,2025-05-21
114/05/20,5,110,23.65,23.65,23.20,23.20,-0.45,20,2025-05-20
114/05/19,2,36,23.65,23.65,23.65,23.65,0.5,15,2025-05-19
114/05/16,25,579,23.10,23.40,23.10,23.15,-0.2,15,2025-05-16
114/05/15,18,410,23.80,23.80,23.10,23.35,0.05,27,2025-05-15
114/05/14,42,977,23.50,23.60,23.25,23.30,0.0,77,2025-05-14
114/05/13,31,726,23.10,23.50,23.10,23.30,0.25,21,2025-05-13
114/05/12,9,202,23.00,23.10,23.00,23.05,0.15,67,2025-05-12
114/05/09,11,259,22.50,22.90,22.45,22.90,0.0,32,2025-05-09
114/05/08,15,348,22.65,22.90,22.65,22.90,0.5,23,2025-05-08
114/05/07,19,428,22.60,22.65,21.90,22.40,-0.2,62,2025-05-07
114/05/06,17,382,23.15,23.25,22.30,22.60,0.4,56,2025-05-06
114/05/05,29,661,23.10,23.10,22.10,22.20,-1.35,100,2025-05-05
114/05/02,26,608,23.70,24.00,23.45,23.55,-0.15,64,2025-05-02
114/04/30,19,456,24.20,24.30,23.70,23.70,-0.3,133,2025-04-30
114/04/29,45,"1,097",23.90,24.50,23.90,24.00,0.4,40,2025-04-29
114/04/28,100,"2,454",26.15,26.15,23.60,23.60,-0.35,156,2025-04-28
114/04/25,34,816,23.90,24.35,23.30,23.95,0.05,111,2025-04-25
114/04/24,81,"1,904",23.55,24.00,23.00,23.90,0.55,117,2025-04-24
114/04/23,279,"6,878",24.70,25.55,23.35,23.35,-0.5,274,2025-04-23
114/04/22,181,"4,305",23.80,23.85,23.50,23.85,2.15,115,2025-04-22
114/04/21,7,148,22.10,22.10,21.70,21.70,-1.05,141,2025-04-21
114/04/18,16,369,23.50,23.60,22.75,22.75,-0.05,38,2025-04-18
114/04/17,11,253,23.50,23.50,22.80,22.80,-0.6,71,2025-04-17
114/04/16,7,171,24.40,24.40,23.40,23.40,-0.35,57,2025-04-16
114/04/15,14,329,23.20,23.75,23.20,23.75,1.25,34,2025-04-15
114/04/14,7,158,22.50,22.50,22.50,22.50,0.5,34,2025-04-14
114/04/11,29,619,21.00,22.00,20.65,22.00,0.9,167,2025-04-11
114/04/10,39,824,20.10,21.10,20.10,21.10,1.9,41,2025-04-10
114/04/09,43,836,19.55,19.85,18.95,19.20,-1.85,126,2025-04-09
114/04/08,79,"1,672",21.05,21.05,21.05,21.05,-2.3,338,2025-04-08
114/04/07,57,"1,320",23.35,23.35,23.35,23.35,-2.55,53,2025-04-07
114/04/02,6,158,26.65,26.65,25.90,25.90,-0.2,12,2025-04-02
114/04/01,10,264,25.80,26.50,25.80,26.10,0.5,13,2025-04-01
114/03/31,43,"1,138",26.80,27.10,25.60,25.60,-1.5,55,2025-03-31
114/03/28,22,612,27.80,27.80,27.10,27.10,-0.6,28,2025-03-28
114/03/27,17,483,28.55,28.55,27.70,27.70,-0.35,17,2025-03-27
114/03/26,7,188,28.25,28.25,28.00,28.05,0.1,14,2025-03-26
114/03/25,27,751,28.40,28.40,27.95,27.95,0.3,30,2025-03-25
114/03/24,7,189,27.65,27.80,27.55,27.65,0.1,12,2025-03-24
114/03/21,31,853,27.65,28.40,27.55,27.55,-0.15,32,2025-03-21
114/03/20,4,101,28.25,28.25,27.55,27.70,0.2,13,2025-03-20
114/03/19,13,366,28.45,28.45,27.50,27.50,-0.55,46,2025-03-19
114/03/18,32,889,28.10,28.10,28.05,28.05,-0.3,25,2025-03-18
114/03/17,45,"1,271",28.40,28.50,28.30,28.35,-0.05,44,2025-03-17
114/03/14,27,774,28.25,28.60,28.25,28.40,0.1,41,2025-03-14
114/03/13,30,844,28.55,28.65,28.30,28.30,-0.15,34,2025-03-13
114/03/12,44,"1,263",28.85,28.90,28.45,28.45,0.15,46,2025-03-12
114/03/11,36,"1,010",28.50,28.50,28.25,28.30,-0.3,45,2025-03-11
114/03/10,20,576,28.90,28.90,28.60,28.60,0.55,27,2025-03-10
114/03/07,31,870,28.45,28.50,28.05,28.05,-0.4,44,2025-03-07
114/03/06,29,825,28.60,28.60,28.05,28.45,-0.15,26,2025-03-06
114/03/05,18,517,28.70,28.70,28.35,28.60,-0.1,23,2025-03-05
114/03/04,28,802,28.55,28.75,28.50,28.70,-0.15,20,2025-03-04
114/03/03,40,"1,167",29.00,29.00,28.80,28.85,0.0,51,2025-03-03
114/02/27,45,"1,290",29.45,29.45,28.85,28.85,-0.15,39,2025-02-27
114/02/26,39,"1,124",29.00,29.30,28.85,29.00,-0.05,40,2025-02-26
114/02/25,42,"1,225",29.00,29.45,28.85,29.05,0.05,37,2025-02-25
114/02/24,84,"2,431",28.85,29.30,28.85,29.00,0.2,70,2025-02-24
114/02/21,42,"1,216",28.60,28.95,28.50,28.80,0.3,40,2025-02-21
114/02/20,20,586,28.50,29.00,28.50,28.50,0.0,30,2025-02-20
114/02/19,42,"1,194",29.15,29.15,28.25,28.50,-0.1,80,2025-02-19
114/02/18,58,"1,653",28.65,29.05,28.40,28.60,0.0,48,2025-02-18
114/02/17,264,"7,686",28.15,30.20,28.10,28.60,1.0,235,2025-02-17
114/02/14,53,"1,460",27.95,28.00,27.60,27.60,0.1,55,2025-02-14
114/02/13,46,"1,263",27.70,27.75,27.50,27.50,-0.05,47,2025-02-13
114/02/12,47,"1,304",27.60,27.70,27.30,27.55,0.1,57,2025-02-12
114/02/11,58,"1,593",27.65,27.75,27.45,27.45,0.0,81,2025-02-11
114/02/10,203,"5,621",28.30,28.60,27.05,27.45,-1.25,212,2025-02-10
114/02/07,322,"9,215",26.95,29.25,26.65,28.70,2.1,251,2025-02-07
114/02/06,34,910,27.15,27.15,26.60,26.60,0.1,25,2025-02-06
114/02/05,16,426,26.50,26.80,26.50,26.50,0.2,16,2025-02-05
114/02/04,27,705,26.20,26.70,26.20,26.30,-0.35,36,2025-02-04
114/02/03,45,"1,195",26.85,26.85,25.80,26.65,1.15,54,2025-02-03
114/01/22,28,719,25.20,25.50,25.10,25.50,0.5,32,2025-01-22
114/01/21,29,727,24.95,25.35,24.90,25.00,0.1,24,2025-01-21
114/01/20,31,771,26.15,26.15,24.30,24.90,0.35,48,2025-01-20
114/01/17,6,159,24.55,24.55,24.55,24.55,0.0,13,2025-01-17
114/01/16,1,19,--,--,--,--,0.0,10,2025-01-16
114/01/15,6,142,24.60,24.60,24.50,24.55,-0.2,27,2025-01-15
114/01/14,32,793,25.20,25.20,24.30,24.75,-0.5,57,2025-01-14
114/01/13,15,376,26.35,26.35,25.20,25.25,-0.7,52,2025-01-13
114/01/10,6,156,25.65,25.95,25.65,25.95,-0.15,10,2025-01-10
114/01/09,10,258,26.85,26.85,26.10,26.10,-0.3,21,2025-01-09
114/01/08,11,296,26.45,26.65,26.40,26.40,0.0,13,2025-01-08
114/01/07,26,695,26.80,26.80,26.40,26.40,-0.4,58,2025-01-07
114/01/06,7,174,27.20,27.20,26.70,26.80,0.2,51,2025-01-06
114/01/03,8,222,26.75,27.00,26.55,26.60,-0.15,14,2025-01-03
114/01/02,22,600,27.55,27.55,26.65,26.75,0.15,38,2025-01-02
113/12/31,19,519,26.95,26.95,26.55,26.60,-0.15,23,2024-12-31
113/12/30,15,407,27.25,27.25,26.70,26.75,0.25,15,2024-12-30
113/12/27,35,928,26.50,26.85,26.50,26.50,0.0,25,2024-12-27
113/12/26,16,431,26.60,26.90,26.35,26.50,-0.1,28,2024-12-26
113/12/25,24,641,27.05,27.05,26.60,26.60,0.0,19,2024-12-25
113/12/24,33,883,26.30,26.75,26.30,26.60,0.6,74,2024-12-24
113/12/23,13,327,25.95,26.25,25.95,26.00,0.05,52,2024-12-23
113/12/20,31,818,26.35,26.35,25.95,25.95,-0.25,60,2024-12-20
113/12/19,18,462,26.20,26.25,25.90,26.20,0.0,40,2024-12-19
113/12/18,49,"1,314",27.35,27.35,26.20,26.20,-0.6,44,2024-12-18
113/12/17,19,510,26.55,27.25,26.25,26.80,0.4,295,2024-12-17
113/12/16,36,945,26.70,26.85,26.40,26.40,-0.35,43,2024-12-16
113/12/13,33,883,26.60,26.75,26.40,26.75,-0.05,40,2024-12-13
113/12/12,51,"1,365",26.95,27.05,26.80,26.80,-0.15,37,2024-12-12
113/12/11,35,959,27.45,27.45,26.85,26.95,-0.2,33,2024-12-11
113/12/10,71,"1,942",27.15,27.80,27.10,27.15,-0.05,47,2024-12-10
113/12/09,60,"1,661",27.55,27.90,27.20,27.20,-0.3,65,2024-12-09
113/12/06,116,"3,211",28.25,28.25,27.50,27.50,-0.3,157,2024-12-06
113/12/05,212,"5,931",27.60,28.50,27.45,27.80,0.5,203,2024-12-05
113/12/04,56,"1,517",27.10,27.50,27.10,27.30,0.3,45,2024-12-04
113/12/03,25,685,27.00,27.45,26.90,27.00,-0.05,22,2024-12-03
113/12/02,16,449,27.00,27.45,27.00,27.05,0.05,31,2024-12-02
113/11/29,22,599,26.90,27.00,26.65,27.00,0.0,30,2024-11-29
113/11/28,6,165,27.45,27.45,26.75,27.00,0.1,12,2024-11-28
113/11/27,18,496,27.40,27.40,26.75,26.90,-0.45,44,2024-11-27
113/11/26,12,332,27.45,27.55,27.30,27.35,-0.05,27,2024-11-26
113/11/25,70,"1,918",27.15,27.75,27.00,27.40,0.45,67,2024-11-25
113/11/22,24,647,26.95,27.00,26.95,26.95,0.15,20,2024-11-22
113/11/21,57,"1,528",27.20,27.20,26.80,26.80,0.25,55,2024-11-21
113/11/20,19,510,26.80,26.90,26.55,26.55,0.05,23,2024-11-20
113/11/19,21,551,26.40,26.70,26.30,26.50,0.3,31,2024-11-19
113/11/18,21,561,26.60,26.80,26.20,26.20,-0.65,103,2024-11-18
113/11/15,65,"1,793",27.45,27.90,26.80,26.85,-0.1,67,2024-11-15
113/11/14,14,384,26.70,26.95,26.50,26.95,0.15,39,2024-11-14
113/11/13,21,567,27.00,27.00,26.70,26.80,-0.2,27,2024-11-13
