日期,收盤價
2025-08-01,15.25
2025-07-31,15.00
2025-07-30,15.35
2025-07-29,14.90
2025-07-28,15.15
2025-07-25,15.30
2025-07-24,15.25
2025-07-23,15.70
2025-07-22,16.25
2025-07-21,16.85
2025-07-18,16.65
2025-07-17,16.65
2025-07-16,16.25
2025-07-15,16.30
2025-07-14,16.20
2025-07-11,16.15
2025-07-10,15.60
2025-07-09,15.95
2025-07-08,16.25
2025-07-07,17.30
2025-07-04,17.65
2025-07-03,17.65
2025-07-02,16.05
2025-07-01,15.50
2025-06-30,15.40
2025-06-27,15.45
2025-06-26,15.40
2025-06-25,15.40
2025-06-24,15.40
2025-06-23,14.90
2025-06-20,15.00
2025-06-19,15.40
2025-06-18,15.95
2025-06-17,15.00
2025-06-16,14.90
2025-06-13,15.00
2025-06-12,15.80
2025-06-11,15.65
2025-06-10,15.80
2025-06-09,15.65
2025-06-06,15.55
2025-06-05,15.05
2025-06-04,14.90
2025-06-03,14.60
2025-06-02,14.75
2025-05-29,15.50
2025-05-28,15.40
2025-05-27,15.55
2025-05-26,15.45
2025-05-23,15.45
2025-05-22,15.60
2025-05-21,15.70
2025-05-20,15.55
2025-05-19,15.30
2025-05-16,15.30
2025-05-15,15.65
2025-05-14,16.00
2025-05-13,16.00
2025-05-12,15.25
2025-05-09,14.50
2025-05-08,14.15
2025-05-07,14.10
2025-05-06,14.10
2025-05-05,14.10
2025-05-02,14.25
2025-04-30,14.15
2025-04-29,14.40
2025-04-28,14.15
2025-04-25,14.00
2025-04-24,14.00
2025-04-23,14.40
2025-04-22,13.70
2025-04-21,13.80
2025-04-18,14.10
2025-04-17,14.10
2025-04-16,14.10
2025-04-15,14.45
2025-04-14,14.20
2025-04-11,13.65
2025-04-10,13.10
2025-04-09,11.95
2025-04-08,13.25
2025-04-07,14.30
2025-04-02,15.85
2025-04-01,15.70
2025-03-31,15.20
2025-03-28,16.35
2025-03-27,17.10
2025-03-26,17.20
2025-03-25,17.20
2025-03-24,17.60
2025-03-21,17.85
2025-03-20,18.15
2025-03-19,17.80
2025-03-18,17.95
2025-03-17,17.95
2025-03-14,18.00
2025-03-13,17.70
2025-03-12,18.30
2025-03-11,18.05
2025-03-10,18.60
2025-03-07,17.95
2025-03-06,18.05
2025-03-05,18.60
2025-03-04,18.00
2025-03-03,17.60
