日期,收盤價
114-06-02,38.10
114-06-03,38.20
114-06-04,38.20
114-06-05,38.20
114-06-06,38.25
114-06-09,38.25
114-06-10,38.30
114-06-11,37.85
114-06-12,37.85
114-06-13,37.80
114-06-16,37.60
114-06-17,37.55
114-06-18,37.40
114-06-19,37.30
114-06-20,36.95
114-06-23,36.85
114-06-24,37.45
114-06-25,37.70
114-06-26,37.70
114-06-27,37.55
114-05-02,38.80
114-05-05,38.45
114-05-06,38.40
114-05-07,38.30
114-05-08,38.15
114-05-09,38.20
114-05-12,38.00
114-05-13,38.40
114-05-14,38.30
114-05-15,38.30
114-05-16,38.20
114-05-19,38.20
114-05-20,38.30
114-05-21,38.35
114-05-22,38.30
114-05-23,38.25
114-05-26,38.35
114-05-27,38.35
114-05-28,38.35
114-05-29,38.25
114-04-01,38.75
114-04-02,39.15
114-04-07,37.40
114-04-08,37.85
114-04-09,37.00
114-04-10,38.10
114-04-11,37.80
114-04-14,37.90
114-04-15,38.25
114-04-16,38.25
114-04-17,38.20
114-04-18,38.20
114-04-21,38.15
114-04-22,38.00
114-04-23,38.20
114-04-24,38.25
114-04-25,38.70
114-04-28,38.80
114-04-29,38.85
114-04-30,38.90
114-03-03,38.20
114-03-04,38.10
114-03-05,38.05
114-03-06,38.25
114-03-07,38.25
114-03-10,38.25
114-03-11,38.10
114-03-12,38.25
114-03-13,38.25
114-03-14,38.20
114-03-17,38.15
114-03-18,38.20
114-03-19,38.35
114-03-20,38.25
114-03-21,38.35
114-03-24,38.45
114-03-25,38.50
114-03-26,38.65
114-03-27,38.50
114-03-28,38.55
114-03-31,38.15
114-02-03,37.40
114-02-04,37.55
114-02-05,37.40
114-02-06,37.50
114-02-07,37.60
114-02-10,37.50
114-02-11,37.50
114-02-12,37.50
114-02-13,37.50
114-02-14,37.45
114-02-17,37.50
114-02-18,37.60
114-02-19,37.60
114-02-20,37.75
114-02-21,37.85
114-02-24,38.10
114-02-25,38.05
114-02-26,38.15
114-02-27,38.20
114-01-02,35.55
114-01-03,35.70
114-01-06,35.95
114-01-07,36.00
114-01-08,35.95
114-01-09,36.50
114-01-10,36.80
114-01-13,36.85
114-01-14,37.00
114-01-15,37.25
114-01-16,37.60
114-01-17,37.50
114-01-20,37.40
114-01-21,37.20
114-01-22,37.50
113-12-02,35.45
113-12-03,35.45
113-12-04,35.55
113-12-05,35.55
113-12-06,35.60
113-12-09,35.80
113-12-10,35.70
113-12-11,35.65
113-12-12,35.65
113-12-13,35.65
113-12-16,35.50
113-12-17,35.50
113-12-18,35.55
113-12-19,35.55
113-12-20,35.50
113-12-23,35.40
113-12-24,35.30
113-12-25,35.30
113-12-26,35.25
113-12-27,35.30
113-12-30,35.40
113-12-31,35.45
