日期,收盤價
2025-08-01,107.50
2025-07-31,108.00
2025-07-30,107.50
2025-07-29,105.50
2025-07-28,108.00
2025-07-25,109.50
2025-07-24,109.00
2025-07-23,109.00
2025-07-22,109.00
2025-07-21,110.00
2025-07-18,109.50
2025-07-17,107.50
2025-07-16,100.50
2025-07-15,99.90
2025-07-14,98.90
2025-07-11,99.90
2025-07-10,98.90
2025-07-09,100.00
2025-07-08,99.70
2025-07-07,99.20
2025-07-04,99.10
2025-07-03,103.50
2025-07-02,100.50
2025-07-01,100.00
2025-06-30,100.00
2025-06-27,101.00
2025-06-26,96.00
2025-06-25,92.10
2025-06-24,90.30
2025-06-23,88.30
2025-06-20,91.90
2025-06-19,96.30
2025-06-18,99.50
2025-06-17,100.50
2025-06-16,96.30
2025-06-13,95.00
2025-06-12,95.00
2025-06-11,101.50
2025-06-10,103.00
2025-06-09,101.50
2025-06-06,99.80
2025-06-05,97.80
2025-06-04,97.00
2025-06-03,95.10
2025-06-02,95.60
2025-05-29,103.00
2025-05-28,100.00
2025-05-27,100.00
2025-05-26,101.50
2025-05-23,102.00
2025-05-22,104.00
2025-05-21,108.00
2025-05-20,106.50
2025-05-19,104.50
2025-05-16,108.00
2025-05-15,108.50
2025-05-14,112.00
2025-05-13,116.50
2025-05-12,112.00
2025-05-09,112.00
2025-05-08,114.00
2025-05-07,111.50
2025-05-06,108.50
2025-05-05,107.00
2025-05-02,118.00
2025-04-30,121.50
2025-04-29,127.00
2025-04-28,121.50
2025-04-25,118.50
2025-04-24,109.50
2025-04-23,112.50
2025-04-22,105.50
2025-04-21,108.50
2025-04-18,115.00
2025-04-17,115.00
2025-04-16,117.00
2025-04-15,123.00
2025-04-14,116.00
2025-04-11,109.50
2025-04-10,117.00
2025-04-09,106.50
2025-04-08,118.00
2025-04-07,131.00
2025-04-02,145.50
2025-04-01,146.00
2025-03-31,142.00
2025-03-28,155.00
2025-03-27,165.50
2025-03-26,171.50
2025-03-25,175.00
2025-03-24,175.00
2025-03-21,180.00
2025-03-20,178.50
2025-03-19,174.00
2025-03-18,180.00
2025-03-17,167.50
2025-03-14,169.00
2025-03-13,170.00
2025-03-12,189.50
2025-03-11,180.50
2025-03-10,192.00
2025-03-07,200.00
