日期,收盤價
2025-08-01,15.78
2025-07-31,16.11
2025-07-30,16.62
2025-07-29,16.39
2025-07-28,16.26
2025-07-25,16.24
2025-07-24,16.41
2025-07-23,16.59
2025-07-22,16.25
2025-07-21,16.00
2025-07-18,15.83
2025-07-17,15.65
2025-07-16,15.52
2025-07-15,15.60
2025-07-14,15.79
2025-07-11,16.07
2025-07-10,15.81
2025-07-09,15.64
2025-07-08,15.31
2025-07-07,15.19
2025-07-04,15.47
2025-07-03,14.99
2025-07-02,14.96
2025-07-01,14.95
2025-06-30,14.79
2025-06-27,14.82
2025-06-26,15.23
2025-06-25,15.10
2025-06-24,14.95
2025-06-23,14.57
2025-06-20,14.60
2025-06-19,14.45
2025-06-18,14.61
2025-06-17,14.53
2025-06-16,14.51
2025-06-13,14.47
2025-06-12,14.74
2025-06-11,14.90
2025-06-10,14.60
2025-06-09,14.71
2025-06-06,14.72
2025-06-05,14.73
2025-06-04,14.75
2025-06-03,14.69
2025-06-02,14.31
2025-05-29,14.77
2025-05-28,14.76
2025-05-27,14.73
2025-05-26,14.82
2025-05-23,15.46
2025-05-22,15.51
2025-05-21,15.65
2025-05-20,15.40
2025-05-19,15.12
2025-05-16,15.26
2025-05-15,15.54
2025-05-14,15.68
2025-05-13,15.22
2025-05-12,15.02
2025-05-09,14.79
2025-05-08,14.74
2025-05-07,14.46
2025-05-06,14.11
2025-05-05,14.06
2025-05-02,14.71
2025-04-30,14.71
2025-04-29,14.95
2025-04-28,15.32
2025-04-25,15.30
2025-04-24,15.36
2025-04-23,15.27
2025-04-22,15.29
2025-04-21,15.05
2025-04-18,14.96
2025-04-17,15.01
2025-04-16,14.59
2025-04-15,14.78
2025-04-14,14.61
2025-04-11,14.60
2025-04-10,14.38
2025-04-09,14.00
2025-04-08,13.75
2025-04-07,13.72
2025-04-02,16.02
2025-04-01,16.02
2025-03-31,16.10
2025-03-28,16.24
2025-03-27,16.44
2025-03-26,16.28
2025-03-25,16.45
2025-03-24,16.30
2025-03-21,16.32
2025-03-20,16.92
2025-03-19,17.24
2025-03-18,16.96
2025-03-17,16.96
2025-03-14,16.94
2025-03-13,15.94
2025-03-12,16.00
2025-03-11,15.73
2025-03-10,15.70
2025-03-07,16.12
2025-03-06,15.93
2025-03-05,15.57
2025-03-04,15.43
2025-03-03,15.88
