日期,收盤價
2025-08-01,80.70
2025-07-31,82.00
2025-07-30,75.40
2025-07-29,76.50
2025-07-28,71.80
2025-07-25,70.50
2025-07-24,71.40
2025-07-23,71.30
2025-07-22,64.90
2025-07-21,66.50
2025-07-18,65.10
2025-07-17,64.30
2025-07-16,61.00
2025-07-15,56.80
2025-07-14,53.90
2025-07-11,54.40
2025-07-10,52.80
2025-07-09,55.00
2025-07-08,53.50
2025-07-07,53.10
2025-07-04,54.90
2025-07-03,53.60
2025-07-02,53.30
2025-07-01,53.50
2025-06-30,53.50
2025-06-27,52.00
2025-06-26,52.50
2025-06-25,53.30
2025-06-24,52.70
2025-06-23,54.30
2025-06-20,49.40
2025-06-19,48.55
2025-06-18,47.70
2025-06-17,43.40
2025-06-16,43.20
2025-06-13,43.25
2025-06-12,44.25
2025-06-11,44.20
2025-06-10,44.75
2025-06-09,44.35
2025-06-06,44.55
2025-06-05,44.20
2025-06-04,44.00
2025-06-03,42.40
2025-06-02,42.35
2025-05-29,43.35
2025-05-28,42.95
2025-05-27,42.90
2025-05-26,43.25
2025-05-23,42.95
2025-05-22,43.20
2025-05-21,42.75
2025-05-20,42.25
2025-05-19,42.70
2025-05-16,43.95
2025-05-15,43.45
2025-05-14,43.25
2025-05-13,41.90
2025-05-12,40.20
2025-05-09,39.70
2025-05-08,39.60
2025-05-07,38.35
2025-05-06,38.65
2025-05-05,38.60
2025-05-02,39.50
2025-04-30,38.55
2025-04-29,39.30
2025-04-28,37.95
2025-04-25,37.85
2025-04-24,36.60
2025-04-23,36.25
2025-04-22,34.60
2025-04-21,34.40
2025-04-18,35.55
2025-04-17,35.65
2025-04-16,35.70
2025-04-15,36.05
2025-04-14,33.85
2025-04-11,33.25
2025-04-10,33.30
2025-04-09,30.30
2025-04-08,33.65
2025-04-07,37.35
2025-04-02,41.50
2025-04-01,40.95
2025-03-31,39.80
2025-03-28,42.35
2025-03-27,44.00
2025-03-26,45.50
2025-03-25,45.15
2025-03-24,45.15
2025-03-21,45.55
2025-03-20,45.80
2025-03-19,45.25
2025-03-18,45.70
2025-03-17,45.60
2025-03-14,45.00
2025-03-13,44.65
2025-03-12,45.15
2025-03-11,44.85
2025-03-10,45.40
2025-03-07,45.60
2025-03-06,46.40
2025-03-05,47.05
2025-03-04,46.45
2025-03-03,46.70
