日期,收盤價
2025-08-01,68.50
2025-07-31,67.10
2025-07-30,68.00
2025-07-29,67.50
2025-07-28,69.00
2025-07-25,68.90
2025-07-24,69.70
2025-07-23,70.70
2025-07-22,68.00
2025-07-21,71.10
2025-07-18,69.60
2025-07-17,69.60
2025-07-16,68.90
2025-07-15,68.90
2025-07-14,71.40
2025-07-11,72.60
2025-07-10,71.90
2025-07-09,72.10
2025-07-08,72.00
2025-07-07,77.00
2025-07-04,78.10
2025-07-03,78.10
2025-07-02,77.20
2025-07-01,77.70
2025-06-30,76.90
2025-06-27,78.10
2025-06-26,77.50
2025-06-25,75.40
2025-06-24,76.30
2025-06-23,74.30
2025-06-20,75.90
2025-06-19,77.00
2025-06-18,80.90
2025-06-17,77.30
2025-06-16,76.90
2025-06-13,76.60
2025-06-12,79.00
2025-06-11,78.50
2025-06-10,77.80
2025-06-09,78.20
2025-06-06,79.00
2025-06-05,78.90
2025-06-04,79.70
2025-06-03,79.50
2025-06-02,79.80
2025-05-29,81.00
2025-05-28,82.10
2025-05-27,83.50
2025-05-26,85.80
2025-05-23,85.80
2025-05-22,85.20
2025-05-21,86.50
2025-05-20,83.90
2025-05-19,83.50
2025-05-16,85.00
2025-05-15,85.30
2025-05-14,88.20
2025-05-13,87.50
2025-05-12,89.20
2025-05-09,89.10
2025-05-08,90.00
2025-05-07,89.40
2025-05-06,90.90
2025-05-05,92.50
2025-05-02,91.20
2025-04-30,87.80
2025-04-29,89.00
2025-04-28,85.10
2025-04-25,84.00
2025-04-24,83.10
2025-04-23,83.40
2025-04-22,82.00
2025-04-21,85.30
2025-04-18,88.40
2025-04-17,85.80
2025-04-16,88.30
2025-04-15,89.90
2025-04-14,84.80
2025-04-11,84.10
2025-04-10,86.70
2025-04-09,79.00
2025-04-08,87.70
2025-04-07,87.30
2025-04-02,97.00
2025-04-01,101.50
2025-03-31,102.50
2025-03-28,107.50
2025-03-27,110.00
2025-03-26,110.00
2025-03-25,109.50
2025-03-24,111.50
2025-03-21,111.00
2025-03-20,109.50
2025-03-19,105.50
2025-03-18,107.50
2025-03-17,106.50
2025-03-14,105.50
2025-03-13,107.00
2025-03-12,108.50
2025-03-11,105.00
2025-03-10,105.50
2025-03-07,107.50
2025-03-06,108.50
2025-03-05,108.50
2025-03-04,110.00
2025-03-03,109.00
