日期,收盤價
2025-08-01,59.40
2025-07-31,60.15
2025-07-30,59.35
2025-07-29,59.45
2025-07-28,59.25
2025-07-25,58.65
2025-07-24,58.30
2025-07-23,57.95
2025-07-22,57.85
2025-07-21,58.05
2025-07-18,58.10
2025-07-17,57.60
2025-07-16,57.35
2025-07-15,57.75
2025-07-14,57.05
2025-07-11,57.25
2025-07-10,57.15
2025-07-09,56.65
2025-07-08,56.70
2025-07-07,56.75
2025-07-04,56.40
2025-07-03,56.25
2025-07-02,56.55
2025-07-01,56.45
2025-06-30,56.50
2025-06-27,55.70
2025-06-26,55.55
2025-06-25,56.05
2025-06-24,55.90
2025-06-23,55.25
2025-06-20,55.10
2025-06-19,55.20
2025-06-18,55.30
2025-06-17,55.45
2025-06-16,55.35
2025-06-13,55.15
2025-06-12,55.75
2025-06-11,56.30
2025-06-10,56.25
2025-06-09,56.10
2025-06-06,55.85
2025-06-05,55.85
2025-06-04,56.00
2025-06-03,55.45
2025-06-02,55.20
2025-05-29,56.10
2025-05-28,55.25
2025-05-27,54.70
2025-05-26,54.85
2025-05-23,54.75
2025-05-22,54.85
2025-05-21,55.80
2025-05-20,56.20
2025-05-19,55.70
2025-05-16,55.65
2025-05-15,55.40
2025-05-14,55.80
2025-05-13,55.25
2025-05-12,54.40
2025-05-09,53.70
2025-05-08,53.90
2025-05-07,53.35
2025-05-06,53.05
2025-05-05,52.30
2025-05-02,55.25
2025-04-30,55.25
2025-04-29,55.75
2025-04-28,55.90
2025-04-25,55.95
2025-04-24,54.55
2025-04-23,54.60
2025-04-22,52.65
2025-04-21,53.20
2025-04-18,54.20
2025-04-17,54.10
2025-04-16,54.00
2025-04-15,54.80
2025-04-14,55.10
2025-04-11,54.35
2025-04-10,55.80
2025-04-09,50.55
2025-04-08,52.85
2025-04-07,51.05
2025-04-02,58.40
2025-04-01,58.20
2025-03-31,57.60
2025-03-28,59.10
2025-03-27,59.15
2025-03-26,59.80
2025-03-25,59.55
2025-03-24,59.00
2025-03-21,58.50
2025-03-20,58.90
2025-03-19,58.10
2025-03-18,58.35
2025-03-17,57.95
2025-03-14,57.40
2025-03-13,57.45
2025-03-12,57.60
2025-03-11,58.00
2025-03-10,59.10
2025-03-07,59.20
2025-03-06,60.05
2025-03-05,59.65
2025-03-04,60.40
2025-03-03,61.25
