日期,收盤價
2025-08-01,48.00
2025-07-31,47.50
2025-07-30,48.20
2025-07-29,48.30
2025-07-28,49.70
2025-07-25,48.75
2025-07-24,47.20
2025-07-23,47.10
2025-07-22,45.85
2025-07-21,47.25
2025-07-18,47.40
2025-07-17,47.95
2025-07-16,46.45
2025-07-15,46.15
2025-07-14,45.50
2025-07-11,45.90
2025-07-10,45.35
2025-07-09,47.00
2025-07-08,46.75
2025-07-07,47.50
2025-07-04,48.15
2025-07-03,49.70
2025-07-02,48.95
2025-07-01,50.10
2025-06-30,50.00
2025-06-27,50.90
2025-06-26,50.80
2025-06-25,50.30
2025-06-24,50.30
2025-06-23,49.30
2025-06-20,49.35
2025-06-19,51.20
2025-06-18,52.30
2025-06-17,52.20
2025-06-16,50.30
2025-06-13,49.80
2025-06-12,51.40
2025-06-11,51.30
2025-06-10,51.10
2025-06-09,51.40
2025-06-06,50.70
2025-06-05,50.20
2025-06-04,49.65
2025-06-03,48.40
2025-06-02,48.20
2025-05-29,50.60
2025-05-28,51.00
2025-05-27,51.80
2025-05-26,50.60
2025-05-23,51.80
2025-05-22,53.60
2025-05-21,51.20
2025-05-20,49.50
2025-05-19,49.60
2025-05-16,49.90
2025-05-15,49.30
2025-05-14,47.50
2025-05-13,46.70
2025-05-12,46.20
2025-05-09,44.50
2025-05-08,43.10
2025-05-07,42.50
2025-05-06,43.10
2025-05-05,42.50
2025-05-02,44.70
2025-04-30,44.15
2025-04-29,45.15
2025-04-28,44.75
2025-04-25,44.70
2025-04-24,44.20
2025-04-23,43.85
2025-04-22,41.90
2025-04-21,42.55
2025-04-18,43.30
2025-04-17,43.15
2025-04-16,44.05
2025-04-15,45.85
2025-04-14,42.20
2025-04-11,40.20
2025-04-10,42.50
2025-04-09,38.65
2025-04-08,42.90
2025-04-07,47.65
2025-04-02,52.90
2025-04-01,52.50
2025-03-31,50.60
2025-03-28,54.30
2025-03-27,56.50
2025-03-26,58.10
2025-03-25,58.10
2025-03-24,56.80
2025-03-21,55.10
2025-03-20,55.10
2025-03-19,52.20
2025-03-18,52.50
2025-03-17,52.50
2025-03-14,51.70
2025-03-13,51.00
2025-03-12,52.50
2025-03-11,51.60
2025-03-10,53.10
2025-03-07,52.70
2025-03-06,53.90
2025-03-05,54.30
2025-03-04,54.10
2025-03-03,54.00
