日期,收盤價
2025-08-01,23.20
2025-07-31,23.05
2025-07-30,23.05
2025-07-29,23.05
2025-07-28,22.95
2025-07-25,22.90
2025-07-24,22.90
2025-07-23,23.00
2025-07-22,22.50
2025-07-21,22.85
2025-07-18,23.00
2025-07-17,23.00
2025-07-16,23.00
2025-07-15,22.85
2025-07-14,22.85
2025-07-11,22.90
2025-07-10,22.80
2025-07-09,23.00
2025-07-08,22.95
2025-07-07,22.95
2025-07-04,22.90
2025-07-03,23.10
2025-07-02,23.25
2025-07-01,23.25
2025-06-30,23.00
2025-06-27,23.10
2025-06-26,23.05
2025-06-25,23.05
2025-06-24,23.10
2025-06-23,22.70
2025-06-20,22.85
2025-06-19,23.10
2025-06-18,23.25
2025-06-17,23.30
2025-06-16,23.60
2025-06-13,23.80
2025-06-12,23.90
2025-06-11,24.00
2025-06-10,25.50
2025-06-09,25.05
2025-06-06,24.50
2025-06-05,24.30
2025-06-04,24.30
2025-06-03,24.10
2025-06-02,24.40
2025-05-29,24.35
2025-05-28,24.35
2025-05-27,24.45
2025-05-26,24.70
2025-05-23,24.15
2025-05-22,24.20
2025-05-21,24.20
2025-05-20,24.25
2025-05-19,24.25
2025-05-16,24.35
2025-05-15,24.25
2025-05-14,24.75
2025-05-13,25.20
2025-05-12,26.00
2025-05-09,26.40
2025-05-08,25.90
2025-05-07,25.50
2025-05-06,25.50
2025-05-05,25.45
2025-05-02,25.40
2025-04-30,25.35
2025-04-29,25.85
2025-04-28,25.10
2025-04-25,24.90
2025-04-24,24.50
2025-04-23,23.85
2025-04-22,23.00
2025-04-21,23.20
2025-04-18,23.55
2025-04-17,23.10
2025-04-16,23.30
2025-04-15,23.95
2025-04-14,23.30
2025-04-11,22.85
2025-04-10,22.40
2025-04-09,20.40
2025-04-08,22.30
2025-04-07,22.60
2025-04-02,25.10
2025-04-01,25.15
2025-03-31,24.20
2025-03-28,25.05
2025-03-27,25.95
2025-03-26,26.30
2025-03-25,26.35
2025-03-24,26.40
2025-03-21,26.50
2025-03-20,26.55
2025-03-19,25.20
2025-03-18,25.35
2025-03-17,25.35
2025-03-14,25.05
2025-03-13,25.00
2025-03-12,25.50
2025-03-11,25.20
2025-03-10,25.10
2025-03-07,25.25
2025-03-06,25.25
2025-03-05,25.25
2025-03-04,25.35
2025-03-03,25.55
