日期,收盤價
2025-08-01,14.61
2025-07-31,14.63
2025-07-30,14.67
2025-07-29,14.68
2025-07-28,14.71
2025-07-25,14.71
2025-07-24,14.71
2025-07-23,--
2025-07-22,14.72
2025-07-21,14.74
2025-07-18,14.76
2025-07-17,14.77
2025-07-16,14.78
2025-07-15,14.80
2025-07-14,14.81
2025-07-11,14.81
2025-07-10,14.83
2025-07-09,14.87
2025-07-08,--
2025-07-07,14.88
2025-07-04,14.89
2025-07-03,14.90
2025-07-02,14.91
2025-07-01,14.92
2025-06-30,14.92
2025-06-27,14.91
2025-06-26,14.98
2025-06-25,14.98
2025-06-24,14.99
2025-06-23,14.99
2025-06-20,--
2025-06-19,--
2025-06-18,--
2025-06-17,14.99
2025-06-16,--
2025-06-13,--
2025-06-12,14.99
2025-06-11,14.99
2025-06-10,--
2025-06-09,14.90
2025-06-06,15.11
2025-06-05,15.06
2025-06-04,15.10
2025-06-03,15.10
2025-06-02,15.10
2025-05-29,15.10
2025-05-28,15.14
2025-05-27,15.15
2025-05-26,--
2025-05-23,15.10
2025-05-22,15.10
2025-05-21,--
2025-05-20,15.14
2025-05-19,15.13
2025-05-16,15.15
2025-05-15,15.18
2025-05-14,15.20
2025-05-13,15.20
2025-05-12,15.20
2025-05-09,15.20
2025-05-08,15.25
2025-05-07,15.25
2025-05-06,15.18
2025-05-05,--
2025-05-02,15.15
2025-04-30,15.15
2025-04-29,15.15
2025-04-28,15.15
2025-04-25,15.15
2025-04-24,15.20
2025-04-23,15.20
2025-04-22,15.15
2025-04-21,15.17
2025-04-18,--
2025-04-17,15.18
2025-04-16,15.18
2025-04-15,15.19
2025-04-14,15.20
2025-04-11,15.24
2025-04-10,15.23
2025-04-09,15.23
2025-04-08,15.25
2025-04-07,15.28
2025-04-02,15.28
2025-04-01,15.29
2025-03-31,15.29
2025-03-28,15.30
2025-03-27,15.28
2025-03-26,15.31
2025-03-25,15.32
2025-03-24,15.32
2025-03-21,15.32
2025-03-20,15.31
2025-03-19,15.32
2025-03-18,15.32
2025-03-17,15.35
2025-03-14,--
2025-03-13,15.33
2025-03-12,15.34
2025-03-11,15.36
2025-03-10,15.40
2025-03-07,15.38
2025-03-06,15.38
2025-03-05,--
2025-03-04,15.35
2025-03-03,15.45
