日期,收盤價
2025-08-01,16.55
2025-07-31,16.10
2025-07-30,16.15
2025-07-29,16.00
2025-07-28,16.20
2025-07-25,16.15
2025-07-24,16.10
2025-07-23,15.90
2025-07-22,16.35
2025-07-21,15.95
2025-07-18,15.80
2025-07-17,16.05
2025-07-16,15.50
2025-07-15,15.50
2025-07-14,15.60
2025-07-11,15.65
2025-07-10,14.90
2025-07-09,14.95
2025-07-08,15.20
2025-07-07,15.60
2025-07-04,15.70
2025-07-03,16.10
2025-07-02,15.90
2025-07-01,15.90
2025-06-30,14.90
2025-06-27,15.35
2025-06-26,15.10
2025-06-25,14.75
2025-06-24,14.85
2025-06-23,14.50
2025-06-20,14.95
2025-06-19,14.55
2025-06-18,15.15
2025-06-17,14.95
2025-06-16,15.10
2025-06-13,14.80
2025-06-12,15.25
2025-06-11,15.25
2025-06-10,15.25
2025-06-09,15.05
2025-06-06,15.10
2025-06-05,15.25
2025-06-04,15.50
2025-06-03,14.70
2025-06-02,15.10
2025-05-29,15.55
2025-05-28,15.75
2025-05-27,16.25
2025-05-26,16.10
2025-05-23,16.65
2025-05-22,17.05
2025-05-21,17.70
2025-05-20,16.10
2025-05-19,16.25
2025-05-16,15.70
2025-05-15,15.20
2025-05-14,15.60
2025-05-13,15.20
2025-05-12,15.35
2025-05-09,15.20
2025-05-08,15.20
2025-05-07,15.10
2025-05-06,15.30
2025-05-05,15.30
2025-05-02,15.85
2025-04-30,15.60
2025-04-29,16.10
2025-04-28,15.95
2025-04-25,15.80
2025-04-24,15.20
2025-04-23,15.80
2025-04-22,14.85
2025-04-21,13.50
2025-04-18,14.10
2025-04-17,14.15
2025-04-16,14.15
2025-04-15,14.90
2025-04-14,13.85
2025-04-11,13.40
2025-04-10,14.30
2025-04-09,13.05
2025-04-08,14.45
2025-04-07,16.05
2025-04-02,17.80
2025-04-01,17.45
2025-03-31,16.95
2025-03-28,18.80
2025-03-27,19.25
2025-03-26,19.75
2025-03-25,19.70
2025-03-24,20.05
2025-03-21,19.40
2025-03-20,19.60
2025-03-19,19.45
2025-03-18,19.55
2025-03-17,20.20
2025-03-14,20.25
2025-03-13,19.15
2025-03-12,19.60
2025-03-11,19.60
2025-03-10,19.80
2025-03-07,19.50
2025-03-06,19.55
2025-03-05,20.05
2025-03-04,19.65
2025-03-03,19.55
