日期,收盤價
2025-08-01,36.15
2025-07-31,36.15
2025-07-30,36.65
2025-07-29,36.65
2025-07-28,37.35
2025-07-25,37.70
2025-07-24,38.25
2025-07-23,38.10
2025-07-22,37.25
2025-07-21,38.80
2025-07-18,37.30
2025-07-17,38.05
2025-07-16,37.55
2025-07-15,37.55
2025-07-14,37.40
2025-07-11,37.30
2025-07-10,36.40
2025-07-09,36.60
2025-07-08,36.10
2025-07-07,37.15
2025-07-04,37.05
2025-07-03,38.45
2025-07-02,38.00
2025-07-01,37.95
2025-06-30,37.55
2025-06-27,38.30
2025-06-26,38.40
2025-06-25,38.90
2025-06-24,38.55
2025-06-23,36.85
2025-06-20,37.40
2025-06-19,38.10
2025-06-18,39.40
2025-06-17,37.80
2025-06-16,38.00
2025-06-13,37.75
2025-06-12,38.95
2025-06-11,39.10
2025-06-10,39.55
2025-06-09,38.80
2025-06-06,39.50
2025-06-05,39.65
2025-06-04,38.00
2025-06-03,37.00
2025-06-02,37.25
2025-05-29,38.15
2025-05-28,38.10
2025-05-27,38.20
2025-05-26,38.85
2025-05-23,39.30
2025-05-22,39.20
2025-05-21,39.20
2025-05-20,39.10
2025-05-19,38.90
2025-05-16,40.10
2025-05-15,38.75
2025-05-14,39.75
2025-05-13,40.70
2025-05-12,43.60
2025-05-09,41.15
2025-05-08,40.75
2025-05-07,38.85
2025-05-06,38.35
2025-05-05,38.15
2025-05-02,39.50
2025-04-30,36.55
2025-04-29,35.65
2025-04-28,34.50
2025-04-25,33.40
2025-04-24,33.00
2025-04-23,32.00
2025-04-22,31.05
2025-04-21,31.65
2025-04-18,32.35
2025-04-17,32.50
2025-04-16,32.55
2025-04-15,32.15
2025-04-14,30.40
2025-04-11,29.75
2025-04-10,31.15
2025-04-09,28.35
2025-04-08,31.50
2025-04-07,35.00
2025-04-02,38.85
2025-04-01,38.25
2025-03-31,37.10
2025-03-28,40.35
2025-03-27,41.80
2025-03-26,42.35
2025-03-25,42.65
2025-03-24,43.15
2025-03-21,44.30
2025-03-20,43.95
2025-03-19,43.95
2025-03-18,44.30
2025-03-17,43.25
2025-03-14,43.05
2025-03-13,42.75
2025-03-12,43.70
2025-03-11,43.15
2025-03-10,43.25
2025-03-07,43.65
2025-03-06,44.05
2025-03-05,44.75
2025-03-04,44.80
2025-03-03,44.55
