日期,收盤價
2025-08-01,81.10
2025-07-31,79.90
2025-07-30,79.60
2025-07-29,79.40
2025-07-28,80.50
2025-07-25,79.90
2025-07-24,80.60
2025-07-23,80.40
2025-07-22,79.00
2025-07-21,80.00
2025-07-18,79.10
2025-07-17,82.00
2025-07-16,77.90
2025-07-15,79.10
2025-07-14,77.60
2025-07-11,81.30
2025-07-10,76.50
2025-07-09,76.10
2025-07-08,76.10
2025-07-07,76.70
2025-07-04,78.00
2025-07-03,79.70
2025-07-02,78.20
2025-07-01,78.10
2025-06-30,77.20
2025-06-27,80.00
2025-06-26,81.10
2025-06-25,82.00
2025-06-24,81.40
2025-06-23,79.50
2025-06-20,80.50
2025-06-19,82.30
2025-06-18,83.70
2025-06-17,83.60
2025-06-16,83.80
2025-06-13,82.00
2025-06-12,85.00
2025-06-11,84.90
2025-06-10,81.50
2025-06-09,80.10
2025-06-06,81.60
2025-06-05,82.80
2025-06-04,81.80
2025-06-03,81.10
2025-06-02,81.60
2025-05-29,84.50
2025-05-28,85.70
2025-05-27,90.00
2025-05-26,88.80
2025-05-23,89.00
2025-05-22,87.50
2025-05-21,89.90
2025-05-20,89.20
2025-05-19,90.20
2025-05-16,90.50
2025-05-15,92.70
2025-05-14,93.20
2025-05-13,91.10
2025-05-12,92.20
2025-05-09,88.80
2025-05-08,89.00
2025-05-07,87.00
2025-05-06,88.00
2025-05-05,87.20
2025-05-02,92.10
2025-04-30,88.80
2025-04-29,89.30
2025-04-28,85.70
2025-04-25,85.10
2025-04-24,82.00
2025-04-23,82.80
2025-04-22,79.20
2025-04-21,80.00
2025-04-18,84.00
2025-04-17,83.80
2025-04-16,84.50
2025-04-15,88.70
2025-04-14,82.80
2025-04-11,82.50
2025-04-10,81.90
2025-04-09,78.10
2025-04-08,86.70
2025-04-07,96.30
2025-04-02,107.00
2025-04-01,107.00
2025-03-31,105.00
2025-03-28,111.00
2025-03-27,116.50
2025-03-26,118.00
2025-03-25,118.00
2025-03-24,119.00
2025-03-21,119.00
2025-03-20,123.00
2025-03-19,122.00
2025-03-18,124.00
2025-03-17,122.00
2025-03-14,121.00
2025-03-13,122.00
2025-03-12,125.00
2025-03-11,123.50
2025-03-10,127.00
2025-03-07,130.00
2025-03-06,138.50
2025-03-05,135.50
2025-03-04,135.50
2025-03-03,133.00
