日期,收盤價
2025-08-01,72.10
2025-07-31,70.50
2025-07-30,72.00
2025-07-29,72.00
2025-07-28,73.20
2025-07-25,73.40
2025-07-24,74.30
2025-07-23,73.30
2025-07-22,71.70
2025-07-21,74.80
2025-07-18,76.20
2025-07-17,77.30
2025-07-16,76.30
2025-07-15,76.50
2025-07-14,75.40
2025-07-11,78.10
2025-07-10,73.50
2025-07-09,74.20
2025-07-08,73.60
2025-07-07,75.10
2025-07-04,75.80
2025-07-03,78.80
2025-07-02,76.50
2025-07-01,76.50
2025-06-30,76.50
2025-06-27,77.50
2025-06-26,79.70
2025-06-25,80.30
2025-06-24,79.60
2025-06-23,77.00
2025-06-20,76.00
2025-06-19,77.60
2025-06-18,79.10
2025-06-17,79.70
2025-06-16,79.60
2025-06-13,80.10
2025-06-12,80.90
2025-06-11,79.20
2025-06-10,76.90
2025-06-09,75.70
2025-06-06,76.30
2025-06-05,77.60
2025-06-04,78.80
2025-06-03,77.20
2025-06-02,77.20
2025-05-29,80.80
2025-05-28,80.60
2025-05-27,82.70
2025-05-26,85.00
2025-05-23,84.20
2025-05-22,82.80
2025-05-21,83.80
2025-05-20,80.00
2025-05-19,80.70
2025-05-16,83.50
2025-05-15,83.30
2025-05-14,82.00
2025-05-13,81.10
2025-05-12,80.50
2025-05-09,79.40
2025-05-08,78.70
2025-05-07,76.40
2025-05-06,75.80
2025-05-05,75.80
2025-05-02,78.60
2025-04-30,78.30
2025-04-29,78.60
2025-04-28,76.90
2025-04-25,74.00
2025-04-24,71.50
2025-04-23,71.20
2025-04-22,65.50
2025-04-21,69.20
2025-04-18,74.50
2025-04-17,76.20
2025-04-16,76.40
2025-04-15,79.00
2025-04-14,73.80
2025-04-11,72.00
2025-04-10,73.20
2025-04-09,66.60
2025-04-08,73.90
2025-04-07,82.10
2025-04-02,91.20
2025-04-01,90.20
2025-03-31,89.10
2025-03-28,99.00
2025-03-27,103.00
2025-03-26,104.50
2025-03-25,104.50
2025-03-24,103.00
2025-03-21,109.00
2025-03-20,112.00
2025-03-19,108.50
2025-03-18,114.00
2025-03-17,114.00
2025-03-14,109.00
2025-03-13,109.00
2025-03-12,109.50
2025-03-11,110.00
2025-03-10,110.00
2025-03-07,108.00
2025-03-06,109.00
2025-03-05,106.00
2025-03-04,101.50
2025-03-03,102.00
