股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
6841,長佳智能,2023/03/01,上櫃,生技醫療業,https://www.cnyes.com/twstock/6841,64.80,-0.50,-0.77%,鉅亨
6843,進典,2022/11/21,上櫃,電機機械,https://www.cnyes.com/twstock/6843,59.10,-1.10,-1.83%,鉅亨
6844,諾貝兒,2024/03/08,上櫃,生技醫療業,https://www.cnyes.com/twstock/6844,98.40,0.00,+0.00%,鉅亨
6846,綠茵,2023/05/15,上櫃,食品工業,https://www.cnyes.com/twstock/6846,75.20,-0.80,-1.05%,鉅亨
6855,數泓科,2022/10/06,上櫃,其他電子業,https://www.cnyes.com/twstock/6855,136.50,+1.50,+1.11%,鉅亨
6856,鑫傳,2023/10/27,上櫃,文化創意業,https://www.cnyes.com/twstock/6856,54.90,+1.90,+3.58%,鉅亨
6859,伯特光,2022/11/28,上櫃,光電業,https://www.cnyes.com/twstock/6859,136.50,-0.50,-0.36%,鉅亨
6865,偉康科技,2023/01/11,上櫃,數位雲端,https://www.cnyes.com/twstock/6865,55.50,+0.80,+1.46%,鉅亨
6870,騰雲,2023/09/14,上櫃,數位雲端,https://www.cnyes.com/twstock/6870,214.00,+1.00,+0.47%,鉅亨
6872,浩宇生醫,2025/03/07,上櫃,生技醫療業,https://www.cnyes.com/twstock/6872,20.10,-0.20,-0.99%,鉅亨
6874,倍力,2022/12/14,上櫃,資訊服務業,https://www.cnyes.com/twstock/6874,87.80,+0.40,+0.46%,鉅亨
6875,國邑*,2024/03/26,上櫃,生技醫療業,https://www.cnyes.com/twstock/6875,40.00,0.00,+0.00%,鉅亨
6877,鏵友益,2023/06/16,上櫃,其他電子業,https://www.cnyes.com/twstock/6877,83.50,+2.50,+3.09%,鉅亨
6881,潤德,2024/05/21,上櫃,其他業,https://www.cnyes.com/twstock/6881,228.50,-0.50,-0.22%,鉅亨
6894,衛司特,2023/11/29,上櫃,綠能環保,https://www.cnyes.com/twstock/6894,186.50,+1.50,+0.81%,鉅亨
6895,宏碩系統,2023/08/22,上櫃,半導體業,https://www.cnyes.com/twstock/6895,176.50,+2.00,+1.15%,鉅亨
6899,創為精密,2024/04/08,上櫃,光電業,https://www.cnyes.com/twstock/6899,50.00,+0.50,+1.01%,鉅亨
6903,巨漢,2024/06/12,上櫃,其他電子業,https://www.cnyes.com/twstock/6903,104.00,-0.50,-0.48%,鉅亨
6904,伯鑫,2023/12/05,上櫃,其他業,https://www.cnyes.com/twstock/6904,119.50,+0.50,+0.42%,鉅亨
6913,鴻呈,2024/10/01,上櫃,電子零組件業,https://www.cnyes.com/twstock/6913,119.50,-1.00,-0.83%,鉅亨
6922,宸曜,2023/11/09,上櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/6922,189.50,-5.00,-2.57%,鉅亨
6925,意藍,2025/05/28,上櫃,數位雲端,https://www.cnyes.com/twstock/6925,141.00,+0.50,+0.36%,鉅亨
6929,佑全,2024/03/28,上櫃,生技醫療業,https://www.cnyes.com/twstock/6929,32.40,-0.55,-1.67%,鉅亨
6953,家碩,2024/05/13,上櫃,半導體業,https://www.cnyes.com/twstock/6953,159.50,-1.00,-0.62%,鉅亨
6967,汎瑋材料,2024/09/25,上櫃,電子零組件業,https://www.cnyes.com/twstock/6967,50.00,-0.50,-0.99%,鉅亨
6968,萬達寵物,2024/08/14,上櫃,居家生活,https://www.cnyes.com/twstock/6968,66.60,-0.10,-0.15%,鉅亨
6982,大井泵浦,2024/12/18,上櫃,電機機械,https://www.cnyes.com/twstock/6982,60.30,-0.60,-0.99%,鉅亨
6996,力領科技,2024/12/10,上櫃,半導體業,https://www.cnyes.com/twstock/6996,138.50,0.00,+0.00%,鉅亨
