股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
8454,富邦媒,2014/12/19,上市,數位雲端,https://www.cnyes.com/twstock/8454,282.00,-0.50,-0.18%,鉅亨
8462,柏文,2019/03/15,上市,運動休閒,https://www.cnyes.com/twstock/8462,145.00,+7.50,+5.45%,鉅亨
8463,潤泰材,2015/07/13,上市,其他業,https://www.cnyes.com/twstock/8463,22.90,0.00,+0.00%,鉅亨
8464,億豐,2015/12/22,上市,居家生活,https://www.cnyes.com/twstock/8464,417.50,+6.00,+1.46%,鉅亨
8466,美吉吉-KY,2016/11/01,上市,其他業,https://www.cnyes.com/twstock/8466,27.80,+0.05,+0.18%,鉅亨
8467,波力-KY,2015/12/15,上市,運動休閒,https://www.cnyes.com/twstock/8467,150.00,-1.50,-0.99%,鉅亨
8473,山林水,2016/09/08,上市,綠能環保,https://www.cnyes.com/twstock/8473,32.60,+0.60,+1.88%,鉅亨
8476,台境*,2023/10/31,上市,綠能環保,https://www.cnyes.com/twstock/8476,20.50,-0.15,-0.73%,鉅亨
8478,東哥遊艇,2017/12/11,上市,運動休閒,https://www.cnyes.com/twstock/8478,204.50,-5.50,-2.62%,鉅亨
8481,政伸,2017/02/24,上市,其他業,https://www.cnyes.com/twstock/8481,44.75,-1.15,-2.51%,鉅亨
8482,商億-KY,2018/08/15,上市,居家生活,https://www.cnyes.com/twstock/8482,51.50,-1.00,-1.90%,鉅亨
8488,吉源-KY,2016/12/13,上市,其他業,https://www.cnyes.com/twstock/8488,11.35,+0.20,+1.79%,鉅亨
8499,鼎炫-KY,2017/11/24,上市,其他電子業,https://www.cnyes.com/twstock/8499,268.00,0.00,+0.00%,鉅亨
8926,台汽電,2003/08/25,上市,油電燃氣業,https://www.cnyes.com/twstock/8926,44.20,-0.40,-0.90%,鉅亨
8940,新天地,2009/05/15,上市,觀光餐旅,https://www.cnyes.com/twstock/8940,21.30,+0.10,+0.47%,鉅亨
8996,高力,2014/02/14,上市,電機機械,https://www.cnyes.com/twstock/8996,282.50,+8.50,+3.10%,鉅亨
9802,鈺齊-KY,2012/10/18,上市,運動休閒,https://www.cnyes.com/twstock/9802,109.00,+1.00,+0.93%,鉅亨
9902,台火,1964/07/14,上市,其他業,https://www.cnyes.com/twstock/9902,16.90,-0.10,-0.59%,鉅亨
9904,寶成,1990/01/19,上市,運動休閒,https://www.cnyes.com/twstock/9904,28.85,-0.10,-0.35%,鉅亨
9905,大華,1990/08/08,上市,其他業,https://www.cnyes.com/twstock/9905,21.35,0.00,+0.00%,鉅亨
9906,欣巴巴,1990/12/15,上市,建材營造業,https://www.cnyes.com/twstock/9906,68.90,-0.80,-1.15%,鉅亨
9907,統一實,1991/01/29,上市,其他業,https://www.cnyes.com/twstock/9907,18.55,+0.30,+1.64%,鉅亨
9908,大台北,1991/02/06,上市,油電燃氣業,https://www.cnyes.com/twstock/9908,31.05,-0.05,-0.16%,鉅亨
9910,豐泰,1992/02/18,上市,運動休閒,https://www.cnyes.com/twstock/9910,119.50,-1.50,-1.24%,鉅亨
9911,櫻花,1992/07/16,上市,居家生活,https://www.cnyes.com/twstock/9911,87.70,-0.90,-1.02%,鉅亨
9912,偉聯,1992/08/08,上市,電腦及週邊設備業,https://www.cnyes.com/twstock/9912,11.85,0.00,+0.00%,鉅亨
9914,美利達,1992/09/30,上市,運動休閒,https://www.cnyes.com/twstock/9914,114.00,-1.00,-0.87%,鉅亨
9917,中保科,1993/12/08,上市,其他業,https://www.cnyes.com/twstock/9917,113.00,-1.00,-0.88%,鉅亨
9918,欣天然,1994/04/26,上市,油電燃氣業,https://www.cnyes.com/twstock/9918,39.90,0.00,+0.00%,鉅亨
9919,康那香,1994/11/04,上市,其他業,https://www.cnyes.com/twstock/9919,17.30,+0.05,+0.29%,鉅亨
9921,巨大,1994/12/29,上市,運動休閒,https://www.cnyes.com/twstock/9921,117.50,-2.00,-1.67%,鉅亨
9924,福興,1995/03/15,上市,居家生活,https://www.cnyes.com/twstock/9924,44.65,-0.25,-0.56%,鉅亨
9925,新保,1995/12/09,上市,其他業,https://www.cnyes.com/twstock/9925,40.55,+0.15,+0.37%,鉅亨
9926,新海,1998/04/08,上市,油電燃氣業,https://www.cnyes.com/twstock/9926,50.00,-0.30,-0.60%,鉅亨
9927,泰銘,1999/03/12,上市,其他業,https://www.cnyes.com/twstock/9927,67.90,-0.10,-0.15%,鉅亨
9928,中視,1999/08/09,上市,其他業,https://www.cnyes.com/twstock/9928,16.60,-0.05,-0.30%,鉅亨
9929,秋雨,1999/06/28,上市,其他業,https://www.cnyes.com/twstock/9929,14.10,-0.65,-4.41%,鉅亨
9930,中聯資源,1999/11/22,上市,綠能環保,https://www.cnyes.com/twstock/9930,71.40,+0.40,+0.56%,鉅亨
9931,欣高,2000/03/21,上市,油電燃氣業,https://www.cnyes.com/twstock/9931,34.20,0.00,+0.00%,鉅亨
9933,中鼎,1993/05/28,上市,其他業,https://www.cnyes.com/twstock/9933,28.20,-0.10,-0.35%,鉅亨
9934,成霖,2000/09/11,上市,居家生活,https://www.cnyes.com/twstock/9934,9.95,+0.05,+0.51%,鉅亨
9935,慶豐富,2000/09/11,上市,居家生活,https://www.cnyes.com/twstock/9935,20.80,0.00,+0.00%,鉅亨
9937,全國,2000/09/11,上市,油電燃氣業,https://www.cnyes.com/twstock/9937,65.00,+0.20,+0.31%,鉅亨
9938,百和,2001/01/12,上市,其他業,https://www.cnyes.com/twstock/9938,53.80,-0.20,-0.37%,鉅亨
9939,宏全,2001/03/02,上市,其他業,https://www.cnyes.com/twstock/9939,151.00,-0.50,-0.33%,鉅亨
9940,信義,2001/09/17,上市,其他業,https://www.cnyes.com/twstock/9940,25.70,-0.10,-0.39%,鉅亨
9941,裕融,2001/09/17,上市,其他業,https://www.cnyes.com/twstock/9941,104.00,-1.50,-1.42%,鉅亨
9942,茂順,2002/01/28,上市,其他業,https://www.cnyes.com/twstock/9942,118.00,+0.50,+0.43%,鉅亨
9943,好樂迪,2002/08/26,上市,觀光餐旅,https://www.cnyes.com/twstock/9943,72.20,-0.10,-0.14%,鉅亨
9944,新麗,2002/08/26,上市,其他業,https://www.cnyes.com/twstock/9944,17.00,-0.05,-0.29%,鉅亨
9945,潤泰新,1992/04/30,上市,其他業,https://www.cnyes.com/twstock/9945,30.25,-0.50,-1.63%,鉅亨
9946,三發地產,2013/09/17,上市,建材營造業,https://www.cnyes.com/twstock/9946,19.80,0.00,+0.00%,鉅亨
9955,佳龍,2008/01/21,上市,綠能環保,https://www.cnyes.com/twstock/9955,28.40,+0.05,+0.18%,鉅亨
9958,世紀鋼,2008/03/12,上市,鋼鐵工業,https://www.cnyes.com/twstock/9958,191.50,-1.00,-0.52%,鉅亨
1101B,台泥乙特,2019/01/29,上市,,https://www.cnyes.com/twstock/1101B,45.90,-0.15,-0.33%,鉅亨
1312A,國喬特,1988/12/21,上市,塑膠工業,https://www.cnyes.com/twstock/1312A,21.80,▲+0.15,+0.69%,PChome
1522A,堤維西甲特,2021/08/10,上市,汽車工業,https://www.cnyes.com/twstock/1522A,48.10,0.00,+0.00%,鉅亨
2002A,中鋼特,1974/12/26,上市,鋼鐵工業,https://www.cnyes.com/twstock/2002A,39.40,▲－－,－－,PChome
2348A,海悅甲特,2021/09/27,上市,其他業,https://www.cnyes.com/twstock/2348A,－－,▲－－,－－,PChome
2836A,高雄銀甲特,2021/01/15,上市,金融保險業,https://www.cnyes.com/twstock/2836A,22.55,+0.55,+2.50%,鉅亨
2838A,聯邦銀甲特,2017/12/01,上市,金融保險業,https://www.cnyes.com/twstock/2838A,53.80,0.00,+0.00%,鉅亨
2881A,富邦特,2016/05/31,上市,金融保險業,https://www.cnyes.com/twstock/2881A,62.90,0.00,+0.00%,鉅亨
2881B,富邦金乙特,2018/04/23,上市,金融保險業,https://www.cnyes.com/twstock/2881B,61.40,0.00,+0.00%,鉅亨
2881C,富邦金丙特,2021/10/29,上市,金融保險業,https://www.cnyes.com/twstock/2881C,52.30,+0.30,+0.58%,鉅亨
2882A,國泰特,2017/01/17,上市,金融保險業,https://www.cnyes.com/twstock/2882A,60.80,0.00,+0.00%,鉅亨
2882B,國泰金乙特,2018/08/08,上市,金融保險業,https://www.cnyes.com/twstock/2882B,60.20,-0.10,-0.17%,鉅亨
2883B,凱基金乙特,2021/12/30,上市,金融保險業,https://www.cnyes.com/twstock/2883B,7.46,0.00,+0.00%,鉅亨
2887E,台新戊特,2017/02/10,上市,金融保險業,https://www.cnyes.com/twstock/2887E,48.55,-0.15,-0.31%,鉅亨
2887F,台新戊特二,2019/01/08,上市,金融保險業,https://www.cnyes.com/twstock/2887F,43.55,-0.40,-0.91%,鉅亨
2887G,台新庚特一,2025/07/24,上市,金融保險業,https://www.cnyes.com/twstock/2887G,35.75,+0.15,+0.42%,鉅亨
2887H,台新庚特二,2025/07/24,上市,金融保險業,https://www.cnyes.com/twstock/2887H,35.80,+0.10,+0.28%,鉅亨
2887I,台新辛特,2025/07/24,上市,金融保險業,https://www.cnyes.com/twstock/2887I,8.84,▼-0.16,-1.78%,PChome
2887Z1,台新己特,2022/07/26,上市,金融保險業,https://www.cnyes.com/twstock/2887Z1,15.20,▲+0.10,+0.66%,PChome
2891B,中信金乙特,2018/01/26,上市,金融保險業,https://www.cnyes.com/twstock/2891B,62.60,+0.20,+0.32%,鉅亨
2891C,中信金丙特,2019/05/06,上市,金融保險業,https://www.cnyes.com/twstock/2891C,59.60,0.00,+0.00%,鉅亨
2897B,王道銀乙特,2024/09/30,上市,金融保險業,https://www.cnyes.com/twstock/2897B,11.90,▲－－,－－,PChome
3036A,文曄甲特,2020/10/20,上市,,https://www.cnyes.com/twstock/3036A,50.30,0.00,+0.00%,鉅亨
5871A,中租-KY甲特,2020/09/10,上市,其他業,https://www.cnyes.com/twstock/5871A,102.50,0.00,+0.00%,鉅亨
6592A,和潤企業甲特,2022/09/26,上市,其他業,https://www.cnyes.com/twstock/6592A,95.20,▼-0.20,-0.21%,PChome
6592B,和潤企業乙特,2023/09/01,上市,,https://www.cnyes.com/twstock/6592B,96.30,▼-0.10,-0.10%,PChome
8112A,至上甲特,2022/03/07,上市,電子通路業,https://www.cnyes.com/twstock/8112A,42.65,▲－－,－－,PChome
9941A,裕融甲特,2018/11/26,上市,其他業,https://www.cnyes.com/twstock/9941A,51.80,▼-0.30,-0.58%,PChome
2254,巨鎧精密-創,2023/10/20,上市臺灣創新板,汽車工業,https://www.cnyes.com/twstock/2254,63.10,-0.10,-0.16%,鉅亨
2258,鴻華先進-創,2023/11/20,上市臺灣創新板,汽車工業,https://www.cnyes.com/twstock/2258,40.70,+0.20,+0.49%,鉅亨
2432,倚天酷碁-創,2023/05/31,上市臺灣創新板,電腦及週邊設備業,https://www.cnyes.com/twstock/2432,28.20,+0.05,+0.18%,鉅亨
3150,鈺寶-創,2024/06/27,上市臺灣創新板,半導體業,https://www.cnyes.com/twstock/3150,22.20,-0.55,-2.42%,鉅亨
6423,億而得-創,2024/05/15,上市臺灣創新板,半導體業,https://www.cnyes.com/twstock/6423,92.00,+0.80,+0.88%,鉅亨
6534,正瀚-創,2023/12/21,上市臺灣創新板,生技醫療業,https://www.cnyes.com/twstock/6534,89.10,+8.10,+10.00%,鉅亨
6645,金萬林-創,2023/12/21,上市臺灣創新板,生技醫療業,https://www.cnyes.com/twstock/6645,17.05,+0.55,+3.33%,鉅亨
6771,平和環保-創,2024/05/17,上市臺灣創新板,綠能環保,https://www.cnyes.com/twstock/6771,55.60,-0.60,-1.07%,鉅亨
6794,向榮生技-創,2024/05/21,上市臺灣創新板,生技醫療業,https://www.cnyes.com/twstock/6794,62.90,+0.30,+0.48%,鉅亨
6854,錼創科技-KY創,2022/08/18,上市臺灣創新板,半導體業,https://www.cnyes.com/twstock/6854,152.00,-1.50,-0.98%,鉅亨
6924,榮惠-KY創,2024/12/03,上市臺灣創新板,電子零組件業,https://www.cnyes.com/twstock/6924,69.90,-1.10,-1.55%,鉅亨
6949,沛爾生醫-創,2024/03/08,上市臺灣創新板,生技醫療業,https://www.cnyes.com/twstock/6949,169.00,-1.00,-0.59%,鉅亨
6951,青新-創,2024/06/18,上市臺灣創新板,綠能環保,https://www.cnyes.com/twstock/6951,75.90,+1.60,+2.15%,鉅亨
