股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
6816,捷智商訊,2021/01/18,興櫃,資訊服務業,https://www.cnyes.com/twstock/6816,42.00,0.00,+0.00%,鉅亨
6817,溫士頓,2021/02/24,興櫃,生技醫療業,https://www.cnyes.com/twstock/6817,113.50,-1.88,-1.63%,鉅亨
6818,連騰,2021/01/21,興櫃,通信網路業,https://www.cnyes.com/twstock/6818,51.10,+1.36,+2.73%,鉅亨
6819,眾智,2021/02/05,興櫃,半導體業,https://www.cnyes.com/twstock/6819,22.15,+0.09,+0.41%,鉅亨
6820,連訊,2021/03/22,興櫃,通信網路業,https://www.cnyes.com/twstock/6820,133.00,-4.70,-3.41%,鉅亨
6825,和暢科技,2021/04/29,興櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/6825,47.20,+4.05,+9.39%,鉅亨
6826,和淞,2021/06/17,興櫃,其他電子業,https://www.cnyes.com/twstock/6826,470.00,-1.54,-0.33%,鉅亨
6827,巨生醫,2021/10/19,興櫃,生技醫療業,https://www.cnyes.com/twstock/6827,14.00,+0.47,+3.47%,鉅亨
6831,邁科,2021/08/11,興櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/6831,154.50,-6.61,-4.10%,鉅亨
6832,金鼎科,2021/09/29,興櫃,其他業,https://www.cnyes.com/twstock/6832,41.00,+0.01,+0.02%,鉅亨
6833,太康精密,2021/06/01,興櫃,電子零組件業,https://www.cnyes.com/twstock/6833,26.05,-0.55,-2.07%,鉅亨
6839,開陽能源,2021/10/25,興櫃,綠能環保,https://www.cnyes.com/twstock/6839,17.25,+0.20,+1.17%,鉅亨
6842,一元素,2021/09/30,興櫃,半導體業,https://www.cnyes.com/twstock/6842,31.65,-0.07,-0.22%,鉅亨
6847,普瑞博,2021/11/05,興櫃,生技醫療業,https://www.cnyes.com/twstock/6847,78.10,+4.30,+5.83%,鉅亨
6848,拉法醫,2021/10/25,興櫃,生技醫療業,https://www.cnyes.com/twstock/6848,19.10,+0.38,+2.03%,鉅亨
6849,奇鼎科技,2024/11/22,興櫃,其他電子業,https://www.cnyes.com/twstock/6849,56.00,-1.09,-1.91%,鉅亨
6850,光鼎生技,2021/11/10,興櫃,生技醫療業,https://www.cnyes.com/twstock/6850,44.00,-0.50,-1.12%,鉅亨
6857,宏碁智醫,2022/03/03,興櫃,生技醫療業,https://www.cnyes.com/twstock/6857,-,-,(-),CMoney
6858,愛比科技,2022/01/11,興櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/6858,27.00,+0.91,+3.49%,鉅亨
6864,元樟生技,2021/12/29,興櫃,生技醫療業,https://www.cnyes.com/twstock/6864,87.20,+0.28,+0.32%,鉅亨
6867,坦德科技,2022/06/23,興櫃,光電業,https://www.cnyes.com/twstock/6867,20.95,+0.37,+1.80%,鉅亨
6868,采威國際,2022/01/13,興櫃,資訊服務業,https://www.cnyes.com/twstock/6868,39.15,-0.05,-0.13%,鉅亨
6876,朗齊生醫*,2024/01/18,興櫃,生技醫療業,https://www.cnyes.com/twstock/6876,24.45,-0.52,-2.08%,鉅亨
6878,歐付寶,2022/03/17,興櫃,金融保險業,https://www.cnyes.com/twstock/6878,15.10,0.00,+0.00%,鉅亨
6879,大江基因,2022/05/25,興櫃,生技醫療業,https://www.cnyes.com/twstock/6879,45.15,+1.58,+3.63%,鉅亨
6882,甲尚,2022/04/26,興櫃,資訊服務業,https://www.cnyes.com/twstock/6882,17.30,-2.08,-10.73%,鉅亨
6883,微電能源,2024/07/19,興櫃,綠能環保,https://www.cnyes.com/twstock/6883,48.95,-1.15,-2.30%,鉅亨
6884,海柏特,2022/06/13,興櫃,資訊服務業,https://www.cnyes.com/twstock/6884,53.70,-2.80,-4.96%,鉅亨
6886,遠東生技,2023/04/27,興櫃,食品工業,https://www.cnyes.com/twstock/6886,45.00,+0.43,+0.96%,鉅亨
6891,樂迦再生,2022/07/12,興櫃,生技醫療業,https://www.cnyes.com/twstock/6891,21.35,+0.17,+0.80%,鉅亨
6892,台寶生醫,2022/09/07,興櫃,生技醫療業,https://www.cnyes.com/twstock/6892,34.90,+1.17,+3.47%,鉅亨
6898,程曦資訊,2022/09/30,興櫃,資訊服務業,https://www.cnyes.com/twstock/6898,123.00,-0.25,-0.20%,鉅亨
6908,宏碁遊戲,2022/09/13,興櫃,電子通路業,https://www.cnyes.com/twstock/6908,56.00,-0.30,-0.53%,鉅亨
6910,德鴻,2023/05/19,興櫃,數位雲端,https://www.cnyes.com/twstock/6910,44.60,-2.00,-4.29%,鉅亨
6911,群運,2022/10/20,興櫃,其他業,https://www.cnyes.com/twstock/6911,39.15,+0.75,+1.95%,鉅亨
6912,益鈞環科*,2022/10/19,興櫃,綠能環保,https://www.cnyes.com/twstock/6912,18.50,-0.08,-0.43%,鉅亨
6915,美強光,2022/11/03,興櫃,電子零組件業,https://www.cnyes.com/twstock/6915,41.10,+4.30,+11.68%,鉅亨
6917,竟天,2023/01/12,興櫃,生技醫療業,https://www.cnyes.com/twstock/6917,17.40,+0.12,+0.69%,鉅亨
6920,恆勁科技,2023/01/10,興櫃,半導體業,https://www.cnyes.com/twstock/6920,18.15,+0.10,+0.55%,鉅亨
6926,聖安生醫,2022/11/25,興櫃,生技醫療業,https://www.cnyes.com/twstock/6926,67.30,+0.80,+1.20%,鉅亨
6927,聯合聚晶,2023/05/26,興櫃,半導體業,https://www.cnyes.com/twstock/6927,62.10,+0.24,+0.39%,鉅亨
6932,水星生醫*,2022/12/23,興櫃,生技醫療業,https://www.cnyes.com/twstock/6932,9.43,-0.51,-5.13%,鉅亨
6934,心誠鎂,2024/06/25,興櫃,生技醫療業,https://www.cnyes.com/twstock/6934,65.70,+0.14,+0.21%,鉅亨
6935,王子製藥,2023/03/29,興櫃,食品工業,https://www.cnyes.com/twstock/6935,25.05,-0.29,-1.14%,鉅亨
6938,藍新資訊,2024/01/23,興櫃,資訊服務業,https://www.cnyes.com/twstock/6938,91.40,+1.79,+2.00%,鉅亨
6939,啟弘生技,2023/05/15,興櫃,生技醫療業,https://www.cnyes.com/twstock/6939,21.70,-0.50,-2.25%,鉅亨
6940,格斯科技*,2023/05/12,興櫃,電子零組件業,https://www.cnyes.com/twstock/6940,27.65,-1.08,-3.76%,鉅亨
6945,圓祥生技,2023/07/14,興櫃,生技醫療業,https://www.cnyes.com/twstock/6945,63.00,+0.93,+1.50%,鉅亨
6946,三地能源,2024/10/07,興櫃,綠能環保,https://www.cnyes.com/twstock/6946,23.60,+0.01,+0.04%,鉅亨
6947,台鎔科技,2023/07/21,興櫃,綠能環保,https://www.cnyes.com/twstock/6947,73.50,+0.86,+1.18%,鉅亨
6959,兆捷科技,2023/07/13,興櫃,化學工業,https://www.cnyes.com/twstock/6959,70.00,+0.45,+0.65%,鉅亨
6961,旅天下,2023/07/31,興櫃,觀光餐旅,https://www.cnyes.com/twstock/6961,70.00,+0.10,+0.14%,鉅亨
6963,品元,2023/06/28,興櫃,食品工業,https://www.cnyes.com/twstock/6963,37.10,-0.25,-0.67%,鉅亨
6971,惠民實業,2023/07/24,興櫃,綠能環保,https://www.cnyes.com/twstock/6971,46.00,+1.00,+2.22%,鉅亨
6972,博瑞達應材,2024/11/29,興櫃,化學工業,https://www.cnyes.com/twstock/6972,29.80,+0.79,+2.72%,鉅亨
6973,永立榮,2023/07/20,興櫃,生技醫療業,https://www.cnyes.com/twstock/6973,37.00,+1.25,+3.50%,鉅亨
6976,育世博-KY,2023/08/08,興櫃,生技醫療業,https://www.cnyes.com/twstock/6976,15.70,-0.17,-1.07%,鉅亨
